record hmy,property hmy,property code,amendment hmy,tenant hmy,lease code,charge code hmy,charge code,charge code desc,amount period code,amount period desc,from date,to date,amount,monthly amount,contracted area,notes,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,management fee %,management fee hmy,hschedule,toinactive amendment hmy,horiginal,husercreatedby,dtcreated,husermodifiedby,dtlastmodified,hoption
1,1235,test_01,1,298,t0000001,30,rent,Rent - Base,2,Monthly,44075,44439,1000,1000,3222,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,44099.56763,26,44099.5677,
2,919,ohhon001,2,302,t0000002,30,rent,Rent - Base,2,Monthly,44011,44010,63936.13,63936.13,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9309,0,23,44103.55863,23,44103.55863,
3,919,ohhon001,2,302,t0000002,30,rent,Rent - Base,2,Monthly,44409,44010,65534.53,65534.53,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9309,0,23,44103.55863,23,44103.55863,
4,919,ohhon001,2,302,t0000002,30,rent,Rent - Base,2,Monthly,44774,44010,67172.89,67172.89,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9309,0,23,44103.55863,23,44103.55863,
5,919,ohhon001,2,302,t0000002,30,rent,Rent - Base,2,Monthly,45139,44010,68852.21,68852.21,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9309,0,23,44103.55863,23,44103.55863,
6,919,ohhon001,2,302,t0000002,30,rent,Rent - Base,2,Monthly,45505,44010,70573.52,70573.52,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9309,0,23,44103.55863,23,44103.55863,
7,919,ohhon001,2,302,t0000002,19,mgtfeest,Management Fee CY Estimate,2,Monthly,44011,44010,3807.62,3807.62,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9309,0,23,44103.56019,23,44111.29029,
8,919,ohhon001,2,302,t0000002,19,mgtfeest,Management Fee CY Estimate,2,Monthly,44075,44010,750,750,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9309,0,23,44103.56019,35,44224.37414,
9,919,ohhon001,2,302,t0000002,14,insurest,Insurance Estimate - CY,2,Monthly,44011,44010,1287.08,1287.08,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9309,0,23,44103.56067,23,44103.56067,
10,919,ohhon001,2,302,t0000002,14,insurest,Insurance Estimate - CY,2,Monthly,44075,44010,1157.4,1157.4,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9309,0,23,44103.56067,23,44103.56067,
11,919,ohhon001,2,302,t0000002,34,retaxest,RE TAX Estimate - CY,2,Monthly,44011,44010,8877,8877,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9309,0,23,44103.56105,23,44103.56105,
12,919,ohhon001,2,302,t0000002,34,retaxest,RE TAX Estimate - CY,2,Monthly,44075,44010,9472.54,9472.54,213863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9309,0,23,44103.56105,23,44103.56105,
16,1063,oh575006,4,341,t0000004,30,rent,Rent - Base,2,Monthly,43617,44734,38500,38500,69866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,115810,0,23,44104.30627,23,44104.30627,
17,1063,oh575006,4,341,t0000004,19,mgtfeest,Management Fee CY Estimate,2,Monthly,43617,44712,2277.5,2277.5,69866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,23,44104.30828,230,44700.63944,
18,1063,oh575006,4,341,t0000004,14,insurest,Insurance Estimate - CY,2,Monthly,43617,44712,351,351,69866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,23,44104.30856,230,44700.63939,
19,1101,ohcom008,5,342,t0000005,30,rent,Rent - Base,2,Monthly,43742,44734,21200,21200,56210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115811,0,23,44104.31307,23,44104.31307,
40,992,ohkem002,7,353,t0000009,14,insurest,Insurance Estimate - CY,2,Monthly,43525,44165,20.17,20.17,3818,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,351,0,23,44105.52966,23,44105.52966,
