amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
40,ohhon001,t0000041,Superseded,0,REVIEW_REQUIRED,MEDIUM
41,ohhon001,t0000041,Activated,0,TERMINATION_OK,OK
43,ohkem002,t0000043,Superseded,19727,HISTORICAL_RENT,HIGH
96,ohkem002,t0000012,Activated,6999,RENT_EXPECTED,CRITICAL
414,tnb11012,t0000071,Activated,109955,RENT_EXPECTED,CRITICAL
422,tnwl1002,t0000087,Activated,25200,RENT_EXPECTED,CRITICAL
486,njrun160,t0000276,Activated,11200,RENT_EXPECTED,CRITICAL
699,gahaz013,t0000229,Activated,15000,RENT_EXPECTED,CRITICAL
701,tntri9,t0000062,Activated,16328,RENT_EXPECTED,CRITICAL
34334,xil222ja,t0000907,Activated,12905,RENT_EXPECTED,CRITICAL
32434,gaga1104,t0000373,Activated,12000,RENT_EXPECTED,CRITICAL
34425,xil231ja,t0000798,Activated,0,REVIEW_REQUIRED,MEDIUM
4507,xnj440be,t0000554,Activated,1232,RENT_EXPECTED,CRITICAL
349,gacom016,t0000266,Activated,56767,RENT_EXPECTED,CRITICAL
350,tnpop107,t0000313,Superseded,0,REVIEW_REQUIRED,MEDIUM
352,ohkem002,t0000010,Activated,3060,RENT_EXPECTED,CRITICAL
365,ohkem002,t0000008,Activated,13693,RENT_EXPECTED,CRITICAL
369,ohkem002,t0000043,Activated,19727,RENT_EXPECTED,CRITICAL
371,ohwar005,t0000039,Activated,10650,RENT_EXPECTED,CRITICAL
373,ohfai003,t0000017,Activated,5069,RENT_EXPECTED,CRITICAL
1808,njleo19,t0000102,Activated,2349,RENT_EXPECTED,CRITICAL
4588,ohwar004,t0000034,Activated,12173,RENT_EXPECTED,CRITICAL
4590,pajam002,t0000385,Activated,14500,RENT_EXPECTED,CRITICAL
4073,ohwar004,t0000019,Activated,7560,RENT_EXPECTED,CRITICAL
6645,xnjmway9,t0000483,Activated,12500,RENT_EXPECTED,CRITICAL
6646,xohcolu2,t0000672,Activated,17125,RENT_EXPECTED,CRITICAL
3482,gamou028,t0000241,Superseded,0,REVIEW_REQUIRED,MEDIUM
4179,gasc6007,t0000176,Activated,37600,RENT_EXPECTED,CRITICAL
15457,xil1terr,t0000512,Superseded,0,REVIEW_REQUIRED,MEDIUM
21307,xnj125al,t0000614,Superseded,50000,HISTORICAL_RENT,HIGH
7904,xtndelp1,t0000445,Activated,72000,RENT_EXPECTED,CRITICAL
7905,xtndelp1,t0000446,Activated,72000,RENT_EXPECTED,CRITICAL
7916,xil77whe,t0000656,Activated,0,REVIEW_REQUIRED,MEDIUM
4149,tnwl1002,t0000371,Activated,25200,RENT_EXPECTED,CRITICAL
4155,gaga1104,t0000230,Activated,10500,RENT_EXPECTED,CRITICAL
7921,padun003,t0000591,Activated,35279,RENT_EXPECTED,CRITICAL
8353,gatuc017,t0000157,Activated,59000,RENT_EXPECTED,CRITICAL
5423,xga5070,t0000581,Activated,48276,RENT_EXPECTED,CRITICAL
10088,txmil005,t0000132,Activated,14500,RENT_EXPECTED,CRITICAL
10142,gacom33,t0000414,Activated,50530,RENT_EXPECTED,CRITICAL
10242,gaold008,t0000192,Superseded,0,REVIEW_REQUIRED,MEDIUM
10154,gacre100,t0000401,Activated,3248,RENT_EXPECTED,CRITICAL
6175,xnj440be,t0000557,Activated,343,RENT_EXPECTED,CRITICAL
6369,ohkem002,t0000009,Activated,6878,RENT_EXPECTED,CRITICAL
6618,xnj10tw,t0000596,Activated,44000,RENT_EXPECTED,CRITICAL
7020,xohmost,t0000498,Activated,114027,RENT_EXPECTED,CRITICAL
11858,xtxritti,t0000531,Activated,8809,RENT_EXPECTED,CRITICAL
12015,tnb10010,t0000070,Activated,75527,RENT_EXPECTED,CRITICAL
12112,tnb12011,t0000073,Activated,48475,RENT_EXPECTED,CRITICAL
29098,xtndelp1,t0000606,Activated,41496,RENT_EXPECTED,CRITICAL
7588,xga4225,t0000567,Activated,7259,RENT_EXPECTED,CRITICAL
7589,xga4225,t0000568,Activated,8218,RENT_EXPECTED,CRITICAL
34228,3md00001,t0000838,Activated,11010,RENT_EXPECTED,CRITICAL
34235,xtxball,t0000435,Activated,29772,RENT_EXPECTED,CRITICAL
34244,xtxritti,t0000609,Activated,8730,RENT_EXPECTED,CRITICAL
34248,3tx00002,t0000947,Activated,3090,RENT_EXPECTED,CRITICAL
34254,xnjmway5,t0000488,Superseded,0,REVIEW_REQUIRED,MEDIUM
22209,xpa3041m,t0000878,Superseded,8000,HISTORICAL_RENT,HIGH
10455,xfl420sw,t0000743,Activated,6832,RENT_EXPECTED,CRITICAL
45423,xtxritti,t0000530,Superseded,16498,HISTORICAL_RENT,HIGH
45432,xtndelp1,t0001060,Superseded,41496,HISTORICAL_RENT,HIGH
45471,xnjmway7,t0000490,Activated,20000,RENT_EXPECTED,CRITICAL
47197,3md00004,t0000989,Activated,15970,RENT_EXPECTED,CRITICAL
47198,xtx1050k,t0001091,Superseded,5423,HISTORICAL_RENT,HIGH
47205,xtxdrysd,t0000612,Activated,26448,RENT_EXPECTED,CRITICAL
47207,xohcolu3,t0001073,Superseded,5893,HISTORICAL_RENT,HIGH
47224,3pa00001,t0000848,Superseded,13939,HISTORICAL_RENT,HIGH
47239,xnj9100p,t0000714,Superseded,47256,HISTORICAL_RENT,HIGH
54567,xnj6000i,t0001081,Activated,46188,RENT_EXPECTED,CRITICAL
62626,3tx00011,t0001032,Activated,23903,RENT_EXPECTED,CRITICAL
40906,3tn00003,t0000897,Activated,22500,RENT_EXPECTED,CRITICAL
40910,3tx00002,t0000949,Activated,21000,RENT_EXPECTED,CRITICAL
45449,xtx12150,t0000701,Superseded,11473,HISTORICAL_RENT,HIGH
45456,xnj59cha,t0000831,Superseded,10272,HISTORICAL_RENT,HIGH
40976,xga3471a,t0000796,Superseded,36072,HISTORICAL_RENT,HIGH
40984,xnj125al,t0000614,Activated,50000,RENT_EXPECTED,CRITICAL
32916,3md00001,t0000836,Activated,7579,RENT_EXPECTED,CRITICAL
32917,xnj6000i,t0000451,Activated,34847,RENT_EXPECTED,CRITICAL
59658,xtx8154b,t0000666,Superseded,35510,HISTORICAL_RENT,HIGH
59660,3ga00001,t0000855,Activated,18337,RENT_EXPECTED,CRITICAL
59661,xga4225,t0000566,Activated,9856,RENT_EXPECTED,CRITICAL
59662,xil240ja,t0000809,Activated,2900,RENT_EXPECTED,CRITICAL
59663,xil240ja,t0000812,Activated,6000,RENT_EXPECTED,CRITICAL
59664,3nj00014,t0001131,Superseded,5444,HISTORICAL_RENT,HIGH
59665,3tx00012,t0001036,Superseded,20983,HISTORICAL_RENT,HIGH
59680,xnj125al,t0001173,Superseded,50000,HISTORICAL_RENT,HIGH
59684,xga4600f,t0000687,Activated,7437,RENT_EXPECTED,CRITICAL
59685,xohmost,t0001147,Superseded,47107,HISTORICAL_RENT,HIGH
54587,3ga00004,t0001150,Activated,11828,RENT_EXPECTED,CRITICAL
47682,3md00002,t0001108,Activated,11369,RENT_EXPECTED,CRITICAL
15871,xtx1721s,t0000817,Activated,0,REVIEW_REQUIRED,MEDIUM
70125,3md00004,t0001023,Superseded,0,REVIEW_REQUIRED,MEDIUM
70127,xnj900k,t0000544,Activated,41500,RENT_EXPECTED,CRITICAL
70128,3tx00011,t0001196,Superseded,23272,HISTORICAL_RENT,HIGH
70136,3il00002,t0001190,Superseded,22406,HISTORICAL_RENT,HIGH
70138,3md00001,t0000834,Superseded,3408,HISTORICAL_RENT,HIGH
59585,3nj00014,t0001121,Superseded,5000,HISTORICAL_RENT,HIGH
59588,3nj00014,t0001120,Activated,10000,RENT_EXPECTED,CRITICAL
59589,3oh00001,t0000919,Activated,16400,RENT_EXPECTED,CRITICAL
59590,3md00004,t0000988,Activated,9562,RENT_EXPECTED,CRITICAL
61229,xtnawg1,t0000645,Activated,287664,RENT_EXPECTED,CRITICAL
61240,xnj14rol,t0000664,Activated,0,REVIEW_REQUIRED,MEDIUM
70107,xnj95bau,t0000619,Superseded,6792,HISTORICAL_RENT,HIGH
70109,xga2900j,t0001008,Activated,58225,RENT_EXPECTED,CRITICAL
70110,3fl00003,t0000866,Superseded,32846,HISTORICAL_RENT,HIGH
70112,3md00004,t0001195,Superseded,9429,HISTORICAL_RENT,HIGH
70115,xil2101,t0001197,Superseded,26994,HISTORICAL_RENT,HIGH
70117,xil1100h,t0000926,Activated,8500,RENT_EXPECTED,CRITICAL
70118,xil201ja,t0000793,Superseded,1971,HISTORICAL_RENT,HIGH
70119,xtn187bo,t0000525,Activated,120000,RENT_EXPECTED,CRITICAL
63032,3ga00005,t0001178,Superseded,30523,HISTORICAL_RENT,HIGH
27415,xnj156al,t0000622,Superseded,5566,HISTORICAL_RENT,HIGH
26909,xnj156al,t0000622,Superseded,5566,HISTORICAL_RENT,HIGH
59579,xnj156al,t0000622,Activated,5566,RENT_EXPECTED,CRITICAL
70148,xfl4646g,t0000689,Superseded,79188,HISTORICAL_RENT,HIGH
70167,xnj420be,t0000573,Superseded,1894,HISTORICAL_RENT,HIGH
70168,xnj440be,t0001219,Superseded,825,HISTORICAL_RENT,HIGH
70243,3oh00001,t0001238,Superseded,8000,HISTORICAL_RENT,HIGH
70250,xtx2616a,t0000708,Superseded,8923,HISTORICAL_RENT,HIGH
70252,xga2900j,t0001241,Superseded,58225,HISTORICAL_RENT,HIGH
70253,3nj00003,t0000908,Superseded,41000,HISTORICAL_RENT,HIGH
70254,xnj19nev,t0000627,Superseded,151799,HISTORICAL_RENT,HIGH
70255,3oh00001,t0000928,Superseded,32000,HISTORICAL_RENT,HIGH
70270,xga5070,t0001040,Activated,48276,RENT_EXPECTED,CRITICAL
70271,xnj3001i,t0000458,Activated,24805,RENT_EXPECTED,CRITICAL
70274,3fl00007,t0001028,Activated,39515,RENT_EXPECTED,CRITICAL
70281,xnj1010,t0000579,Superseded,73489,HISTORICAL_RENT,HIGH
70308,xtx467wa,t0001254,Activated,0,REVIEW_REQUIRED,MEDIUM
70309,xga1145b,t0000952,Superseded,67656,HISTORICAL_RENT,HIGH
70320,3md00001,t0000841,Superseded,17901,HISTORICAL_RENT,HIGH
70330,3nj00002,t0001233,Superseded,40800,HISTORICAL_RENT,HIGH
23603,xil201ja,t0000795,Activated,5382,RENT_EXPECTED,CRITICAL
23953,xpa3041m,t0000886,Activated,0,TERMINATION_OK,OK
24306,xtn3961o,t0000756,Activated,74906,RENT_EXPECTED,CRITICAL
24457,3nj00005,t0000962,Activated,44100,RENT_EXPECTED,CRITICAL
78435,xil1701b,t0000921,Superseded,48790,HISTORICAL_RENT,HIGH
45406,xoh382c,t0000603,Superseded,47848,HISTORICAL_RENT,HIGH
92302,3nj00020,t0001227,Superseded,32264,HISTORICAL_RENT,HIGH
27311,3nj00004,t0000957,Superseded,11307,HISTORICAL_RENT,HIGH
70286,xpa4200m,t0000747,Superseded,40791,HISTORICAL_RENT,HIGH
70300,nikedeal,t0000353,Superseded,707940,HISTORICAL_RENT,HIGH
97248,3nj00004,t0001355,Superseded,31994,HISTORICAL_RENT,HIGH
97249,xnj400wa,t0000715,Superseded,38550,HISTORICAL_RENT,HIGH
87773,xohmost,t0000434,Superseded,111087,HISTORICAL_RENT,HIGH
87774,xil2101,t0000594,Superseded,34455,HISTORICAL_RENT,HIGH
87775,xil1600,t0000514,Superseded,238423,HISTORICAL_RENT,HIGH
29543,xpa3041m,t0000887,Superseded,12800,HISTORICAL_RENT,HIGH
29849,xga9330,t0000542,Superseded,0,REVIEW_REQUIRED,MEDIUM
30157,3oh00001,t0000919,Superseded,0,REVIEW_REQUIRED,MEDIUM
97371,3md00001,t0000833,Superseded,4606,HISTORICAL_RENT,HIGH
102102,xnj108n,t0000582,Superseded,23912,HISTORICAL_RENT,HIGH
110760,xnj19ind,t0000850,Activated,22060,RENT_EXPECTED,CRITICAL
110808,xga4507m,t0001340,Activated,12040,RENT_EXPECTED,CRITICAL
34195,3oh00001,t0000903,Activated,8000,RENT_EXPECTED,CRITICAL
113135,xpa18rai,t0000702,Superseded,79051,HISTORICAL_RENT,HIGH
113136,xpa18rai,t0001428,Superseded,110695,HISTORICAL_RENT,HIGH
39370,xil231ja,t0000996,Activated,2902,RENT_EXPECTED,CRITICAL
34274,3nj00004,t0000957,Superseded,11307,HISTORICAL_RENT,HIGH
34275,xga4600f,t0000684,Superseded,0,REVIEW_REQUIRED,MEDIUM
34276,xtx2616a,t0000709,Activated,8176,RENT_EXPECTED,CRITICAL
34279,xtn225bo,t0000524,Activated,33340,RENT_EXPECTED,CRITICAL
34281,gacre100,t0000563,Superseded,0,REVIEW_REQUIRED,MEDIUM
34307,gasc3016,t0000183,Activated,60408,RENT_EXPECTED,CRITICAL
34312,xfl3333c,t0000843,Activated,39000,RENT_EXPECTED,CRITICAL
34313,3oh00001,t0000920,Activated,8000,RENT_EXPECTED,CRITICAL
115680,gasc6007,t0000562,Activated,37800,RENT_EXPECTED,CRITICAL
115681,tx4se001,t0000564,Activated,16899,RENT_EXPECTED,CRITICAL
115682,tntri9,t0000468,Activated,16328,RENT_EXPECTED,CRITICAL
115683,tnwl5004,t0000476,Activated,38539,RENT_EXPECTED,CRITICAL
115684,tnwl4003,t0000477,Activated,19446,RENT_EXPECTED,CRITICAL
115685,tntri4,t0000478,Activated,39375,RENT_EXPECTED,CRITICAL
115686,tnb10010,t0000479,Activated,75527,RENT_EXPECTED,CRITICAL
115687,padun003,t0000480,Activated,39571,RENT_EXPECTED,CRITICAL
115688,gadel034,t0000429,Activated,5651,RENT_EXPECTED,CRITICAL
115689,gadel034,t0000430,Activated,5581,RENT_EXPECTED,CRITICAL
115690,gadel034,t0000431,Activated,5581,RENT_EXPECTED,CRITICAL
115691,gadel034,t0000456,Activated,5975,RENT_EXPECTED,CRITICAL
115692,gasto009,t0000461,Activated,5025,RENT_EXPECTED,CRITICAL
115693,gahaz013,t0000466,Activated,15000,RENT_EXPECTED,CRITICAL
115694,gacom33,t0000419,Activated,40240,RENT_EXPECTED,CRITICAL
115695,txlan003,t0000420,Activated,52682,RENT_EXPECTED,CRITICAL
115696,gasto009,t0000422,Activated,5025,RENT_EXPECTED,CRITICAL
115697,gadel034,t0000426,Activated,5651,RENT_EXPECTED,CRITICAL
115698,gadel034,t0000427,Activated,11162,RENT_EXPECTED,CRITICAL
