customer_id,tenant_id,tenant_name,property_address,property_name,property_code,fund,naics,lease_id,credit_score,credit_score_date,parent_customer_id,tenant_risk,amendment_start_date,amendment_type,amendment_status,matched_credit_name,match_score,match_method,credit_filename,credit_tenant_name,credit_revenue,credit_website,credit_industry,credit_business_description,credit_credit_score,credit_credit_rating,credit_probability_of_default
c0000696,t0000434,The Gorilla Glue Company LLC,"nan Sharonville, OH 45241.0",12080 Mosteller Road,xohmost,2,,265496,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000181,t0000459,"CF17 Management, LLC","nan Mount Laurel, NJ 8054.0",3001 Irwin Road,xnj3001i,2,,185185,,,,,,Expansion,Activated,"WeldFit Management Holdings, LLC",85,Token fuzzy match,FP TCE_v7.44 - WeldFit (2024-11-05).pdf,"WeldFit Management Holdings, LLC",$122M,https://www.weldfit.com/,Manufactures pipeline equipment for oil and gas,Manufactures pipeline equipment for oil and gas,6.0,BB,
c0000215,t0000491,Cryovation LLC,"nan Hainesport, NJ 8036.0",9 Mary Way,xnjmway9,2,,265406,,,,,,Expansion,Activated,Motorvation LLC,76,Token fuzzy match,FP TCE_v6.65 - Motorvation LLC (2023-11-07).pdf,Motorvation LLC,$28.9M,https://www.motorvationtrucks.com,Specializes in selling pre‐owned trucks.,Specializes in selling pre‐owned trucks.,,,
c0000558,t0000501,Postal Service,"nan Acworth, GA 30101.0",4200 McEver Drive,xgamc200,2,,262977,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000726,t0000511,Turbo Systems US Inc.,"nan Bolingbrook, IL 60440.0",1 Territorial Court,xil1terr,2,,265508,,,,,,Proposal in DM,Activated,"Beard Integrated Systems, Inc.",71,Token fuzzy match,FP TCE_v7.44 - Beard Integrated Systems (2024-10-21).pdf,"Beard Integrated Systems, Inc.",$104.1M,https://beard-companies.com/,"Mechanical, electrical, and piping turnkey solutions.","Mechanical, electrical, and piping turnkey solutions.",4.5,,
c0000367,t0000514,"Insight North America, Inc.","nan Hanover Park, IL 60133.0",1600 Hunter Rd,xil1600,2,,282706,,,,,,Renewal,Activated,"ACTEGA North America, Inc.(Guarantor & partent ACTEGA Gmbh, overall part of Altana AG)",81,Token fuzzy match,"FP TCE_v6.67 - ACTEGA North America, Inc. (2024-04-16).pdf","ACTEGA North America, Inc.(Guarantor & partent ACTEGA Gmbh, overall part of Altana AG)",$2741.5M,https://www.actega.com/emea/en/,"Manufacturer of water based coatings, inks and adhesives","Manufacturer of water based coatings, inks and adhesives",,,
c0000147,t0000534,"Blendco Systems, LLC","nan Bristol, PA 19007.0",1 Pearl Buck Court,xpa1peae,2,,275718,,,,,,Renewal,Activated,"Momentum Exterior Systems, LLC - sub of HITT",73,Token fuzzy match,FP TCE_v7.53 - Momentum Glass (2025-06-04).pdf,"Momentum Exterior Systems, LLC - sub of HITT",$69M,https://momentum-glass.com/,Commercial glass and façade system contractor.,Commercial glass and façade system contractor.,4.5,,
c0000244,t0000540,"Dynamic Rubber, Inc.","nan Mt. Prospect, IL 60056.0",900 East Business Center Drive,xil900b,2,,357007,,,,,,Proposal in DM,Activated,"Dynamic Rubber, Inc. (DR)",95,PDF-assisted,FP TCE_v7.53 - Dynamic Rubber (2025-07-22).pdf,"Dynamic Rubber, Inc. (DR)",$7.4M,https://www.dynamicrubber.com/,Custom manufacturer of inflatable rubber sealing systems.,Custom manufacturer of inflatable rubber sealing systems.,4.5,,
c0000498,t0000542,"Myers Tire Supply Distribution, Inc.","nan Alpharetta, GA 30319.0",9330 Industrial Trace,xga9330,2,,265461,,,,,,Termination,Activated,,0,No match,,,,,,,,,
c0000209,t0000547,"Corporate Facility Services USA, LLC","nan Swedesboro, NJ 19130.0",313 Church Street,xnj313c,2,,369069,,,,,,Original Lease,Activated,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly PG)",75,Token fuzzy match,FP TCE_v7.51 - Precision Group (2025-05-15).pdf,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly PG)",$34M,https://www.precision-fg.com/,"Commercial relocation, logistics, and furniture services.","Commercial relocation, logistics, and furniture services.",3.0,CC,
c0000627,t0000553,"Shingle & Gibb Automation, LLC","nan Moorestown, NJ 8057.0",845 Lancer Drive,xnj845l,2,,350861,,,,,,Original Lease,Activated,,0,No match,,,,,,,,,
c0000177,t0000578,"CCL Label, INC.","nan Moorestown, NJ 19102.0",390 New Albany Road,xnj390n,2,,242556,,,,,,Termination,Activated,,0,No match,,,,,,,,,
c0000751,t0000582,"Webtech, INC","nan Robbinsville, NJ 8691.0",108 North Gold Drive,xnj108n,2,,280804,,,,,,Termination,Activated,,0,No match,,,,,,,,,
c0000494,t0000593,Motorvation LLC,"nan Jonesboro, GA 30236.0",1157 Battlecreek Road,xga1157,2,,308922,,,,,,Termination,Activated,Motorvation LLC,95,PDF-assisted,FP TCE_v6.65 - Motorvation LLC (2023-11-07).pdf,Motorvation LLC,$28.9M,https://www.motorvationtrucks.com,Specializes in selling pre‐owned trucks.,Specializes in selling pre‐owned trucks.,,,
c0000178,t0000594,Centerpoint Marketing Inc.,"nan Elk Grove Village, IL 60007.0",2101 Arthur Avenue,xil2101,2,,282702,,,,,,Renewal,Activated,Marketing.com,82,Token fuzzy match,FP TCE_v7.25 - Marketing.com (12.15.23).pdf,Marketing.com,$170.2M,https://marketing.com/,"Commercial printing, signage, and fulfillment services","Commercial printing, signage, and fulfillment services",,BB,
c0000193,t0000595,"Clingan Steel, Inc.","nan Elk Grove Village, IL 60007.0",2101 Arthur Avenue,xil2101,2,,208512,,,,,,Original Lease,Activated,,0,No match,,,,,,,,,
c0000301,t0000604,"G&W Products, LLC.","nan Fairfield, OH 45011.0",8655 Seward Road,xoh8655,2,,303735,,,,,,Renewal,Activated,"G & W Products, Inc.",95,PDF-assisted,FP TCE_v7.45 - G&W Products (2025-02-27).pdf,"G & W Products, Inc.",$49.9M,https://www.gandwproductsinc.com/,"Metal fabrication, stamping, welding, and coating.","Metal fabrication, stamping, welding, and coating.",5.5,,
c0000199,t0000614,Combocap Inc.,"nan Whippany, NJ 7981.0",125 Algonquin Parkway,xnj125al,2,,271608,,,,,,Termination,Activated,,0,No match,,,,,,,,,
c0000164,t0000617,Cablevision of Oakland,"nan Oakland, NJ 7436.0",40 Potash Road,xnj40pot,2,,271605,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000324,t0000624,Goldstein & Burton,"nan Oakland, NJ 7436.0",128 Bauer Drive,xnj128ba,2,,271604,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000586,t0000627,"RD Foods America, Inc.","nan Fairlawn, NJ 7410.0",19-05 Nevins Road,xnj19nev,2,,248020,,,,,,Expansion,Activated,RD Foods Americas Inc. (wholly-owned sub of RD Corporation),75,Token fuzzy match,FP TCE_v6.67 - RD Foods Americas Inc. (2026-05-20).pdf,RD Foods Americas Inc. (wholly-owned sub of RD Corporation),$15.3M,https://rdfoodsamericas.com/,Wholesale importer and distributor of canned food products,Wholesale importer and distributor of canned food products,,,
c0000142,t0000629,Biogen Laboratory Corporation,"nan Fairlawn, NJ 7410.0",17-01 Pollitt Drive,xnj17pol,2,,343070,,,,,,Original Lease,Activated,Chemed Corporation,76,Token fuzzy match,FP TCE_v6.67 - RotoRooter Plumbing & Drain Service (2024-04-16).pdf,Chemed Corporation,$2264.4M,https://chemed.com,Provides hospice care and plumbing services.,Provides hospice care and plumbing services.,,,
c0000416,t0000630,"Kyodo Shipping and Trading USA, Corp","nan Fairlawn, NJ 7410.0",17-01 Pollitt Drive,xnj17pol,2,,265452,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000410,t0000638,"KPower Global Logistics, LLC","nan Memphis, TN 38118.0",4290 Delp Street,xtndelp1,2,,265619,,,,,,Renewal,Activated,GEMACP Logistics,72,Token fuzzy match,FP TCE_v6.65 - Gemcap (2023-11-17).pdf,GEMACP Logistics,$12.6M,https://gemcaplogistics.com/,Provide trucking & logistics services,Provide trucking & logistics services,,,
c0000746,t0000641,VIE DE France Yamazaki Inc,"nan Atlanta, GA 30319.0",4507 Mills Place,xga4507m,2,,286196,,,,,,Renewal,Activated,"Vie De France Yamazaki, Inc. (Wholly-owned subsidiary of Yamazaki Baking Company, Ltd)",100,Token fuzzy match,FP TCE_v7.44 - Vie de France Yamazaki (2024-12-12).pdf,"Vie De France Yamazaki, Inc. (Wholly-owned subsidiary of Yamazaki Baking Company, Ltd)",$122M,http://www.viedefrance.com/,French-inspired bakery products for retail/wholesale.,French-inspired bakery products for retail/wholesale.,5.5,B+,
c0000632,t0000649,"Sigma Global, Inc.","nan Elk Grove Village, IL 60007.0",770 Arthur Avenue,xil770ar,2,,241614,,,,,,Termination,Activated,"Global Packaging, Inc.",77,Token fuzzy match,FP TCE_v7.53 - Global Packaging (2025-07-23).pdf,"Global Packaging, Inc.",$109.8M,https://www.glopkg.com/,Flexible packaging manufacturer for food products.,Flexible packaging manufacturer for food products.,5.5,,
c0000645,t0000658,"South State, Inc.","nan Bellmawr, NJ 8031.0",440 Benigno Boulevard,xnj440be,2,,275719,,,,,,Contraction,Activated,"Seal South, Inc.",83,Token fuzzy match,FP TCE_v7.44 - Seal South (2024-12-03).pdf,"Seal South, Inc.",$7.3M,https://www.seal-il.com,Provides specialized educational and therapeutic services.,Provides specialized educational and therapeutic services.,5.0,,
c0000704,t0000661,The Printer Inc. (TPI),"nan Pennsauken, NJ 8110.0",1601-1641 Sherman Avenue,xnj1601s,2,,194197,,,,,,Expansion,Activated,,0,No match,,,,,,,,,
c0000053,t0000665,Terrazzo & Marble Supply Company of IL,"nan Wheeling, IL 60090.0",77 Wheeling Road,xil77whe,2,,265493,,,,,,Renewal,Activated,,0,No match,,,,,,,,,
c0000281,t0000671,"FCX Performance, Inc.","nan Columbus, OH 43219.0",3000 – 3004 E 14th Avenue,xohcolu1,2,,356996,,,,,,Original Lease,Activated,,0,No match,,,,,,,,,
c0000056,t0000675,"True World Foods Columbus, LLC","nan Columbus, OH 43219.0",3000 – 3004 E 14th Avenue,xohcolu1,2,,303737,,,,,,Proposal in DM,Activated,True World Foods Columbus LLC,100,Fuzzy match,FP TCE_v7.45 - TWF (2025-01-30).pdf,True World Foods Columbus LLC,$16.3M,http://www.trueworldfoods.com/,Seafood distributor specializing in sushi-grade products.,Seafood distributor specializing in sushi-grade products.,5.0,,
c0000095,t0000681,American HVAC Inc,"nan Atlanta, GA 30036.0",4600&4630 Frederick Drive,xga4600f,2,,265386,,,,,,Holdover,Activated,"American Musical Supply, Inc. (AMS)",83,Token fuzzy match,"FP TCE_v6.57 - Master_American Musical Supply, Inc. (2023-09-21).pdf","American Musical Supply, Inc. (AMS)",$336M,https://www.americanmusical.com/,Online musical instrument retailer and wholesale supplier,Online musical instrument retailer and wholesale supplier,,,
c0000279,t0000682,Fastenal Company,"nan Atlanta, GA 30036.0",4600&4630 Frederick Drive,xga4600f,2,,266095,,,,,,Renewal,Activated,Fastenal Company,100,Fuzzy match,FP TCE_v7.44 - Fastenal (2024-11-05).pdf,Fastenal Company,$7134M,https://www.fastenal.com/,Distributes industrial and construction supply products.,Distributes industrial and construction supply products.,9.5,,
