filename,tenant_name,revenue,website,industry,business_description,credit_score,probability_of_default
FP TCE_v7.45 - Polyart (2025-03-12).pdf,9.02% to 14.87% # of Benchmarks: 29 Industry Company Percentile # of Industry Benchmarks 29,$516M,https://www.polyart.com/,Synthetic paper and specialty-coated material manufacturing. Profitability EBITDA Margin 9.0% 4.3% 13%,Synthetic paper and specialty-coated material manufacturing. Profitability EBITDA Margin 9.0% 4.3% 13%,CCC,
FP TCE_v7.45 - Five Star Food Service (2025-03-27).pdf,"Five Star Food Service, Inc.",$648.2M,https://www.fivestarbreaktime.com,"Unattended retail and workplace foodservice provider. Adjusted EBITDA 65,162 84,551 99,410 17.6%","Unattended retail and workplace foodservice provider. Adjusted EBITDA 65,162 84,551 99,410 17.6%",BB,
FP TCE_v7.44 - Insight Enterprise (2024-10-11).pdf,"Insight Enterprises, Inc.","$9,175.8M",https://www.insight.com,"Global provider of IT and digital solutions. Adjusted EBITDA 387,482 470,314 482,271 2.5%","Global provider of IT and digital solutions. Adjusted EBITDA 387,482 470,314 482,271 2.5%",BB,
FP TCE_v6.68 - Reliable Restoration (2024-06-17)(1).pdf,"Reliable Restoration, LLC",$18.9M,https://choosereliable.com/,"Provides restoration and construction services in Southeast. Adjusted EBITDA 258 1,177 3,266 177.5%","Provides restoration and construction services in Southeast. Adjusted EBITDA 258 1,177 3,266 177.5%",BB,
FP TCE_v7.44 - Thaler Machine Holdings (2024-11-12).pdf,"Thaler Machine Holdings, LLC and Subsidiary (Thaler Machine Company, Inc.)",$19.9M,https://www.thalermachine.com/,"Precision components for aerospace and defense industries. Adjusted EBITDA 5,309 4,326 750 -82.7%","Precision components for aerospace and defense industries. Adjusted EBITDA 5,309 4,326 750 -82.7%",CCC,
FP TCE_v7.44 - CurlMix (2024-11-21).pdf,"Listener Brands, Inc.",$4.6M,https://curlmix.com/,"Natural hair care for curly textures. Adjusted EBITDA 899 899 (3,250) -461.5%","Natural hair care for curly textures. Adjusted EBITDA 899 899 (3,250) -461.5%",C,
FP TCE_v7.44 - CSG (2025-02-12).pdf,"Clean Solutions Group, Inc. (""CSG"")",$112.0M,https://cleangrp.com/,"Produces sustainable nonwoven air, sanitation and floormat products. Adjusted EBITDA 30,539 14,265 18,238 27.9%","Produces sustainable nonwoven air, sanitation and floormat products. Adjusted EBITDA 30,539 14,265 18,238 27.9%",B,
FP TCE_v7.53 - Base Power (2025-07-14).pdf,"Base Power, Inc.",$126M,https://www.basepowercompany.com/,Residential electricity with battery backup service. Profitability EBITDA Margin 27.4% -3301.8% 0%,Residential electricity with battery backup service. Profitability EBITDA Margin 27.4% -3301.8% 0%,C,
FP TCE_v7.45 - All Metals (2025-03-20).pdf,"All Metals Industries Holdings, LLC",$49M,,Metal distributor serving industrial and commercial markets. Profitability EBITDA Margin 12.9% 3.2% 9%,Metal distributor serving industrial and commercial markets. Profitability EBITDA Margin 12.9% 3.2% 9%,CC,
FP TCE_v6.66 - Whitaker Group (2024-04-12).pdf,"The Whitaker Group, Inc.",$83.9M,https://thewhitakergrp.com/,"Retail fashion stores Adjusted EBITDA 30,285 11,599 4,616 -60.2%","Retail fashion stores Adjusted EBITDA 30,285 11,599 4,616 -60.2%",B,
FP TCE_v7.51 - PTI (2025-04-30).pdf,"Processing Technologies International, LLC (""PTI"")",$34.7M,https://www.ptiextruders.com/,"Designs and manufactures plastic sheet extruders. Adjusted EBITDA 7,650 6,117 1,631 -73.3%","Designs and manufactures plastic sheet extruders. Adjusted EBITDA 7,650 6,117 1,631 -73.3%",CCC,
FP TCE_v7.44 - Caseys Coffee (2024-11-01).pdf,"Casey's Coffee, Inc.",$8M,https://thecaseyscoffee.com/menu/,Specialty coffee shop with diverse menu. Profitability EBITDA Margin 7.3% 53.7% 100%,Specialty coffee shop with diverse menu. Profitability EBITDA Margin 7.3% 53.7% 100%,CC,
