tenant_name,fund,property_name,combined_credit_score,combined_credit_rating,risk_level,score_source
Bengal Converting Services,2,18 Railroad Street,2.0,,High Risk,TCE Evaluation
NJ/NY Gotham Football Club LLC,2,30 Leslie Court,2.5,,High Risk,TCE Evaluation
"American Expediting Logistics, LLC",3,801 Primos Avenue,3.0,,High Risk,TCE Evaluation
"Pacesetter Steel Service, Inc.",3,1100 Shallowford Rd,3.0,,High Risk,Q2 2025 PDF
"cbdMD, Inc.",3,2101 Westinghouse Boulevard,3.0,,High Risk,TCE Evaluation
"A&J Direct, Inc.",2,201 James Street,3.5,CC,High Risk,TCE Evaluation
Flower Shop El Chapin LLC,3,10755 Sanden Drive,3.5,CC,High Risk,TCE Evaluation
International General Trading Corp.,2,2616 Andjon Drive,3.5,,High Risk,Q2 2025 PDF
"MWD Logistics, Inc.",3,1056 Personal Place,3.5,,High Risk,TCE Evaluation
"Champion Gymnastics & Cheer, LLC,",3,2160 Hills Avenue,4.0,CCC,Medium-High Risk,TCE Evaluation
"Daring Design, LLC",3,9176 Red Branch,4.0,CCC,Medium-High Risk,TCE Evaluation
"Family Vending, LLC",2,201 James Street,4.0,CCC,Medium-High Risk,TCE Evaluation
Ken Color Laboratories,3,15 Gloria Lane,4.0,CCC,Medium-High Risk,TCE Evaluation
Prime Egrocery Inc,3,9176 Red Branch,4.0,CCC,Medium-High Risk,TCE Evaluation
Trident ExIm LLC,2,900 East Business Center Drive,4.0,CCC,Medium-High Risk,Both (Q2 Primary)
USCutter Inc.,3,3696 Knight Road,4.0,,Medium-High Risk,Q2 2025 PDF
"Beard Integrated Systems, Inc.",3,1501 Kings Road,4.5,,Medium-High Risk,TCE Evaluation
"CFC Group, LLC",3,2160 Hills Avenue,4.5,,Medium-High Risk,TCE Evaluation
"Delta Landscape Supply of Georgia, Inc",3,4025 Steve Reynolds Blvd,4.5,,Medium-High Risk,TCE Evaluation
"Dynamic Rubber, Inc.",2,900 East Business Center Drive,4.5,,Medium-High Risk,TCE Evaluation
"Kreg Therapeutics, Inc",2,3045 – 3065 Switzer Avenue,4.5,,Medium-High Risk,Q2 2025 PDF
March Products Inc.,3,1101 Venture Ct.,4.5,,Medium-High Risk,TCE Evaluation
"Aluma-Form, Inc.",3,3755 Knight Arnold Road,5.0,,Medium Risk,Both (Q2 Primary)
Circuit Works Corporation,3,10755 Sanden Drive,5.0,B,Medium Risk,TCE Evaluation
Digi America Inc.,3,155 Pierce Street,5.0,,Medium Risk,Q2 2025 PDF
"EA Engineering, Science, and Technology, Inc.",2,1601-1641 Sherman Avenue,5.0,,Medium Risk,Q2 2025 PDF
Innoved Institute LLC,2,770 Arthur Avenue,5.0,,Medium Risk,TCE Evaluation
"Jade Carpentry Contractors, Inc.",2,141-145 Bernice,5.0,,Medium Risk,TCE Evaluation
