index,customer_id,tenant_name,matched_credit_name,match_score,match_method,actual_similarity,action,reason
1,c0000181,"CF17 Management, LLC","WeldFit Management Holdings, LLC",85,Token fuzzy match,57.1,REMOVE,Fuzzy match with low similarity (57.1%)
2,c0000215,Cryovation LLC,Motorvation LLC,76,Token fuzzy match,66.7,REMOVE,Low confidence match (66.7%)
4,c0000726,Turbo Systems US Inc.,"Beard Integrated Systems, Inc.",71,Token fuzzy match,50.0,REMOVE,Fuzzy match with low similarity (50.0%)
5,c0000367,"Insight North America, Inc.","ACTEGA North America, Inc.(Guarantor & partent ACTEGA Gmbh, overall part of Altana AG)",81,Token fuzzy match,29.7,REMOVE,Very low similarity (29.7%)
6,c0000147,"Blendco Systems, LLC","Momentum Exterior Systems, LLC - sub of HITT",73,Token fuzzy match,40.7,REMOVE,Fuzzy match with low similarity (40.7%)
7,c0000244,"Dynamic Rubber, Inc.","Dynamic Rubber, Inc. (DR)",95,PDF-assisted,84.8,REVIEW,Medium similarity (84.8%)
9,c0000209,"Corporate Facility Services USA, LLC","Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly PG)",75,Token fuzzy match,41.7,REMOVE,Fuzzy match with low similarity (41.7%)
13,c0000494,Motorvation LLC,Motorvation LLC,95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
16,c0000301,"G&W Products, LLC.","G & W Products, Inc.",95,PDF-assisted,92.3,KEEP,High similarity (92.3%)
20,c0000586,"RD Foods America, Inc.",RD Foods Americas Inc. (wholly-owned sub of RD Corporation),75,Token fuzzy match,48.5,REMOVE,Fuzzy match with low similarity (48.5%)
21,c0000142,Biogen Laboratory Corporation,Chemed Corporation,76,Token fuzzy match,46.2,REMOVE,Fuzzy match with low similarity (46.2%)
24,c0000746,VIE DE France Yamazaki Inc,"Vie De France Yamazaki, Inc. (Wholly-owned subsidiary of Yamazaki Baking Company, Ltd)",100,Token fuzzy match,48.9,REMOVE,Fuzzy match with low similarity (48.9%)
25,c0000632,"Sigma Global, Inc.","Global Packaging, Inc.",77,Token fuzzy match,42.9,REMOVE,Fuzzy match with low similarity (42.9%)
26,c0000645,"South State, Inc.","Seal South, Inc.",83,Token fuzzy match,47.6,REMOVE,Fuzzy match with low similarity (47.6%)
30,c0000056,"True World Foods Columbus, LLC",True World Foods Columbus LLC,100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
31,c0000095,American HVAC Inc,"American Musical Supply, Inc. (AMS)",83,Token fuzzy match,47.6,REMOVE,Fuzzy match with low similarity (47.6%)
32,c0000279,Fastenal Company,Fastenal Company,100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
33,c0000544,Pelton Shepherd Industries Inc,"Pelton-Shepherd Industries, Inc.",100,Fuzzy match,96.2,KEEP,High similarity (96.2%)
36,c0000136,Bengal Converting Services,"Bengal Converting Services, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
37,c0000330,Greif Packaging LLC,"GC Packaging, LLC (GCP) - acquired by Fanatics Holdings",81,Token fuzzy match,33.8,REMOVE,Very low similarity (33.8%)
38,c0000418,L&W Supply Corporation,ABC Supply Holding Corporation,77,Fuzzy match,68.2,REMOVE,Low confidence match (68.2%)
39,c0000622,Setzer's and Co. Inc.,"SABBOW AND CO., INC.",74,Token fuzzy match,45.5,REMOVE,Fuzzy match with low similarity (45.5%)
42,c0000255,"Ehmke Manufacturing Co., Inc","CNC Manufacturing, Inc.",81,Fuzzy match,77.8,REVIEW,Medium similarity (77.8%)
44,c0000414,"Kreg Therapeutics, Inc",KREG THERAPEUTICS LLC (KT),95,PDF-assisted,87.2,KEEP,High similarity (87.2%)
45,c0000378,"Jade Carpentry Contractors, Inc.","Jade Carpentry Contractors, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
50,c0000531,Overhead Door Corporation,Chemed Corporation,76,Token fuzzy match,62.9,REMOVE,Low confidence match (62.9%)
52,c0000522,OEM Accessories  Incorporated,Corning Incorporated,75,Token fuzzy match,66.7,REMOVE,Low confidence match (66.7%)
53,c0000753,Werner Aero Services,"Werner Aero, LLC",85,Token fuzzy match,71.0,REVIEW,Medium similarity (71.0%)
57,c0000159,Bunting Magnetics Company,Bunting Magnetics Co.,95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
59,c0000638,"Snap Tire, Inc.","Snap Tire, Inc.",100,Manual correction,100.0,KEEP,High similarity (100.0%)
63,c0000793,NJ/NY Gotham Football Club LLC,NJ/NY Gotham Football Club LLC,95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
65,c0000056,"True World Foods Columbus, LLC",True World Foods Columbus LLC,100,Fuzzy match,100.0,KEEP,High similarity (100.0%)
69,c0001036,"Genband Industries, LLC","945 Industries, LLC",75,Fuzzy match,68.8,REMOVE,Low confidence match (68.8%)
71,c0001076,"Atlantic Tape Company, Inc.","Currey & Company, Inc.",76,Token fuzzy match,19.0,REMOVE,Very low similarity (19.0%)
72,c0001058,Innoved Institute LLC,"Innoved Institute, LLC",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
73,c0001069,"Quench USA, Inc.","Quench USA, Inc (sub of Culligan, owned by BDT Capital)",100,Token fuzzy match,33.9,REMOVE,Very low similarity (33.9%)
74,,"A&J Direct, Inc.","A&J Direct, Inc.",95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
76,,"Family Vending, LLC",Family Vending LLC,95,PDF-assisted,100.0,KEEP,High similarity (100.0%)
