Required field?,N/A,N/A,No,Yes,NO,NO,NO,NO,NO,NO,NO,NO,Yes,NO,NO,NO,NO,NO,,,,,,
Field Type,ID Field for loader- Only load items that have the ID ,Ignore-for internal use only ,"Free Text-short (1-2 rows) 
Note for the Internal team- this field is taken from the Tenant column on the report ",Date,Free Text-short (1-2 rows),Number,Number,Hyperlink/Free text,Free Text-long (paragraph),Free Text-short (1-2 rows),Free Text-short (1-2 rows),Free Text-short (1-2 rows),Number,Number,Number,Number,Number,Number,,,,,Hyperlink/Free text,Free Text-long (paragraph)
Field Name,Customer ID,File Name,Company Name/s,Credit Check Date ,HQ  Location,Annual Revenues,Year Founded,Website,Description,Ownership,Primary Industry,Competitive Position Industry Group,Credit Rating,Gross Profit,EBIT,EBITDA,Total Assets,Total Debt,Current Ratio,Quick Ratio,Net Debt / EBITDA,Debt / Assets,Report Attachment Link,General Notes 
"c0001036_Genband Industries, LLC",c0001036,FP TCE_v7.44 - Genband Industries (2024-10-03).xlsm,"Genband Industries, LLC",09/30/24,"Elk Grove Village, IL"," 1,021,216 ",2017,https://www.generalbandages.com/,0,Private (PE),0,0, -   ," 511,561 ",," 205,191 ",,, 31.2 , 31.2 , -   , -   ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001036_Genband%20Industries,%20LLC/FP%20TCE_v7.44%20-%20Genband%20Industries%20(2024-10-03).pdf?csf=1&web=1&e=MvxG4f",
c0001031_Trane U.S. Inc.,c0001031,FP TCE_v7.44 - Trane Technologies (2024-10-07).xlsm,Trane U.S. Inc.,09/30/24,Dublin," 17,677,600,000 ",1913,https://www.tranetechnologies.com/en/index.html,Provides energy-efficient HVAC and refrigeration solutions.,Public,Building Products,Building Materials, 7.79 ," 5,857,200,000 ",," 3,455,600,000 ",,, 1.1 , 0.8 , 1.1 , 0.25 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001031_Mitchell%20Industrial%20Tire%20Com/FP%20TCE_v7.44%20-%20Mitchell%20Industrial%20Tire%20(2024-10-16).pdf?csf=1&web=1&e=MzefY5,
"c0000161_C&J Contractors, LLC",c0000161,FP TCE_v7.44 - C&J Contractors (2024-11-01).xlsm,"C&J Contractors, LLC",10/29/24,"Columbia, MD"," 7,028,670 ",2010,https://www.facebook.com/ImprovementsCandJMd/,Residential General Contractor,Private (Non-PE),Construction and Engineering,Engineering And Construction, 5.54 ," 2,663,191 ",," 1,728,181 ",,, 8.4 , 6.3 , (0.2), -   ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000161_C%26J%20Contractors,%20LLC/FP%20TCE_v7.44%20-%20C%26J%20Contractors%20(2024-11-01).pdf?csf=1&web=1&e=3jg4Is",
"c0000174_Casey's Coffee, Inc.",c0000174,FP TCE_v7.44 - Casey's Coffee (2024-11-01).xlsm,"Casey's Coffee, Inc.",10/29/24,"Columbia, MD"," 350,832 ",1997,https://thecaseyscoffee.com/menu/,Specialty coffee shop with diverse menu.,Private (Non-PE),Restaurants,Retail And Restaurants, 3.57 ," 278,069 ",," 188,280 ",,, -   , -   , -   , -   ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000174_Casey%27s%20Coffee,%20Inc/FP%20TCE_v7.44%20-%20Caseys%20Coffee%20(2024-11-01).pdf?csf=1&web=1&e=n9fk38",
"c0001042_Novartis Services, Inc.",c0001042,FP TCE_v7.44 - Novartis (2024-10-29).xlsm,"Novartis Services, Inc.",10/29/24,"Basel, CH"," 46,660,000,000 ",1996,https://www.novartis.com/,Global healthcare innovation and medicine development.,Public,Pharmaceuticals,Pharmaceuticals, 8.31 ," 34,188,000,000 ",," 18,046,000,000 ",,, 1.2 , 0.9 , 0.4 , 0.20 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001042_Novartis%20Services,%20Inc/FP%20TCE_v7.44%20-%20Novartis%20(2024-10-29).pdf?csf=1&web=1&e=kLZ6pD",
c0000279_Fastenal Company,c0000279,FP TCE_v7.44 - Fastenal (2024-11-05).xlsm,Fastenal Company,11/04/24,"Winona, MN"," 7,346,700,000 ",1967,https://www.fastenal.com/,Distributes industrial and construction supply products.,Public,Trading Companies and Distributors,Capital Goods, 9.31 ," 3,354,500,000 ",," 1,695,300,000 ",,, 4.6 , 2.3 , 0.2 , 0.12 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000279_Fastenal%20Company/FP%20TCE_v7.44%20-%20Fastenal%20(2024-11-05).pdf?csf=1&web=1&e=5rmcmb,
"c0000962_Delta Landscape Supply of Georgia, Inc.",c0000962,FP TCE_v7.44 - Delta Landscaping (2024-11-05).xlsm,"Delta Landscape Supply of Georgia, Inc.",11/04/24,"Atlanta, GA"," 3,044,767 ",1994,https://www.deltalandscape.com/,Supplies erosion control and landscaping products.,Private (Non-PE),Agricultural Products and Services,Agribusiness And Commodity Foods, 4.36 ," 1,117,205 ",," 223,395 ",,, 7.1 , 6.3 , (5.4), -   ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000962_Delta%20Landscape%20Supply%20of%20G/FP%20TCE_v7.44%20-%20Delta%20Landscaping%20(2024-11-05).pdf?csf=1&web=1&e=iAN3v9,
c0001048_Flower Shop El Chapin LLC,c0001048,FP TCE_v7.44 - Flower Shop El Chapin (2024-11-05).xlsm,Flower Shop El Chapin LLC,11/05/24,"Houston, TX"," 1,599,710 ",2023,n/a,Florist providing floral arrangements and event services.,Private (Non-PE),Other Specialty Retail,Retail And Restaurants, 3.61 ," 1,141,495 ",," 709,888 ",,, -   , -   , (0.0), -   ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001048_Flower%20Shop%20El%20Chapin%20LLC/FP%20TCE_v7.44%20-%20Flower%20Shop%20El%20Chapin%20(2024-11-05).pdf?csf=1&web=1&e=k5Znrk,
"c0000939_Zeus Scientific, Inc.",c0000939,FP TCE_v7.44 - Zeus Scientific (2024-11-15).xlsm,"Zeus Scientific, Inc.",11/15/24,"Branchburg, NJ"," 19,326,502 ",1976,https://www.zeusscientific.com/,Diagnostic immunoassays for disease detection.,Private (Non-PE),Health Care Equipment,Health Care Equipment, 4.45 ," 10,234,952 ",," 1,973,322 ",,, 7.1 , 2.9 , 1.2 , 0.04 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000939_Zeus%20Scientific,%20Inc/FP%20TCE_v7.44%20-%20Zeus%20Scientific%20(2024-11-15).pdf?csf=1&web=1&e=Q6FkBL",
"c0000431_Listener Brands, Inc. ",c0000431,FP TCE_v7.44 - CurlMix (2024-11-21).xlsm,"Listener Brands, Inc. ",11/21/24,"Chicago, IL"," 4,596,871 ",2015,https://curlmix.com/,Natural hair care for curly textures.,Private (Non-PE),Personal Care Products,Branded Nondurables, 2.60 ," 3,630,090 ",," 3,179,692 ",,, 0.2 , 0.2 , 0.3 , 6.61 ,"https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000431_Listener%20Brands,%20Inc/FP%20TCE_v7.44%20-%20CurlMix%20(2024-11-21).pdf?csf=1&web=1&e=yu8JOe",
c0000753_Werner Aero Services,c0000753,FP TCE_v7.44 - WernerAero (2024-11-22).xlsm,Werner Aero Services,11/22/24,"Mahwah, NJ"," 16,495,472 ",1993,https://werneraero.com/,Aviation asset management and aftermarket support.,Private (Non-PE),Aerospace and Defense,Aerospace & Defense, 3.88 ," 7,093,037 ",," 1,841,500 ",,, 1.4 , 0.2 , 5.2 , 0.65 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000753_Werner%20Aero%20Services/FP%20TCE_v7.44%20-%20WernerAero%20(2024-11-22).pdf?csf=1&web=1&e=R9o2vV,
c0000490_Modern Equipment Co.,c0000490,FP TCE_v7.44 - Modern Equipment Co Inc (2024-11-27).xlsm,Modern Equipment Co.,11/25/24,"Burlington, NJ"," 21,828,625 ",1961,https://www.modernstoreequipment.com/,Designs and manufactures retail store fixtures.,Private (Non-PE),Building Products,Building Materials, 4.11 ," 6,373,564 ",," 1,271,172 ",,, 1.1 , 0.9 , 0.1 , 0.29 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000490_Modern%20Equipment%20Co/FP%20TCE_v7.44%20-%20Modern%20Equipment%20Co%20Inc%20(2024-11-27).pdf?csf=1&web=1&e=9Qgv9Q,
c0001072_ORAS EXPRESS LLC,c0001072,FP TCE_v7.44 - ORAS Express (2024-11-28).xlsm,ORAS EXPRESS LLC,11/25/24,"Mason, OH"," 1,908,994 ",2020,N/A,Interstate freight carrier specializing in logistics.,Private (Non-PE),Cargo Ground Transportation,Transportation Cyclical, 3.92 ," 1,740,570 ",," 105,594 ",,, -   , -   , -   , -   ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001072_ORAS%20EXPRESS%20LLC/FP%20TCE_v7.44%20-%20ORAS%20Express%20(2024-11-28).pdf?csf=1&web=1&e=3tc7XP,
c0000093_American Expediting Logistics LLC,c0000093,FP TCE_v7.44 - American Expediting Logistics (2024-12-02).xlsm,American Expediting Logistics LLC,11/30/24,"Media, PA"," 138,958,796 ",1983,https://americanexpediting.com/,Time-critical logistics and delivery solutions.,Private (PE),Air Freight and Logistics,Railroads And Package Express, 2.55 ," 54,696,393 ",," (3,027,980)",,, 0.3 , 0.3 , n/a , 0.79 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0000093_American%20Expediting%20Logistics/FP%20TCE_v7.44%20-%20American%20Expediting%20Logistics%20(2024-12-29).pdf?csf=1&web=1&e=i3TALb,
c0001058_Innoved Institute LLC,c0001058,FP TCE_v7.44 - Innoved Institute (2024-12-11).xlsm,Innoved Institute LLC,12/11/24,"Elk Grove Village, IL"," 12,042,971 ",2011,https://innovedinstitute.com/,Healthcare training and simulation services provider.,Private (Non-PE),Education Services,Business And Consumer Services, 5.09 ," 11,926,774 ",," 3,364,638 ",,, 7.0 , 7.0 , (0.2), 0.01 ,https://faropointinvestments1067703.sharepoint.com/:b:/r/sites/Investments/Shared%20Documents/General/Tenant%20Credit%20Score%20Reports(Linked%20to%20Yardi)/c0001058_Innoved%20Institute%20LLC/FP%20TCE_v7.44%20-%20Innoved%20Institute%20(2024-12-11).pdf?csf=1&web=1&e=rsYG2w,
