Required field?,N/A,N/A,No,Yes,NO,NO,NO,NO,NO,NO,NO,NO,Yes,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Type,ID Field for loader- Only load items that have the ID,Ignore-for internal use only,"Free Text-short (1-2 rows)
Note for the Internal team- this field is taken from the Tenant column on the report",Date,Free Text-short (1-2 rows),Number,Number,Hyperlink/Free text,Free Text-long (paragraph),Free Text-short (1-2 rows),Free Text-short (1-2 rows),Free Text-short (1-2 rows),Number,Number,Number,Number,Number,Number,,,,,Hyperlink/Free text,Free Text-long (paragraph),,,,,,,,,,,,,,,,,,,,,,,,
Field Name,Customer ID,File Name,Company Name/s,Credit Check Date ,HQ  Location,Annual Revenues,Year Founded,Website,Description,Ownership,Primary Industry,Competitive Position Industry Group,Credit Rating,Gross Profit,EBIT,EBITDA,Total Assets,Total Debt,Current Ratio,Quick Ratio,Net Debt / EBITDA,Debt / Assets,Report Attachment Link,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,c0000011,,American Builders & Contractor Supply Co. TN,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000011,,American Builders & Contractor Supply Co. TN,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000023,,"Faropoint Ventures, LLC NJ",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000026,,FedEx -Federal Express Corp.,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000046,,Nidia Valadez and Alejandro Contreras,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000053,,Terrazzo & Marble Supply Company of IL,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000056,,"True World Foods Columbus, LLC",,,,,,,,,,,,,,,,,,,,,Credit match: True World Foods Columbus LLC
,,,,,,,,,,,,,,,,,,,,,,,,,c0000056,,"True World Foods Columbus, LLC",,,,,,,,,,,,,,,,,,,,,Credit match: True World Foods Columbus LLC
,,,,,,,,,,,,,,,,,,,,,,,,,c0000075,,AFS World Truck Repair LP,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000095,,American HVAC Inc,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000100,,"Amphenol EEC, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000136,,Bengal Converting Services,,,,,,,,,,,,,,,,,,,,,"Credit match: Bengal Converting Services, Inc."
,,,,,,,,,,,,,,,,,,,,,,,,,c0000142,,Biogen Laboratory Corporation,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000147,,"Blendco Systems, LLC",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000159,,Bunting Magnetics Company,,,,,,,,,,,,,,,,,,,,,Credit match: Bunting Magnetics Co.
,,,,,,,,,,,,,,,,,,,,,,,,,c0000164,,Cablevision of Oakland,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000177,,"CCL Label, INC.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000178,,Centerpoint Marketing Inc.,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000181,,"CF17 Management, LLC",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000193,,"Clingan Steel, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000194,,"Clique Here, LLC",,,,,,,,,,,,,,,,,,,,,Credit match: Clique Here LLC
,,,,,,,,,,,,,,,,,,,,,,,,,c0000199,,Combocap Inc.,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000206,,"Content Critical Solutions, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000209,,"Corporate Facility Services USA, LLC",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000215,,Cryovation LLC,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000225,,"Daring Design, LLC",,,,,,,,,,,,,,,,,,,,,"Credit match: Daring Design, LLC"
,,,,,,,,,,,,,,,,,,,,,,,,,c0000244,,"Dynamic Rubber, Inc.",,,,,,,,,,,,,,,,,,,,,"Credit match: Dynamic Rubber, Inc. (DR)"
,,,,,,,,,,,,,,,,,,,,,,,,,c0000245,,"EA Engineering, Science, and Technology, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000251,,"Economy Tire, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000255,,"Ehmke Manufacturing Co., Inc",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000270,,Event Link,,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000279,,Fastenal Company,,,,,,,,,,,,,,,,,,,,,Credit match: Fastenal Company
,,,,,,,,,,,,,,,,,,,,,,,,,c0000281,,"FCX Performance, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000284,,"Fitzsimmons Surgical Supply, Inc.",,,,,,,,,,,,,,,,,,,,,No credit report available
,,,,,,,,,,,,,,,,,,,,,,,,,c0000301,,"G&W Products, LLC.",,,,,,,,,,,,,,,,,,,,,"Credit match: G & W Products, Inc."
