record hmy,property hmy,property code,amendment hmy,tenant hmy,lease code,charge code hmy,charge code,charge code desc,amount period code,amount period desc,from date,to date,amount,monthly amount,contracted area,notes,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,management fee %,management fee hmy,hschedule,toinactive amendment hmy,horiginal,husercreatedby,dtcreated,husermodifiedby,dtlastmodified,hoption
10150,1590,xgashaw1,1390,2247,t0000469,30,rent,Rent - Base,2,Monthly,45474,45838.0,8960.0,8960.0,16000,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4361,0.0,0,64,44370.33465,121,44592.47407,
11175,1587,xnjmway9,1548,2307,t0000485,30,rent,Rent - Base,2,Monthly,45170,46265.0,3218.75,3218.75,7500,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4864,0.0,0,104,44382.98953,23,44619.84637,
32639,1598,xtxglen,4159,4282,t0000543,30,rent,Rent - Base,2,Monthly,45566,45930.0,39863.0,39863.0,115200,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15462,0.0,0,69,44454.69682,69,44454.69682,
3513,1397,xgahire7,475,1344,t0000442,30,rent,Rent - Base,2,Monthly,45597,45961.0,11989.91,11989.91,27322,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1534,0.0,0,64,44340.46656,64,44340.46656,
3644,1388,xnj2036b,493,1386,t0000450,30,rent,Rent - Base,2,Monthly,45505,46142.0,6958.33,6958.33,10000,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1593,0.0,0,35,44343.56892,230,44922.63314,
3646,1388,xnj2036b,494,1388,t0000452,30,rent,Rent - Base,2,Monthly,44562,46387.0,3132.25,3132.25,5025,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1594,0.0,0,35,44343.58331,230,44922.63597,
36666,1755,xoh8655,4805,4916,t0000604,30,rent,Rent - Base,2,Monthly,45566,45930.0,15177.5,15177.5,30512,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17343,0.0,0,35,44530.58726,35,44530.58726,
114401,1884,xnj40pot,11105,5464,t0000617,30,rent,Rent - Base,2,Monthly,44866,46691.0,88949.58,88949.58,60994,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,56320,0.0,0,230,44698.39166,230,44882.52345,
43350,1894,xga2100b,5458,5500,t0000639,30,rent,Rent - Base,2,Monthly,45658,46022.0,59913.39,59913.39,103289,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20718,0.0,0,64,44564.53028,64,44564.6436,
40443,1392,xgahire2,5213,1339,t0000437,30,rent,Rent - Base,2,Monthly,45658,45961.0,13165.12,13165.12,30000,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19200,0.0,0,64,44546.45927,64,44546.45927,
