record hmy,property hmy,property code,amendment hmy,tenant hmy,lease code,charge code hmy,charge code,charge code desc,amount period code,amount period desc,from date,to date,amount,monthly amount,contracted area,notes,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,management fee %,management fee hmy,hschedule,toinactive amendment hmy,horiginal,husercreatedby,dtcreated,husermodifiedby,dtlastmodified,hoption
32786,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,44228,44592.0,1397.82,1397.82,3100,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15501,0.0,0,35,44462.6092,230,45026.68079,
32787,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,44593,44957.0,1450.23,1450.23,3100,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15501,0.0,0,35,44462.60958,230,45026.68079,
32788,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,44958,45322.0,1504.62,1504.62,3100,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15501,0.0,0,35,44462.60959,230,45026.68079,
32789,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,45323,45688.0,1561.04,1561.04,3100,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15501,0.0,0,35,44462.60959,230,45026.68079,
32790,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,45689,45777.0,1619.58,1619.58,3100,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15501,0.0,0,35,44462.60959,230,45026.68079,
32791,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,42767,42855.0,1061.0,1061.0,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61124,104,44560.45208,
32792,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,42856,43220.0,1100.79,1100.79,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61124,104,44560.45208,
32793,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,43221,43585.0,1142.07,1142.07,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61124,104,44560.45208,
32794,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,43586,43951.0,1184.89,1184.89,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61124,104,44560.45208,
32795,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,43952,44316.0,1229.33,1229.33,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61124,104,44560.45208,
32796,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,44317,44681.0,1275.43,1275.43,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61168,104,44560.45208,
32797,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,44682,45046.0,1323.26,1323.26,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61168,104,44560.45208,
32798,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,45047,45412.0,1372.88,1372.88,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61168,104,44560.45208,
32799,1676,xnj420be,4177,4316,t0000560,30,rent,Rent - Base,2,Monthly,45413,45777.0,1424.36,1424.36,2122,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15502,0.0,0,35,44462.61168,104,44560.45208,
32800,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,42767,42886.0,1349.83,1349.83,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.61978,104,44560.44902,
32801,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,42887,43251.0,1400.45,1400.45,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.61978,104,44560.44903,
32802,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,43252,43616.0,1452.97,1452.97,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.61978,104,44560.44903,
32803,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,43617,43982.0,1507.46,1507.46,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.61978,104,44560.44903,
32804,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,43983,44347.0,1563.98,1563.98,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.61978,104,44560.44903,
32805,1675,xnj440be,4178,4317,t0000561,30,rent,Rent - Base,2,Monthly,44348,44712.0,1622.63,1622.63,2600,,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19,15503,0.0,0,35,44462.62028,104,44560.44903,
11594,1585,xnjmway5,1587,2385,t0000496,30,rent,Rent - Base,2,Monthly,40689,41060.0,925.0,925.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5021,0.0,0,104,44383.57184,104,44383.57184,
