amendment hmy,property hmy,property code,tenant hmy,tenant id,amendment status code,amendment status,amendment type code,amendment type,amendment sequence,units under amendment,hmy units under amendment,amendment sf,amendment term,amendment start date,amendment end date,amendment sign date,amendment description,amendment notes,holdover %,amendment start date serial,amendment end date serial
469,1391,xgahire1,1338,t0000436,2,Superseded,0,Original Lease,0,196,525,42038,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
470,1392,xgahire2,1339,t0000437,2,Superseded,0,Original Lease,0,201,524,30000,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
471,1393,xgahire3,1340,t0000438,2,Superseded,0,Original Lease,0,210,526,40000,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
472,1394,xgahire4,1341,t0000439,2,Superseded,0,Original Lease,0,224,527,33000,60,11/1/2020,10/31/2025,2019-12-19,First Addendum,,150,44136,45961.0
473,1395,xgahire5,1342,t0000440,2,Superseded,0,Original Lease,0,246,528,37500,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
474,1396,xgahire6,1343,t0000441,2,Superseded,0,Original Lease,0,252,529,16600,60,11/1/2020,10/31/2025,,First Addendum,,0,44136,45961.0
475,1397,xgahire7,1344,t0000442,1,Activated,0,Original Lease,0,2980,530,27322,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
476,1398,xgahire8,1345,t0000443,2,Superseded,0,Original Lease,0,3000,531,20000,60,11/1/2020,10/31/2025,,First Addendum,,150,44136,45961.0
478,1372,xtndelp1,1347,t0000445,2,Superseded,0,Original Lease,0,4319B,555,72000,61,4/8/2021,4/30/2026,,,,0,44294,46142.0
479,1372,xtndelp1,1349,t0000446,2,Superseded,0,Original Lease,0,4319,494,72000,59,7/2/2018,5/31/2023,,,,0,43283,45077.0
480,1372,xtndelp1,1350,t0000447,1,Activated,0,Original Lease,0,4290,495,41496,60,9/1/2016,8/31/2021,,,,0,42614,44439.0
481,1372,xtndelp1,1351,t0000448,1,Activated,0,Original Lease,0,4318,541,25137,37,11/1/2019,11/30/2022,,,,0,43770,44895.0
483,1372,xtndelp1,1352,t0000449,2,Superseded,0,Original Lease,0,4310,496,0,37,10/4/2016,10/31/2019,,,,0,42647,43769.0
484,1372,xtndelp1,1352,t0000449,2,Superseded,1,Renewal,1,4310,496,22743,46,11/1/2019,8/31/2023,,,,0,43770,45169.0
