account tree detail id,account tree node description,total into,type,type description,account tree code,account tree description,account tree detail code,indent,skip,underline,bold,italic,hide,negate,reverse value,database id
1,Assets and Deferred Outflow of Resources,106,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,1
2,Assets,104,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,1
3,Current Assets,60,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
4,Cash,18,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
5,Cash - Unrestricted,18,R,Regular,phafds,PHA Financial Data Schedule,111,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
6,Cash - Restricted - Modernization And Development,18,R,Regular,phafds,PHA Financial Data Schedule,112,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
7,Cash - Other Restricted,11,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
8,HAP Funds,11,R,Regular,phafds,PHA Financial Data Schedule,113-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
9,FSS Escrow Deposits,11,R,Regular,phafds,PHA Financial Data Schedule,113-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
10,All Other Funds,11,R,Regular,phafds,PHA Financial Data Schedule,113-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
11,Cash - Other Restricted,18,T,Total,phafds,PHA Financial Data Schedule,113,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
12,Cash - Tenant Security Deposits,18,R,Regular,phafds,PHA Financial Data Schedule,114,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
13,Cash - Restricted For Payment Of Current Liabilities,17,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
14,HAP Funds,17,R,Regular,phafds,PHA Financial Data Schedule,115-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
15,FSS Escrow Deposits,17,R,Regular,phafds,PHA Financial Data Schedule,115-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
16,All Other Funds,17,R,Regular,phafds,PHA Financial Data Schedule,115-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
17,Cash - Restricted For Payment Of Current Liabilities,18,T,Total,phafds,PHA Financial Data Schedule,115,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
18,Total Cash,60,T,Total,phafds,PHA Financial Data Schedule,100,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
19,Accounts & Notes Receivable,41,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
20,Accounts Receivable - PHA Projects,41,R,Regular,phafds,PHA Financial Data Schedule,121,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
21,Accounts Receivable - Hud Other Projects,25,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
22,A/R Hud-Operating Subsidy,25,R,Regular,phafds,PHA Financial Data Schedule,122-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
23,A/R Hud-Capital Fund,25,R,Regular,phafds,PHA Financial Data Schedule,122-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
24,A/R Hud-Other,25,R,Regular,phafds,PHA Financial Data Schedule,122-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
25,A/R HUD Other Projects,41,T,Total,phafds,PHA Financial Data Schedule,122,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,1
26,Accounts Receivable - Other Government,41,R,Regular,phafds,PHA Financial Data Schedule,124,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
27,Accounts Receivable - Miscellaneous,33,H,Header,phafds,PHA Financial Data Schedule,,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,1
28,Accounts Receivable - Miscellaneous - Not-for-profit,33,R,Regular,phafds,PHA Financial Data Schedule,125-010,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
29,Accounts Receivable - Miscellaneous - Partnership,33,R,Regular,phafds,PHA Financial Data Schedule,125-020,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
30,Accounts Receivable - Miscellaneous - Joint Venture,33,R,Regular,phafds,PHA Financial Data Schedule,125-030,10,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,1
