hmy property,property code,property address,city,state,zip,building id,fund,market,status,is land?,acq. date,other ac. costs,acq. strategy,disposition date,disposition noi,year built,parcel,% office,building shape,construction type 1,construction type 2,construction type 3,roof replacement,roof type 1,roof type 2,roof type 3,roof type 4,land (acres),loading type 1,loading type 2,loading type 3,loading type 4,loading type 5,max truck court depth,min. clear height,max. clear height,max column length,max column width,# dock doors,# of drive ins,truck court type,# parking spots,fire alarm,sprinkler type 1,sprinkler type 2,sprinkler coverage %,cold storage,ext. light type,generator,generator fuel type,generator size,ev charge,fire pump,fire water tank,sewege type,utility acc. holder,gas provider,electric provider,water provider,solar,solar power,recycling,what is recycled?,enviromental issues?,enviromental notes,disposition price
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,11602,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,68279.12,,2022-06-22,131108.00,2011.00,131-495-002-0009,17.0000,Rectangle,Metal,,,2011,Metal,Other,,,0.73,Front Load,,,,,69.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1483000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,11606,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,60795.90,,2022-06-22,116739.00,2011.00,131-495-002-0023,17.0000,Rectangle,Metal,,,2011,Metal,Other,,,0.58,Front Load,,,,,55.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1325000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,11614,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,79567.38,,2022-06-22,152784.00,2011.00,131-495-002-0008,21.0000,Rectangle,Metal,,,2011,Metal,Other,,,0.99,Front Load,,,,,78.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1787000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6812,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,56821.76,,2022-06-22,109108.00,2012.00,131-495-001-0008,21.0000,Rectangle,Metal,,,2012,Metal,Other,,,0.67,Front Load,,,,,69.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1683000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6814,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,84640.75,,2022-06-22,162525.00,2011.00,131-495-001-0013,16.0000,Rectangle,Metal,,,2011,Metal,Other,,,0.90,Front Load,,,,,80.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,2920000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6816,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,76481.07,,2022-06-22,146857.00,2011.00,131-495-001-0014,17.0000,Rectangle,Metal,,,2011,Metal,Other,,,0.67,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,2449000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6818,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,61091.85,,2022-06-22,117307.00,2017.00,131-495-001-0009,20.0000,Rectangle,Metal,,,2017,Metal,Other,,,0.67,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,2388000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6820,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,59865.78,,2022-06-22,114953.00,2014.00,131-495-001-0004,15.0000,Rectangle,Metal,,,2014,Metal,Other,,,0.58,Front Load,,,,,100.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1848000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6824,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,56821.76,,2022-06-22,109108.00,2012.00,131-495-001-0010,19.0000,Rectangle,Metal,,,2012,Metal,Other,,,0.57,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1595000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6826,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,104976.51,,2022-06-22,201574.00,2012.00,131-495-001-0016,20.0000,Rectangle,Metal,,,2014,Metal,Other,,,1.34,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,2920000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6830,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,52678.51,,2022-06-22,101152.00,2014.00,131-495-001-0011,19.0000,Rectangle,Metal,,,2014,Metal,Other,,,0.57,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,1534000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6834,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,114742.75,,2022-06-22,220326.00,2011.00,131-495-001-0007,12.0000,Rectangle,Metal,,,2011,Metal,Other,,,1.18,Front Load,,,,,93.00,16.00,18.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,4428000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6836,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,25578.25,,2022-06-22,49115.00,2000.00,131-495-001-0012,24.0000,Rectangle,Metal,,,2000,Metal,Other,,,0.58,Front Load,,,,,90.00,16.00,18.00,0.00,0.00,0,1,,,,None,,,,,,,,,,,,,,,,,,,,,,872000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6838,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,95125.71,,2022-06-22,182658.00,2017.00,131-495-001-0017,13.0000,Rectangle,Metal,,,2017,Metal,Other,,,0.60,Front Load,,,,,88.00,16.00,18.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,2563000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6810,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,52509.39,,2022-06-22,100827.00,2013.00,131-495-001-0003,19.0000,Rectangle,Metal,,,2013,Metal,Other,,,0.59,Front Load,,,,,55.00,16.00,18.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,1657000.00
890,tx4se001,6810-6838 Bourgeois Rd.,Houston,TX,77066,6832,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-09-21,104215.50,,2022-06-22,200112.00,2012.00,131-495-001-0006,18.0000,Rectangle,Metal,,,2012,Metal,,,,0.59,Front Load,,,,,93.00,16.00,18.00,0.00,0.00,0,2,,,,None,,,,,,,,,,,,,,,,,,,,,,4489000.00
891,txhou002,10111 Houston Oaks,Houston,TX,77064,,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-12-14,279505.39,,2022-06-22,505049.00,2006.00,127-725-002-0002,17.0000,Other,Tilt-up/Concrete,,,"2006: 65,800sf 2014: 39,600sf",Metal,Other,,,5.04,Front Load,,,,,118.00,26.00,26.00,0.00,0.00,6,4,,,,Wet,,,,,,,,,,,,,,,,,,,,,,9677000.00
892,txlan003,6410 Langfield  Bldg. X,Houston,TX,77092,,FRG IX                                                                          ,Houston,Sold                                                                            ,,2018-12-08,303663.93,,2022-06-22,474138.00,2015.00,130-718-001-0009,18.0000,Rectangle,Tilt-up/Concrete,,,2014,Metal,Other,,,4.93,Rear Load,,,,,113.00,26.00,26.00,0.00,0.00,0,3,,,,None,,,,,,,,,,,,,,,,,,,,,,9096000.00
