hmy_creditscore,hmyperson_customer,customer code,customer name,date,credit score,report link,notes,company name,company location,company website,year founded,description,ownership,primary industry,comp. position industry group,annual revenue,gross profit,ebit,ebitda,total assets,total debt
3,25731,c0000002,Shaw Stainless LLC,3/31/2021,7.8,0,Old credit score method. Score migrated from monday.com Contract board,Shaw Stainless LLC,,,null,,,,,null,null,null,null,null,null
4,26197,c0000008,"4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.",9/30/2022,6.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EeMpe03dW6JJqxSeqp9i2nEB5ZAkjJXdZB3ZKy-VN4YVGg?e=kajRAi,Old credit score method. Score migrated from monday.com Contract board,4-Star Air Hydraulics Industrial Hose & Supply Inc.,,,null,,,,,null,null,null,null,null,null
125,26201,c0000012,American Builders & Contractor Supply Co.(ABC) [Parent],12/31/2022,8.1,0,Old credit score method. Score migrated from monday.com Contract board,American Builders & Contractor Supply Co. OH,,,null,,,,,null,null,null,null,null,null
5,26202,c0000013,American Builders & Contractor Supply Co. OH,12/31/2022,8.1,0,Old credit score method. Score migrated from monday.com Contract board,American Builders & Contractor Supply Co. OH,,,null,,,,,null,null,null,null,null,null
6,26334,c0000030,Construction Resources Company LLC,3/31/2021,4.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EasDD19pG4pIq5GwjyIZ6x8BJlPTg2AMSSADj3ezHab2VA?e=X7iWq6,Old credit score method. Score migrated from monday.com Contract board,Construction Resources Company LLC,,,null,,,,,null,null,null,null,null,null
7,26877,c0000032,Bel-Shore Enterprises,3/31/2021,5.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EemLzPLLaSREu3w_olOmx0MBuUPcQelaq7WsnX1A2nnK0g?e=BrOgM9,Old credit score method. Score migrated from monday.com Contract board,Bel-Shore Enterprises,,,null,,,,,null,null,null,null,null,null
8,26878,c0000033,"BPI Packaging, LLC",10/15/2020,4.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ed6toDKdk65Nhee8cL3-kZEB4f2rFg_CwRPbM2Qlv6Z4pw?e=4Swx1I,Old credit score method. Score migrated from monday.com Contract board,BPI Packaging LLC,,,null,,,,,null,null,null,null,null,null
171,26880,c0000035,"Del-Val Food Ingredients, Inc.",1/15/2025,3.87,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EYZ6bO0f_7REscSw4GByApUB5SoP0nH16lQ2SGgjLeLuQw?e=UgKnOI,,"Del-Val Food Ingredients, Inc.","Mount Laurel, NJ",https://www.dvfi.com/en,1998,Provides flavor and bakery ingredient solutions.,Private (Non-PE),Specialty Chemicals,Specialty Chemicals,38859116,9977950,null,1968273,null,null
9,26891,c0000046,Nidia Valadez and Alejandro Contreras,12/31/2022,6,0,Old credit score method. Score migrated from monday.com Contract board,Nidia Valadez and Alejandro Contreras,,,null,,,,,null,null,null,null,null,null
10,26894,c0000049,Trussway LTD,3/31/2023,7.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESYKsW-uoYVGm9mZGeKESesB_6RbcEFHN1Im24bBO2eY9A?e=jOvynZ,Old credit score method. Score migrated from monday.com Contract board,Trussway LTD,,,null,,,,,null,null,null,null,null,null
172,26901,c0000056,"True World Foods Columbus, LLC",1/29/2025,5.12,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ec_Pvo5C0E9JoHBSOrlBhKYBLdWlUM7N00tNU_iqDLlMvw?e=cAjZSG,,"True World Foods Columbus, LLC","Columbus, OH",http://www.trueworldfoods.com/,2007,Seafood distributor specializing in sushi-grade products.,Private (Non-PE),Food Distributors,Business And Consumer Services,16308425,4229571,null,831025,null,null
11,26917,c0000063,A. Messe & Sons Corp.,12/31/2021,7.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZt0LwBBM_9MrGbr2osznSMB8kn-nKUQ1Ki22EWbWYtbBQ?e=XTewqO,Old credit score method. Score migrated from monday.com Contract board,A. Messe & Sons Corp.,,,null,,,,,null,null,null,null,null,null
12,26920,c0000066,Aakash Chemicals,6/30/2021,6.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESNL0RzQHR9LiukodJWjNzYBhuceCvm-ywlhU1fyxtu3yw?e=hHqFAI,Old credit score method. Score migrated from monday.com Contract board,Aakash Chemicals,,,null,,,,,null,null,null,null,null,null
13,26926,c0000068,"Acme Industries, Inc.",10/4/2023,5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaHxsK5djmNChvDvibi5ajQByr8YMNXDniTUKOEHiQxKGg?e=pdO30J,0,Acme Lock Company LLC,Cincinnati OH,https://www.acmelock.com/,1933,Safety and security devices,Private (Non-PE),Specialized Consumer Services,Business and consumer services,6498394,2.54,3,620667,579083.47,403265.47
14,26927,c0000069,Acousti Engineering Company of Florida,9/30/2021,8.5,0,Old credit score method. Score migrated from monday.com Contract board,Acousti Engineering Company of Florida,,,null,,,,,null,null,null,null,null,null
15,26933,c0000075,AFS World Truck Repair LP,12/31/2022,7,0,Old credit score method. Score migrated from monday.com Contract board,AFS World Truck Repair LP,,,null,,,,,null,null,null,null,null,null
16,26942,c0000084,"ALL, LLC",12/31/2022,9,0,Old credit score method. Score migrated from monday.com Contract board,ALL LLC,,,null,,,,,null,null,null,null,null,null
17,26943,c0000085,"Almeco USA, Inc.",6/30/2022,9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESIX-Fg9y11Krc3ESYkJHYsBq3jUAR9_fwdAsPxI5dOeZg?e=PAYDqf,Old credit score method. Score migrated from monday.com Contract board,Almeco USA Inc.,,,null,,,,,null,null,null,null,null,null
181,26951,c0000093,American Expediting Company,11/30/2024,2.55,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ESGIN9ighr9JgwM0EbZuzz8BM1kzEgTCsUZIiyutW3hxAg?e=EAl60d,,American Expediting Logistics LLC,"Media, PA",https://americanexpediting.com/,1983,Time-critical logistics and delivery solutions.,Private (PE),Air Freight and Logistics,Railroads And Package Express,138958796,54696393,null,-3027980,null,null
18,26963,c0000105,AOSOM LLC,12/31/2021,3.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX2xU9Y8bU9BsKC4LoVsuPUBlDvzmnWhoHRO8_dfpWzzoQ?e=J77EN0,Old credit score method. Score migrated from monday.com Contract board,AOSOM LLC,,,null,,,,,null,null,null,null,null,null
19,26969,c0000111,"Aruvil International, Inc.",12/31/2022,6.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUf1NfWcDd5BtpBJkTakCTsBfr_aHXpgXA7bGHzDSGllhw?e=Ylula1,Old credit score method. Score migrated from monday.com Contract board,Aruvil International Inc.,,,null,,,,,null,null,null,null,null,null
20,26972,c0000114,Atlantic Chemical and Equipment Company,11/21/2023,5.6,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EQf0vb14CoxAornAlu323BEB9mGk94mZa8Sd5nq5OXb3Pg?e=M3ATrk,0,Atlantic Chemical & Equipment Company,Atlanta GA,https://acechempro.com/,1947,Engaged in manufacturing chemical treatments for HVAC/R market.,Private (Non-PE),Commodity Chemicals,Commodity chemicals,7922290.95,4.05,4,783837.96,262107.25,256832.5
21,26975,c0000117,"Averr Aglow, LLC",11/26/2021,9.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EUM0hmoasTBEmpycp7Q8LWsBZ6x1q-O1yNfa3I1ZiJzCAg?e=5SF4JJ,Old credit score method. Score migrated from monday.com Contract board,Averr Aglow LLC,,,null,,,,,null,null,null,null,null,null
22,26979,c0000121,"AZELIS AMERICAS CASE, LLC",12/31/2021,7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX1UZh9U6wVJtAsCKNDeQBkBKniYEtEPvhOTg8RwvA-ZsQ?e=FY5csZ,Old credit score method. Score migrated from monday.com Contract board,AZELIS AMERICAS CASE LLC,,,null,,,,,null,null,null,null,null,null
23,26993,c0000133,"Beacon Sales Acquisition, Inc.",6/30/2022,5.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EX-CSnbya3lOmLRXqaBssaYBKnSPzJzq8u6avyq3nQrpDQ?e=bbKR8B,Old credit score method. Score migrated from monday.com Contract board,Beacon Sales Acquisition Inc.,,,null,,,,,null,null,null,null,null,null
126,26999,c0000139,"Kova International, Inc. [Parent]",9/30/2022,9,0,Old credit score method. Score migrated from monday.com Contract board,Biochemical Diagnostics Inc.,,,null,,,,,null,null,null,null,null,null
24,27000,c0000140,"Biochemical Diagnostics, Inc.",9/30/2022,9,0,Old credit score method. Score migrated from monday.com Contract board,Biochemical Diagnostics Inc.,,,null,,,,,null,null,null,null,null,null
127,27011,c0000151,Boston Battery Wholesale LLC,3/26/2024,2.5,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EXd7-PthoPREgc9bpdfArOYBFxd53-Iv4Fq_US3zwudZ3w?e=DN5QEy,,Boston Battery Wholesale LLC,"Milford, MA",https://www.bostonbattery.net/,2012,Specializes in battery distribution and automotive parts.,Private (Non-PE),Automotive Parts and Equipment,Auto suppliers,64912467,14636688,668816,946353,19216160,13111274
192,27021,c0000161,"C&J Contractors, LLC",10/29/2024,5.54,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EShHZnfRY3pBtWiU7UQCTDkBUsD6E1yEqFuuEad3OAlMLw?e=4IOFaM,,"C&J Contractors, LLC","Columbia, MD",https://www.facebook.com/ImprovementsCandJMd/,2010,Residential General Contractor,Private (Non-PE),Construction and Engineering,Engineering And Construction,7028670,2663191,null,1728181,null,null
25,28053,c0000169,"Caricom Freight Consolidators, Inc.",12/31/2022,4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERmDc71GLj9MvIHwXZiYXUcBgonm5hTJ8PdeB2d9Pq99iw?e=gUcknP,Old credit score method. Score migrated from monday.com Contract board,Caricom Freight Consolidators Inc.,,,null,,,,,null,null,null,null,null,null
193,28058,c0000174,"Casey's Coffee, Inc.",10/29/2024,3.57,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EY_DqjwAOkpLrc0GUfRz8ZIBhSxzKXbiULWst-g85j5ltg?e=gU27ft,,"Casey's Coffee, Inc.","Columbia, MD",https://thecaseyscoffee.com/menu/,1997,Specialty coffee shop with diverse menu.,Private (Non-PE),Restaurants,Retail And Restaurants,350832,278069,null,188280,null,null
26,28064,c0000180,Centurion Service Group LLC,6/30/2021,9.4,0,Old credit score method. Score migrated from monday.com Contract board,Centurion Service Group LLC,,,null,,,,,null,null,null,null,null,null
27,28068,c0000184,"Chase Industries, Inc",6/30/2021,3.7,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/Ee2r6KwEYBlKlKGZtNV5r7QBPkcDeHVAowwshMy03kdYMQ?e=cfjLNu,Old credit score method. Score migrated from monday.com Contract board,Chase Industries Inc,,,null,,,,,null,null,null,null,null,null
28,28099,c0000199,Combocap Inc.,6/30/2022,1.4,0,Old credit score method. Score migrated from monday.com Contract board,Combocap Inc.,,,null,,,,,null,null,null,null,null,null
29,28113,c0000202,"Commercial Express, Inc.",5/4/2022,6.9,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWBdn-XJurZEv0VtI1V83lEBzgHJuG6vnmXppgBYupRPhg?e=kaVCcc,0,Commercial Express Inc.,,,null,,,,,null,null,null,null,null,null
30,28114,c0000203,Commercial Radiator Repairs LLC,1/20/2023,8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EZW050cmK4RGv3nn2SSLjCQBt3vw2KqQpx8Gx2TLndIRXQ?e=BMgBSx,Old credit score method. Score migrated from monday.com Contract board,Emission + Cooling Solutions LLC,,,null,,,,,null,null,null,null,null,null
31,28120,c0000209,"Corporate Facility Services USA, LLC",12/31/2022,6.8,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ETfIZFFC3atOi4zbQAjJc9gBpZQxYx-F9dRLSuyPkUmgVg?e=I4ADjj,Old credit score method. Score migrated from monday.com Contract board,Corporate Facility Services USA LLC,,,null,,,,,null,null,null,null,null,null
32,28125,c0000214,Crown Packaging Corporation,10/10/2023,6.3,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EWGPsNGqattIhBvFfVV1c4UBqoqGuVKXn98H486BwuS5yA?e=gYdiYA,0,Crown Packaging Corp. and Affiliates,Chesterfield MO,https://crownpack.com/,1969,Industrial packaging products and equipment,Private (Non-PE),Paper and Plastic Packaging Products and Materials,Containers and packaging,0,0,0,0,0,0
33,28149,c0000218,"CSM Tube USA, Inc.",9/30/2021,3.4,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/EaT0z2BgkSJFl0_t5e0qpowBJ9zNvsgEEEl2u499ZGUIuA?e=NZOTPx,Old credit score method. Score migrated from monday.com Contract board,CSM Tube USA Inc.,,,null,,,,,null,null,null,null,null,null
173,28156,c0000225,"Daring Design, LLC",2/20/2025,3.83,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERGFq4X9emRChZ5KeLVfM4wBe2fIONBoQYZo-OIArbKQdw?e=krBUSe,,"Daring Design, LLC","Columbia, MD",https://image360.com/,2015,Custom signage and visual branding solutions.,Private (Non-PE),Advertising,Media And Entertainment,676608,463639,null,62462,null,null
34,28162,c0000231,"DFW Movers & Erectors, Inc",8/31/2023,4.1,https://faropointinvestments1067703.sharepoint.com/:b:/s/Investments/ERtf2jGsPGVPkjBuHXwaMngBdCTV627F2jxcfO0VO6FC8g?e=CpwurM,0,DFW Movers & Erectors Inc.,Fort Worth TX,https://dfwmovers.com/,1980,Rigging/Crating/Erecting & Laser Alignment,Private (Non-PE),Industrial Machinery and Supplies and Components,Capital goods,18986370,1.93,3,560621,757566.36,601189
