customer_id,tenant_id,tenant_name,property_address,property_name,property_code,fund,naics,lease_id,credit_score,credit_score_date,parent_customer_id,tenant_risk,amendment_start_date,amendment_type,amendment_status
,t0000434,,"nan Sharonville, OH 45241.0",12080 Mosteller Road,xohmost,2,,265496,,,,,,Renewal,Activated
,t0000459,,"nan Mount Laurel, NJ 8054.0",3001 Irwin Road,xnj3001i,2,,185185,,,,,,Expansion,Activated
,t0000491,,"nan Hainesport, NJ 8036.0",9 Mary Way,xnjmway9,2,,265406,,,,,,Expansion,Activated
,t0000501,,"nan Acworth, GA 30101.0",4200 McEver Drive,xgamc200,2,,262977,,,,,,Renewal,Activated
,t0000511,,"nan Bolingbrook, IL 60440.0",1 Territorial Court,xil1terr,2,,265508,,,,,,Proposal in DM,Activated
,t0000514,,"nan Hanover Park, IL 60133.0",1600 Hunter Rd,xil1600,2,,282706,,,,,,Renewal,Activated
,t0000534,,"nan Bristol, PA 19007.0",1 Pearl Buck Court,xpa1peae,2,,275718,,,,,,Renewal,Activated
,t0000540,,"nan Mt. Prospect, IL 60056.0",900 East Business Center Drive,xil900b,2,,357007,,,,,,Proposal in DM,Activated
,t0000542,,"nan Alpharetta, GA 30319.0",9330 Industrial Trace,xga9330,2,,265461,,,,,,Termination,Activated
,t0000547,,"nan Swedesboro, NJ 19130.0",313 Church Street,xnj313c,2,,369069,,,,,,Original Lease,Activated
,t0000553,,"nan Moorestown, NJ 8057.0",845 Lancer Drive,xnj845l,2,,350861,,,,,,Original Lease,Activated
,t0000578,,"nan Moorestown, NJ 19102.0",390 New Albany Road,xnj390n,2,,242556,,,,,,Termination,Activated
,t0000582,,"nan Robbinsville, NJ 8691.0",108 North Gold Drive,xnj108n,2,,280804,,,,,,Termination,Activated
,t0000593,,"nan Jonesboro, GA 30236.0",1157 Battlecreek Road,xga1157,2,,308922,,,,,,Termination,Activated
,t0000594,,"nan Elk Grove Village, IL 60007.0",2101 Arthur Avenue,xil2101,2,,282702,,,,,,Renewal,Activated
,t0000595,,"nan Elk Grove Village, IL 60007.0",2101 Arthur Avenue,xil2101,2,,208512,,,,,,Original Lease,Activated
,t0000604,,"nan Fairfield, OH 45011.0",8655 Seward Road,xoh8655,2,,303735,,,,,,Renewal,Activated
,t0000614,,"nan Whippany, NJ 7981.0",125 Algonquin Parkway,xnj125al,2,,271608,,,,,,Termination,Activated
,t0000617,,"nan Oakland, NJ 7436.0",40 Potash Road,xnj40pot,2,,271605,,,,,,Renewal,Activated
,t0000624,,"nan Oakland, NJ 7436.0",128 Bauer Drive,xnj128ba,2,,271604,,,,,,Renewal,Activated
,t0000627,,"nan Fairlawn, NJ 7410.0",19-05 Nevins Road,xnj19nev,2,,248020,,,,,,Expansion,Activated
,t0000629,,"nan Fairlawn, NJ 7410.0",17-01 Pollitt Drive,xnj17pol,2,,343070,,,,,,Original Lease,Activated
,t0000630,,"nan Fairlawn, NJ 7410.0",17-01 Pollitt Drive,xnj17pol,2,,265452,,,,,,Renewal,Activated
,t0000638,,"nan Memphis, TN 38118.0",4290 Delp Street,xtndelp1,2,,265619,,,,,,Renewal,Activated
