fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 2,xfl11660,11660 Central Parkway (xfl11660),11660 Central Parkway,11660,2021-03-01,2026-02-28,60.0,6.6,0.0,65806.0,,U.S. Navy (t0000670),Industrial Net,60.0,4.33,46290.77,0.7,555489.24,8.44,2.55,0,0,Fund 2
FUND 2,xfl420sw,420 S. Ware Boulevard  (xfl420sw),420 S. Ware Boulevard,A,2011-04-01,2025-09-30,174.0,1.7,0.0,9070.0,,"Ferguson Enterprises, Inc.  (t0000744)",Industrial Net,174.0,14.25,3588.91,0.4,43066.92,4.75,4.45,0,0,Fund 2
FUND 2,xfl420sw,420 S. Ware Boulevard  (xfl420sw),420 S. Ware Boulevard,B,2022-10-01,2027-09-30,60.0,25.7,,6832.0,,Yzer (t0000942),Industrial Net,60.0,2.75,7297.12,1.07,87565.44,12.82,4.45,0,0,Fund 2
FUND 2,xfl420sw,420 S. Ware Boulevard  (xfl420sw),420 S. Ware Boulevard,C,2024-10-01,2029-10-31,61.0,50.7,,8956.0,,"Matheson Tri-Gas, Inc. (t0001339)",Industrial Net,61.0,0.75,9702.33,1.08,116427.96,13,4.45,0,0,Fund 2
FUND 2,xfl6704n,6704 N 54th St (xfl6704n),6704 N 54th St,6704,2024-11-22,2029-02-28,51.2,42.6,,20000.0,,Acousti Engineering Company of Florida (t0001384),Industrial Net,52.0,0.67,13333.33,0.67,159999.96,8,3.6,0,0,Fund 2
FUND 2,xfl6704n,6704 N 54th St (xfl6704n),6704 N 54th St,6708,2024-11-22,2027-09-30,34.2,25.7,,10332.0,,"Warehousing Etc, Inc. (t0001383)",Modified Gross,35.0,0.67,4939.41,0.48,59272.92,5.74,1.46,0,0,Fund 2
FUND 2,xfl6704n,6704 N 54th St (xfl6704n),6704 N 54th St,6710,2024-11-22,2025-11-30,12.3,3.7,,10368.0,,Roboreco Inc. (t0001382),Industrial Net,13.0,0.67,8208,0.79,98496,9.5,3.6,0,0,Fund 2
FUND 2,xfl6704n,6704 N 54th St (xfl6704n),6704 N 54th St,6706,,,,,,20700.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xfl6704n,6704 N 54th St (xfl6704n),6704 N 54th St,6712,,,,,,20000.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xfl7720p,7720 Philips Highway (xfl7720p),7720 Philips Highway,A,2025-06-01,2030-11-30,66.0,63.7,,52467.0,,"Florida DeliCo, LLC (t0001501)",Industrial Net,66.0,0.08,0,0,0,0,3.81,0,0,Fund 2
FUND 2,xfl7720p,7720 Philips Highway (xfl7720p),7720 Philips Highway,B-C,2021-08-15,2026-11-30,63.5,15.7,,55486.0,,Setzer's and Co. Inc.  (t0000716),Industrial Net,64.0,3.92,27186.59,0.49,326239.08,5.88,3.34,0,0,Fund 2
FUND 2,xflstuar,6959 Stuart Avenue (xflstuar),6959 Stuart Avenue,6959,2020-09-01,2025-08-31,60.0,0.7,0.0,22734.0,,Acousti Engineering Company of Florida (t0000464),Industrial Net,60.0,4.83,10584.95,0.47,127019.4,5.59,1.41,0,0,Fund 2
FUND 2,xga1145b,1145 Battlecreek Road (xga1145b),1145 Battlecreek Road,1145,2022-08-24,2027-08-31,60.2,24.7,,67656.0,,"Snap Tire, Inc. (t0000952)",Industrial Net,61.0,2.92,33828,0.5,405936,6,1.15,0,0,Fund 2
FUND 2,xga1157,1157 Battlecreek Road (xga1157),1157 Battlecreek Road,1157,,,,,,166493.0,,VACANT,,,,,,,,,,,Fund 2
