Property HMY,Prop Code,PropName,Market,Unit HMY,UnitCode,TenantName,UnitArea,UnitMlaId,ProfileMlaId,ProfileName,ChargeCode,AmtType,AmtPeriod,UnitMlaRentNew,UnitMlaRentRenew,ProfileMlaRentNew,ProfileMlaRentRenew,NewVariance,RenewVariance,AreaDate,TenantCode,TenantHMY,rn
3377,xil11697, 11697 W Grand,Chicago,8245,11697,CTL Global Inc. ,48340,916,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,8.5,8.5,6.5,6.5,2,2,6/26/2025 0:00,t0000767,10107,1
1790,xtnawg1 , 4641 Burbank Road,Memphis,4038,4641,Vacant,287664,2412,47,MEM_100KPlus,rent    ,per Area,Annual,3.1,3.1,4.15,4.15,-1.05,-1.05,6/26/2025 0:00,,,1
1680,xil900b , 900 East Business Center Drive,Chicago,2991,A       ,"Dynamic Rubber, Inc. ",30307,902,29,CHI_upto100,rent    ,per Area,Annual,7,7,6.5,6.5,0.5,0.5,6/26/2025 0:00,t0000540,4270,1
1680,xil900b , 900 East Business Center Drive,Chicago,2992,B       ,"Consolidated Electrical Distributors, Inc. ",13231,903,29,CHI_upto100,rent    ,per Area,Annual,7,7,6.5,6.5,0.5,0.5,6/26/2025 0:00,t0000541,4271,1
909,gasc1014,1 Legget Drive,Atlanta,175,1,Vacant,101595,1997,38,ATL_100plus,rent    ,per Area,Annual,5.25,5.25,6,6,-0.75,-0.75,6/26/2025 0:00,,,1
1667,xpa1peae,1 Pearl Buck Court,Philadelphia,2985,A       ,"DUBOIS CHEMICALS, INC.",14000,1039,30,PHI_upto100,rent    ,per Area,Annual,10.5,10.5,8,8,2.5,2.5,6/26/2025 0:00,t0000534,4234,1
1667,xpa1peae,1 Pearl Buck Court,Philadelphia,2986,B       ,Northeast-Western Energy Systems USA LLC,9711,1040,30,PHI_upto100,rent    ,per Area,Annual,10.5,10.5,8,8,2.5,2.5,6/26/2025 0:00,t0000535,4235,1
5710,3nj00010,1 Pearl Court,Northern NJ/New York,34556,A       ,"US Med-Equip, LLC",17161,2965,41,NNJ_upto100,rent    ,per Area,Annual,17.05,17.05,13.91,13.91,3.14,3.14,6/26/2025 0:00,t0001135,40171,1
5710,3nj00010,1 Pearl Court,Northern NJ/New York,34618,B       ,"US Med-Equip, LLC",15734,2966,41,NNJ_upto100,rent    ,per Area,Annual,17.05,17.05,13.91,13.91,3.14,3.14,6/26/2025 0:00,t0001135,40171,1
5710,3nj00010,1 Pearl Court,Northern NJ/New York,34623,C       ,Vitalant,14684,2968,41,NNJ_upto100,rent    ,per Area,Annual,17.05,17.05,13.91,13.91,3.14,3.14,6/26/2025 0:00,t0001137,40254,1
1664,xil1terr,1 Territorial Court,Chicago,2963,A       ,Turbo Systems US Inc.,19702,892,29,CHI_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000511,4176,1
1664,xil1terr,1 Territorial Court,Chicago,2964,B       ,Turbo Systems US Inc.,10700,893,29,CHI_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000511,4176,1
1664,xil1terr,1 Territorial Court,Chicago,2965,C       ,Turbo Systems US Inc.,22001,894,29,CHI_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000511,4176,1
1788,xnj10tw ,10 Twosome Drive,Philadelphia,3505,10,Del Val Ingredients,45375,1068,30,PHI_upto100,rent    ,per Area,Annual,11,11,8,8,3,3,6/26/2025 0:00,t0000927,18052,1
7853,3nj00031,100 Forge Way,Northern NJ/New York,64149,1,Vacant,0,5433,41,NNJ_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,,,1
6612,inj001  ,100 Lehigh Drive,Northern NJ/New York,48408,100,"Windmill Health Products, LLC",34973,4643,53,Long Island_ Up to 100K SF,rent    ,per Area,Annual,17.25,17.25,14,14,3.25,3.25,6/26/2025 0:00,t0001328,56165,1
2986,xil1000a,1000 Atlantic Drive,Chicago,4974,1000,PackSmart Inc. ,43356,913,29,CHI_upto100,rent    ,per Area,Annual,7.5,7.5,6.5,6.5,1,1,6/26/2025 0:00,t0000678,6527,1
3569,3nj00001,1000 Brighton Street,Northern NJ/New York,9135,1000,Raymond of New Jersey LLC,30812,2342,41,NNJ_upto100,rent    ,per Area,Annual,15.17,15.17,13.91,13.91,1.26,1.26,6/26/2025 0:00,t0000781,11016,1
3640,xil1000e,1000 E 87th St,Chicago,12809,100,"Listener Brands, Inc. ",34330,1707,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,6.25,6.25,6.5,6.5,-0.25,-0.25,6/26/2025 0:00,t0000917,17820,1
4727,3nc00001,10000 Industrial Drive,"Charlotte, NC",24469,10000,"Mecklenburg Home Furniture and Mattress, Inc.",56847,2352,82,Car_2nd Iteration_upto100,rent    ,per Area,Annual,6.89,5.75,6,6,0.89,-0.25,6/26/2025 0:00,t0001004,28244,1
2985,xil1001a,1001 Arthur Avenue,Chicago,4975,1001,Tykables LLC,19963,914,29,CHI_upto100,rent    ,per Area,Annual,8.25,8,6.5,6.5,1.75,1.5,6/26/2025 0:00,t0000679,6528,1
1654,xohcomme,10021 Commerce Park Drive,Cincinnati,2958,10021,"Chase Industries, Inc",80414,885,28,CIN_upto100K,rent    ,per Area,Annual,5,5,5,5,0,0,6/26/2025 0:00,t0000508,4170,1
1683,xnj1010 ,1010 Old Egg Harbor,Philadelphia,3110,1010,Vacant,73489,1065,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,8.5,8.5,8,8,0.5,0.5,6/26/2025 0:00,,,1
6201,iny001  ,105 E Jefryn Blvd,Long Island,44903,100,Jefryn Park Realty LLC,40000,3503,88,LI_2nd Iteration_upto100,rent    ,per Area,Annual,14.5,14.5,14,14,0.5,0.5,6/26/2025 0:00,t0001239,52042,1
3622,xtx1050k,10501 King William Drive,Dallas,10161,10501,"Sky House Distribution, Inc.",4691,845,22,Dallas_upto100,rent    ,per Area,Annual,9,9,7.5,7.5,1.5,1.5,6/26/2025 0:00,t0000819,13537,1
3622,xtx1050k,10501 King William Drive,Dallas,10158,10507,"Sky House Distribution, Inc.",5036,842,22,Dallas_upto100,rent    ,per Area,Annual,9.1,9.1,7.5,7.5,1.6,1.6,6/26/2025 0:00,t0000822,13602,1
3622,xtx1050k,10501 King William Drive,Dallas,10157,10511,Stone Select LLC,5423,841,22,Dallas_upto100,rent    ,per Area,Annual,9,9,7.5,7.5,1.5,1.5,6/26/2025 0:00,t0001091,38081,1
3622,xtx1050k,10501 King William Drive,Dallas,10162,10515,AMG Stone Inc.,6635,846,22,Dallas_upto100,rent    ,per Area,Annual,9.15,9.15,7.5,7.5,1.65,1.65,6/26/2025 0:00,t0001056,36840,1
3622,xtx1050k,10501 King William Drive,Dallas,10163,10519,Clean Energy,7490,847,22,Dallas_upto100,rent    ,per Area,Annual,9.18,9.18,7.5,7.5,1.68,1.68,6/26/2025 0:00,t0000826,13718,1
3622,xtx1050k,10501 King William Drive,Dallas,10159,10529,Nidia Valadez and Alejandro Contreras,6477,843,22,Dallas_upto100,rent    ,per Area,Annual,9.25,9.25,7.5,7.5,1.75,1.75,6/26/2025 0:00,t0000824,13715,1
3622,xtx1050k,10501 King William Drive,Dallas,10160,10537,Vacant,6525,844,85,Dal_upto100_2nd,rent    ,per Area,Annual,9,9,7.5,7.5,1.5,1.5,6/26/2025 0:00,,,1
3622,xtx1050k,10501 King William Drive,Dallas,10170,11523,Nidia Valadez and Alejandro Contreras,6188,848,22,Dallas_upto100,rent    ,per Area,Annual,9.25,9.25,7.5,7.5,1.75,1.75,6/26/2025 0:00,t0000824,13715,1
6615,3ga00008,1056 Personal Place,Atlanta,48409,1,"MWD Logistics, Inc.",90021,4645,57,Atl_2nd Iteration_upto100,rent    ,per Area,Annual,7.75,7.75,9,9,-1.25,-1.25,6/26/2025 0:00,t0001329,56166,1
6607,3il00008,1060 N Garfield,Chicago,48381,1060,"Diagnostic Support Services, Inc.",9450,4805,29,CHI_upto100,rent    ,per Area,Annual,11,11,6.5,6.5,4.5,4.5,6/26/2025 0:00,t0001325,56142,1
6607,3il00008,1060 N Garfield,Chicago,48380,1062,"A-To-Be USA, LLC",8125,4804,29,CHI_upto100,rent    ,per Area,Annual,11,11,6.5,6.5,4.5,4.5,6/26/2025 0:00,t0001320,56137,1
6607,3il00008,1060 N Garfield,Chicago,48401,1064,"Mirkovich & Associates, Inc.",5000,4806,29,CHI_upto100,rent    ,per Area,Annual,13,13,6.5,6.5,6.5,6.5,6/26/2025 0:00,t0001327,56158,1
6607,3il00008,1060 N Garfield,Chicago,48376,1066-68 ,"Diagnostic Support Services, Inc.",11875,4802,29,CHI_upto100,rent    ,per Area,Annual,10.5,10.5,6.5,6.5,4,4,6/26/2025 0:00,t0001322,56139,1
6607,3il00008,1060 N Garfield,Chicago,48402,1070,"AVT Sealing Solutions, Inc.",6875,4807,29,CHI_upto100,rent    ,per Area,Annual,11,11,6.5,6.5,4.5,4.5,6/26/2025 0:00,t0001324,56141,1
6607,3il00008,1060 N Garfield,Chicago,48378,1072,"Key Interior Designs, LLC",8670,4803,29,CHI_upto100,rent    ,per Area,Annual,11,13,6.5,6.5,4.5,6.5,6/26/2025 0:00,t0001323,56140,1
3307,xtx10704,10704 - 10710 Composite Drive,Dallas,8045,10704,"4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.",27300,835,22,Dallas_upto100,rent    ,per Area,Annual,7.55,7.55,7.5,7.5,0.05,0.05,6/26/2025 0:00,t0000762,9967,1
6156,3tx00014,10755 Sanden Drive,Dallas,44852,100,Circuit Works Corporation,11875,3459,22,Dallas_upto100,rent    ,per Area,Annual,10,10,7.5,7.5,2.5,2.5,6/26/2025 0:00,t0001420,70376,1
6156,3tx00014,10755 Sanden Drive,Dallas,44850,200,"Monk Holdings, LLC",9586,3458,22,Dallas_upto100,rent    ,per Area,Annual,8.5,8.5,7.5,7.5,1,1,6/26/2025 0:00,t0001205,51903,1
6156,3tx00014,10755 Sanden Drive,Dallas,44890,300,Flower Shop El Chapin LLC,6924,3500,22,Dallas_upto100,rent    ,per Area,Annual,8.25,8.25,7.5,7.5,0.75,0.75,6/26/2025 0:00,t0001363,60287,1
1735,xnj108n ,108 North Gold Drive,Philadelphia,3278,108,Vacant,23912,1067,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,11,11,8,8,3,3,6/26/2025 0:00,,,1
3796,3ga00003,1100 Shallowford Rd,Atlanta,15172,1100,"Pacesetter Steel Service, Inc.",101334,1990,38,ATL_100plus,rent    ,per Area,Annual,9,9,6,6,3,3,6/26/2025 0:00,t0000924,17996,1
3738,xil1100h,1100-1150 Howard,Chicago,15012,1100,"IGT Service, LLC",7500,1922,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0000922,17844,1
3738,xil1100h,1100-1150 Howard,Chicago,15011,1130,"Genband Industries, LLC",8613,1921,29,CHI_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0001359,60269,1
3738,xil1100h,1100-1150 Howard,Chicago,15014,1150,Bunting Magnetics Company,7500,1923,29,CHI_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0000925,18048,1
5087,3tx00011,1101 Venture Ct.,Dallas,28003,1101,March Products Inc.,22876,2913,22,Dallas_upto100,rent    ,per Area,Annual,9.95,9.95,7.5,7.5,2.45,2.45,6/26/2025 0:00,t0001462,73379,1
5087,3tx00011,1101 Venture Ct.,Dallas,28002,120,"EGL Motors, Inc.",23272,2912,22,Dallas_upto100,rent    ,per Area,Annual,10.7,10.7,7.5,7.5,3.2,3.2,6/26/2025 0:00,t0001196,51811,1
6586,3fl00013,11070 Cabot Commerce Circle,Jacksonville,46980,1,"Air-Van, Inc.",110137,4601,84,Jax_100plus,rent    ,per Area,Annual,8.5,8.5,7,7,1.5,1.5,6/26/2025 0:00,t0001314,54518,1
6586,3fl00013,11070 Cabot Commerce Circle,Jacksonville,46982,2,"Air-Van, Inc.",22028,4602,84,Jax_100plus,rent    ,per Area,Annual,10.5,10.5,7,7,3.5,3.5,6/26/2025 0:00,t0001314,54518,1
6588,3fl00014,11084 Cabot Commerce Circle,Jacksonville,46975,100-300 ,"AJC Logistics, LLC",52500,4608,35,Jax_upto100,rent    ,per Area,Annual,9,9,7,7,2,2,6/26/2025 0:00,t0001312,54516,1
