Record HMY,Amendment HMY,Tenant HMY,Tenant Code,Property HMY,Property Code,Unit HMY,Unit Name,dtLeaseFrom,dtLeaseTo,hOption,hProposal,bInActive,dtInactive,hAmendmentInactive,dtMovein,dtMoveout,sNotes,dSqft,hMasterUnit,bActive,hCondoContract,iPersonType,hcommmoveoutreason,hForeignDb,sExtReference,hCopyFrom,IsPastPrimaryOwner,hCommMLAOverride,tRowVersion,dtClose,dTaxEstimate
14,39,384,"t0000040",1242,"pabor001",43,165     ,"2019-04-01 00:00:00","2022-06-22 00:00:00",,,,,115801,"2019-04-01 00:00:00","2022-06-22 00:00:00",,30000,0,0,,,,,,,,0,"AAAAAAGrSgE=",,
23,17,363,"t0000019",994,"ohwar004",35,"F       ","2016-07-01 00:00:00","2016-06-30 00:00:00",,,,,44,"2016-07-01 00:00:00","2016-06-30 00:00:00",,8075,0,0,,,,,,,,0,"AAAAAAAEFiE=",,
34,6,352,"t0000008",992,"ohkem002",20,"3-600   ","2020-01-01 00:00:00","2020-12-31 00:00:00",,,,,365,"2020-01-01 00:00:00","2020-12-31 00:00:00",,13693,0,0,,,,,,,,0,"AAAAAAART64=",,
35,7,353,"t0000009",992,"ohkem002",17,"2-600   ","2019-03-01 00:00:00","2020-11-30 00:00:00",,,,,351,"2019-03-01 00:00:00","2020-11-30 00:00:00",,3818,0,0,,,,,,,,0,"AAAAAAAJjfg=",,
36,8,354,"t0000010",992,"ohkem002",14,"2-200   ","2019-02-01 00:00:00","2020-11-30 00:00:00",,,,,352,"2019-02-01 00:00:00","2020-11-30 00:00:00",,3060,0,0,,,,,,,,0,"AAAAAAAJjL0=",,
37,9,355,"t0000011",992,"ohkem002",16,"2-510   ","2017-10-01 00:00:00","2022-06-22 00:00:00",,,,,115825,"2017-10-01 00:00:00","2022-06-22 00:00:00",,10300,0,0,,,,,,,,0,"AAAAAAGrRYc=",,
38,10,356,"t0000012",992,"ohkem002",19,"3-500   ","2020-05-01 00:00:00","2020-10-31 00:00:00",,,,,96,"2020-05-01 00:00:00","2020-10-31 00:00:00",,6999,0,0,,,,,,,,0,"AAAAAAAFZuM=",,
39,12,358,"t0000014",992,"ohkem002",13,"1-500   ","2018-01-01 00:00:00","2022-06-22 00:00:00",,,,,115661,"2018-01-01 00:00:00","2022-06-22 00:00:00",,18127,0,0,,,,,,,,0,"AAAAAAGrRbs=",,
41,13,359,"t0000015",992,"ohkem002",18,"3-110   ","2016-11-01 00:00:00","2022-03-31 00:00:00",,,,,6104,"2016-11-01 00:00:00","2022-03-31 00:00:00",,22930,0,0,,,,,,,,0,"AAAAAAA0b/4=",,
43,43,399,"t0000043",992,"ohkem002",15,"2-500   ","2020-08-01 00:00:00","2020-09-30 00:00:00",,,,,369,"2020-08-01 00:00:00","2020-09-30 00:00:00",,19727,0,0,,,,,,,,0,"AAAAAAANaag=",,
50,2,302,"t0000002",919,"ohhon001",6,"7100-GL ","2020-06-29 00:00:00","2020-06-28 00:00:00",,,,,9309,"2020-06-29 00:00:00","2020-06-28 00:00:00",,213863,0,0,,,,,,,,0,"AAAAAAB3JCA=",,
51,2,302,"t0000002",919,"ohhon001",7,"7100-MEZ","2020-06-29 00:00:00","2020-06-28 00:00:00",,,,,9309,"2020-06-29 00:00:00","2020-06-28 00:00:00",,,0,0,,,,,,,,0,"AAAAAAB3JCE=",,
54,15,361,"t0000017",993,"ohfai003",29,7066    ,"2019-10-01 00:00:00","2021-02-24 00:00:00",,,,,373,"2019-10-01 00:00:00","2021-02-24 00:00:00",,5069,0,0,,,,,,,,0,"AAAAAAAN5fw=",,
55,20,365,"t0000021",993,"ohfai003",28,7060    ,"2020-07-01 00:00:00","2022-11-01 00:00:00",,,,,115948,"2020-07-01 00:00:00","2022-11-01 00:00:00",,4811,0,0,,,,,,,,0,"AAAAAAGrbDM=",,
