Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,SLB Flag,Lease Status
"t0000031","c0000295    ","Freeman Schwabe","Freeman Schwabe","ohclo007","4064 Clough Woods Drive","OH","Yes","Current"
"t0000078","c0000465    ","Memphis Area Project-South","Memphis Area Project-South","tndan007","761 Danny Thomas","TN","Yes","Current"
"t0000082","c0000650    ","Southern Wire, LLC","Southern Wire, LLC","tnmet016","8045 Metro Rd","TN","Yes","Current"
"t0000131","c0000303    ","Gaffney-Kroese Electrical Supply Corp.","Gaffney-Kroese Electrical Supply Corp.","txvic008","14000 Vickery Drive","TX","Yes","Current"
"t0000348","c0000605    ","Sahni's Enterprises","Sahni's Enterprises","garon030","2210 Ronald Reagan Boulevard","GA","Yes","Current"
"t0000439","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire4","224 Rio Circle","GA","Yes","Current"
"t0000440","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire5","246 Rio Circle","GA","Yes","Current"
"t0000441","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire6","252 Rio Circle","GA","Yes","Current"
"t0000442","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire7","2980 Pine St ","GA","Yes","Current"
"t0000443","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire8","3000 Pine St","GA","Yes","Current"
"t0000471","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw2","922 Mountain Ind Dr                           ","GA","Yes","Current"
"t0000472","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw6","3275 Florence Rd, Bldg 100                      ","GA","Yes","Current"
"t0000473","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw5","3275 Florence Rd, Bldg 200                      ","GA","Yes","Current"
"t0000474","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw4","3275 Florence Rd, Bldg 300","GA","Yes","Current"
"t0000350","c0000469    ","Metal Pride Inc","Metal Pride Inc","gaent031","20 and 30 Enterprise Boulevard","GA","Yes","Current"
"t0000361","c0000561    ","Power Manufacturing, LLC","Power Manufacturing, LLC","txhou002","10111 Houston Oaks","TX","Yes","Current"
"t0000537","c0000506    ","Nazdar Company","Nazdar Company","xnjcentr","7055 Central highway","NJ","Yes","Past"
"t0000542","c0000498    ","Myers Tire Supply Distribution, Inc.","Myers Tire Supply Distribution, Inc.","xga9330 ","9330 Industrial Trace","GA","Yes","Current"
"t0000545","c0000454    ","Material Handling Supply, Inc. (MHS Lift)","Material Handling Supply, Inc. (MHS Lift)","xnj6965 ","6965 Airport Highway Lane","NJ","Yes","Current"
"t0000547","c0000209    ","Corporate Facility Services USA, LLC","Corporate Facility Services USA, LLC","xnj313c ","313 Church Street","NJ","Yes","Current"
"t0000549","c0000176    ","CCJ, LLC","CCJ, LLC","xnj52col","52 Coles Road","NJ","Yes","Current"
"t0000553","c0000627    ","Shingle & Gibb Automation, LLC","Shingle & Gibb Automation, LLC","xnj845l ","845 Lancer Drive","NJ","Yes","Current"
"t0000165","c0000601    ","RPM Truck Parts LLC","RPM Truck Parts LLC","gable014","137 Bledsoe Rd","GA","Yes","Current"
"t0000166","c0000656    ","Sportzone Inc","Sportzone Inc","gable014","137 Bledsoe Rd","GA","Yes","Current"
"t0000167","c0000263    ","Engineered Recycling Systems LLC","Engineered Recycling Systems LLC","gamac024","5010 MacDougall Drive","GA","Yes","Current"
"t0000222","c0000282    ","Fightingtown Companies, LLC","Fightingtown Companies, LLC","gajon020","3075 Jonquil Drive","GA","Yes","Current"
"t0000224","c0000377    ","Jacobs & Thompson LTD","Jacobs & Thompson LTD","gashi019","4080 Shirley Dr SW, ","GA","Yes","Current"
"t0000293","c0000235    ","Diversified Industries Inc.","Diversified Industries Inc.","njhig121","121 High Hill Road, Unit A","NJ","Yes","Current"
"t0000433","c0000554    ","Plastic Recycling Technology Inc","Plastic Recycling Technology Inc","gaeas037","5682 E Ponce de Leon Avenue","GA","Yes","Current"
"t0000436","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire1","196 Rio Cir Decatur, GA","GA","Yes","Current"
"t0000437","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire2","201 Laredo Dr Decatur, GA","GA","Yes","Current"
"t0000438","c0000030    ","Construction Resources Company LLC","Construction Resources Company LLC","xgahire3","210 Rio Circle","GA","Yes","Current"
"t0000575","c0000695    ","The Delaney Hardware Co","The Delaney Hardware Co","xga265c ","265 Castleberry Industrial Drive","GA","Yes","Past"
"t0000578","c0000177    ","CCL Label, INC.","CCL Label, INC.","xnj390n ","390 New Albany Road  ","NJ","Yes","Current"
"t0000579","c0000317    ","Global Concentrate, INC.","Global Concentrate, INC.","xnj1010 ","1010 Old Egg Harbor Road","NJ","Yes","Current"
"t0000762","c0000008    ","4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.","4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.","xtx10704","10704 - 10710 Composite Drive ","TX","Yes","Current"
"t0000763","c0000566    ","Prince Minerals LLC","Prince Minerals LLC","txvic008","14000 Vickery Drive","TX","Yes","Current"
"t0000774","c0000037    ","Fasteners For Retail, Inc.","Fasteners For Retail, Inc.","xil1630b","1630 Birchwood Avenue","IL","Yes","Current"
"t0000775","c0000037    ","Fasteners For Retail, Inc.","Fasteners For Retail, Inc.","xil1600b","1600 Birchwood Avenue","IL","Yes","Current"
"t0000854","c0000120    ","Axess Barlas Investment, LLC","Axess Barlas Investment, LLC, Burak Ozbarlas, and Berk Ozbarlas","3ga00001","2160 Hills Avenue Northwest","GA","Yes","Past"
"t0000766","c0000688    ","TELETECHSERV GA, LLC","TELETECHSERV GA, LLC","xga9335i","9335 Industrial Trace","GA","Yes","Current"
"t0000767","c0000219    ","CTL Global Inc.","CTL Global Inc. ","xil11697"," 11697 W Grand","IL","Yes","Current"
"t0000770","c0000603    ","S Shops LLC","Serious Shops LLC","xnjcentr","7055 Central highway","NJ","Yes","Past"
