Property Code,Property Address,Fund,Market,Status,Asset Manager
"txfuv100","2401 Fountain View Drive","FRG 5                                                                           ","Houston","Acquired                                                                        ","Brett Kaye                                                                      "
"gacre100","100 Crescent Center Pkwy","FRG 6                                                                           ","Atlanta","Acquired                                                                        ","Brett Kaye                                                                      "
"nikedeal","165 Wingo Road i","FP Swoosh LP                                                                    ","Memphis","Acquired                                                                        ","Karlie Calhoun                                                                  "
"xtndelp1","4290 Delp Street","FRG X                                                                           ","Memphis","Acquired                                                                        ","Karlie Calhoun                                                                  "
"xflstuar","6959 Stuart Avenue","FRG X                                                                           ","Jacksonville","Acquired                                                                        ","Gabriel Kisber                                                                  "
"xohmost ","12080 Mosteller","FRG X                                                                           ","Cincinnati","Acquired                                                                        ","Madison Austin                                                                  "
"xnj3001i","3001 Irwin Road","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Andrew Randolph                                                                 "
"xnj2036b","2036 Briggs Road","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Andrew Randolph                                                                 "
"xnj6000i","6000 Irwin Road","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Andrew Randolph                                                                 "
"xtxball ","9615 Ball Street","FRG X                                                                           ","San Antonio","Acquired                                                                        ","Alex Hugo                                                                       "
"xgahire1","196 Rio Cir Decatur, GA","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire2","201 Laredo Dr Decatur, GA","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire3","210 Rio Circle","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire4","224 Rio Circle","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire5","246 Rio Circle","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire6","252 Rio Circle","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire7","2980 Pine St ","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgahire8","3000 Pine St","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xnjmway3","3 Mary Way","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xnjmway5","5 Mary Way","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xnjmway7","7 Mary Way","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xnjmway9","9 Mary Way","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xnjmway0","Mary Way Road","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xnjmwayr","1359 Route 38","FRG X                                                                           ","Philadelphia","Acquired                                                                        ","Ian Murphy                                                                      "
"xgashaw1","986 Rosedale Dr ","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgashaw2","922 Mountain Ind Dr                           ","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgashaw3","899 Mountain Ind Dr","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
"xgashaw4","3275 Florence Rd, Bldg 300","FRG X                                                                           ","Atlanta","Acquired                                                                        ","Rebekah Snider                                                                  "
