Market,Property Code,Property Address,scode
"Atlanta","gacre100","100 Crescent Center Pkwy",800     
"Atlanta","gacre100","100 Crescent Center Pkwy",320     
"Atlanta","gacre100","100 Crescent Center Pkwy",1000    
"Atlanta","gacre100","100 Crescent Center Pkwy",1100    
"Atlanta","gacre100","100 Crescent Center Pkwy",200     
"Atlanta","gacre100","100 Crescent Center Pkwy",110     
"Atlanta","gacre100","100 Crescent Center Pkwy",1200    
"Atlanta","gacre100","100 Crescent Center Pkwy",1250    
"Atlanta","gacre100","100 Crescent Center Pkwy",1290    
"Atlanta","gacre100","100 Crescent Center Pkwy",260     
"Atlanta","gacre100","100 Crescent Center Pkwy",500     
"Atlanta","gacre100","100 Crescent Center Pkwy",290     
"Atlanta","gacre100","100 Crescent Center Pkwy",340     
"Atlanta","gacre100","100 Crescent Center Pkwy",350     
"Atlanta","gacre100","100 Crescent Center Pkwy",395     
"Atlanta","gacre100","100 Crescent Center Pkwy",390     
"Atlanta","gacre100","100 Crescent Center Pkwy",400     
"Atlanta","gacre100","100 Crescent Center Pkwy",520     
"Atlanta","gacre100","100 Crescent Center Pkwy",550     
"Atlanta","gacre100","100 Crescent Center Pkwy",600     
"Atlanta","gacre100","100 Crescent Center Pkwy",620     
"Atlanta","gacre100","100 Crescent Center Pkwy",625     
"Atlanta","gacre100","100 Crescent Center Pkwy",650     
"Atlanta","gacre100","100 Crescent Center Pkwy",655     
"Atlanta","gacre100","100 Crescent Center Pkwy",660     
"Atlanta","gacre100","100 Crescent Center Pkwy",670     
"Atlanta","gacre100","100 Crescent Center Pkwy",700     
"Atlanta","gacre100","100 Crescent Center Pkwy",950     
"Atlanta","gacre100","100 Crescent Center Pkwy",102     
"Atlanta","gacre100","100 Crescent Center Pkwy",104     
"Atlanta","gacre100","100 Crescent Center Pkwy",120     
"Atlanta","gacre100","100 Crescent Center Pkwy",190     
"Atlanta","gacre100","100 Crescent Center Pkwy",330     
"Atlanta","gacre100","100 Crescent Center Pkwy",475     
"Atlanta","gacre100","100 Crescent Center Pkwy",900     
"Atlanta","gacre100","100 Crescent Center Pkwy",680     
"Atlanta","gacre100","100 Crescent Center Pkwy",450     
"Atlanta","gacre100","100 Crescent Center Pkwy",180     
"Atlanta","gacre100","100 Crescent Center Pkwy",220     
"Atlanta","gacre100","100 Crescent Center Pkwy","ROOF    "
"Atlanta","gacre100","100 Crescent Center Pkwy",575     
"Atlanta","gacre100","100 Crescent Center Pkwy",1025    
"Atlanta","gacre100","100 Crescent Center Pkwy",100     
"Atlanta","gacre100","100 Crescent Center Pkwy",240     
"Atlanta","gacre100","100 Crescent Center Pkwy",300     
"Memphis","nikedeal","165 Wingo Road i",100     
"Memphis","xtndelp1","4290 Delp Street",4290    
"Memphis","xtndelp1","4290 Delp Street",4310    
"Memphis","xtndelp1","4290 Delp Street",4354    
"Memphis","xtndelp1","4290 Delp Street",4318    
"Jacksonville","xflstuar","6959 Stuart Avenue",6959    
"Cincinnati","xohmost ","12080 Mosteller","A       "
"Cincinnati","xohmost ","12080 Mosteller","B       "
"Cincinnati","xohmost ","12080 Mosteller","C       "
"Cincinnati","xohmost ","12080 Mosteller","D       "
"Cincinnati","xohmost ","12080 Mosteller","PARK    "
"Philadelphia","xnj3001i","3001 Irwin Road","A       "
"Philadelphia","xnj3001i","3001 Irwin Road","B       "
"Philadelphia","xnj3001i","3001 Irwin Road","C       "
"Philadelphia","xnj3001i","3001 Irwin Road","E       "
"Philadelphia","xnj3001i","3001 Irwin Road","D       "
"Philadelphia","xnj2036b","2036 Briggs Road",100     
"Philadelphia","xnj2036b","2036 Briggs Road",200     
"Philadelphia","xnj2036b","2036 Briggs Road",300     
"Philadelphia","xnj2036b","2036 Briggs Road",400     
"Philadelphia","xnj6000i","6000 Irwin Road",6000    
"San Antonio","xtxball ","9615 Ball Street",9615    
"Atlanta","xgahire1","196 Rio Cir Decatur, GA",196     
"Atlanta","xgahire2","201 Laredo Dr Decatur, GA",201     
"Atlanta","xgahire3","210 Rio Circle",210     
"Atlanta","xgahire4","224 Rio Circle",224     
"Atlanta","xgahire5","246 Rio Circle",246     
"Atlanta","xgahire6","252 Rio Circle",252     
"Atlanta","xgahire7","2980 Pine St ",2980    
"Atlanta","xgahire8","3000 Pine St",3000    
"Philadelphia","xnjmway3","3 Mary Way","A       "
"Philadelphia","xnjmway3","3 Mary Way","B       "
"Philadelphia","xnjmway3","3 Mary Way","C       "
"Philadelphia","xnjmway5","5 Mary Way","A       "
"Philadelphia","xnjmway5","5 Mary Way","B       "
"Philadelphia","xnjmway5","5 Mary Way","C       "
