Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"gacre100",100     ,"2024-10-03 00:00:00",100,"N/A","","N/A","No","No","N/A","No",,,"N/A","N/A","N/A",,"Yes",,"N/A","No",,,,
"gacre100",1000    ,"2024-10-03 00:00:00",100,"N/A","","N/A","No","No","N/A","No",,,"N/A","N/A","N/A",,"Yes",,"Yes","No",,,,
"gacre100",102     ,"2024-10-03 00:00:00",100,"N/A","","N/A","No","No","N/A","No",,,"N/A","N/A","N/A",,"Yes",,"N/A","No",,,,
"gacre100",1025    ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","No",,,,
"gacre100",104     ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","No",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",110     ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",1100    ,"2024-10-03 00:00:00",100,"Fluorescent/HID","","N/A","N/A","No","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",120     ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",1200    ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",1250    ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",1290    ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
"gacre100",180     ,"2024-10-03 00:00:00",100,"N/A","","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A",,"Yes",,"N/A","N/A",,,,
