Property Code,Property Address,Building ID,Fund,Market,Status,Is Land?,Acq. Date,Acq. Strategy,Year Built,Parcel,% Office,Building Shape,Construction Type 1,Construction Type 2,Construction Type 3,Roof replacement,Roof Type 1,Roof Type 2,Roof Type 3,Roof Type 4,Land (Acres),Loading Type 1,Loading Type 2,Loading Type 3,Loading Type 4,Loading Type 5,Max Truck Court Depth,Min. Clear Height,Max. Clear Height,# Dock Doors,# of Drive Ins,Truck Court Type,# Parking Spots,Fire Alarm,Sprinkler Type 1,Sprinkler Type 2,Sprinkler Coverage %,Cold Storage,Ext. Light Type,Generator,Generator Fuel Type,Generator Size,EV Charge,Fire Pump,Fire Water Tank,Sewege Type,Utility Acc. Holder,Gas Provider,Electric Provider,Water Provider,Solar,Solar Power,Recycling,What is recycled?,Enviromental Issues?,Enviromental Notes
"tx4se001","6810-6838 Bourgeois Rd.",11602,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-002-0009",17,"Rectangle","Metal","","",2011,"Metal","Other","","",0.73,"Front Load","","","","",69,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",11606,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-002-0023",17,"Rectangle","Metal","","",2011,"Metal","Other","","",0.58,"Front Load","","","","",55,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",11614,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-002-0008",21,"Rectangle","Metal","","",2011,"Metal","Other","","",0.99,"Front Load","","","","",78,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6812,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2012,"131-495-001-0008",21,"Rectangle","Metal","","",2012,"Metal","Other","","",0.67,"Front Load","","","","",69,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6814,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-001-0013",16,"Rectangle","Metal","","",2011,"Metal","Other","","",0.9,"Front Load","","","","",80,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6816,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-001-0014",17,"Rectangle","Metal","","",2011,"Metal","Other","","",0.67,"Front Load","","","","",90,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6818,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2017,"131-495-001-0009",20,"Rectangle","Metal","","",2017,"Metal","Other","","",0.67,"Front Load","","","","",90,16,18,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6820,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2014,"131-495-001-0004",15,"Rectangle","Metal","","",2014,"Metal","Other","","",0.58,"Front Load","","","","",100,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6824,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2012,"131-495-001-0010",19,"Rectangle","Metal","","",2012,"Metal","Other","","",0.57,"Front Load","","","","",90,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6826,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2012,"131-495-001-0016",20,"Rectangle","Metal","","",2014,"Metal","Other","","",1.34,"Front Load","","","","",90,16,18,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6830,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2014,"131-495-001-0011",19,"Rectangle","Metal","","",2014,"Metal","Other","","",0.57,"Front Load","","","","",90,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6834,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2011,"131-495-001-0007",12,"Rectangle","Metal","","",2011,"Metal","Other","","",1.18,"Front Load","","","","",93,16,18,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6836,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2000,"131-495-001-0012",24,"Rectangle","Metal","","",2000,"Metal","Other","","",0.58,"Front Load","","","","",90,16,18,0,1,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6838,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2017,"131-495-001-0017",13,"Rectangle","Metal","","",2017,"Metal","Other","","",0.6,"Front Load","","","","",88,16,18,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6810,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2013,"131-495-001-0003",19,"Rectangle","Metal","","",2013,"Metal","Other","","",0.59,"Front Load","","","","",55,16,18,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"tx4se001","6810-6838 Bourgeois Rd.",6832,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-09-21 00:00:00","",2012,"131-495-001-0006",18,"Rectangle","Metal","","",2012,"Metal","","","",0.59,"Front Load","","","","",93,16,18,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"txhou002","10111 Houston Oaks","","FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-12-14 00:00:00","",2006,"127-725-002-0002",17,"Other","Tilt-up/Concrete","","","2006: 65,800sf 2014: 39,600sf","Metal","Other","","",5.04,"Front Load","","","","",118,26,26,6,4,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"txlan003","6410 Langfield  Bldg. X","","FRG IX                                                                          ","Houston","Sold                                                                            ",,"2018-12-08 00:00:00","",2015,"130-718-001-0009",18,"Rectangle","Tilt-up/Concrete","","",2014,"Metal","Other","","",4.93,"Rear Load","","","","",113,26,26,0,3,,,,"None","",,,,,,,,,,,,,,,,,,,,
"txwin004","11300 Windfern Rd","","FRG IX                                                                          ","Houston","Sold                                                                            ",,"2019-01-15 00:00:00","",2000,"121-363-001-0001",9,"Rectangle","Metal","Tilt-up/Concrete","",2000,"Metal","Other","","",5,"Front Load","","","","",180,18,18,1,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"txmil005","5101-5151 Milwee St.",5101,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2019-09-06 00:00:00","",2003,"122-639-001-0001",12,"Rectangle","Metal","","",2003,"Metal","Other","","",1.63,"Front Load","","","","",115,22,22,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"txmil005","5101-5151 Milwee St.",5111,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2019-09-06 00:00:00","",2003,"122-639-001-0001",12,"Rectangle","Metal","","",2003,"Metal","Other","","",1.63,"Front Load","","","","",115,22,22,0,2,,,,"None","",,,,,,,,,,,,,,,,,,,,
"txmil005","5101-5151 Milwee St.",5151,"FRG IX                                                                          ","Houston","Sold                                                                            ",,"2019-09-06 00:00:00","",2005,"122-639-001-0001",10,"Rectangle","Tilt-up/Concrete","","",2005,"Metal","Other","","",1.65,"Front Load","","","","",115,22,22,0,1,,,,"None","",,,,,,,,,,,,,,,,,,,,
"txfuv100","2401 Fountain View Drive","","FRG 5                                                                           ","Houston","Acquired                                                                        ",,"2017-09-29 00:00:00","",0,"099-077-000-0004",100,"","Other","","","","","","","",3.58,"","","","","",0,0,0,0,0,"",0,"","","",0,"No","","No","",,"No","No","No","Sewer","Faropoint","","","","No",,"No","","No Issue",""
"gasc1002","5101 Chatooga Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",1974,"16-023-03-002",12,"Rectangle","Masonry","","",2014,"TPO","Other","","",1.42,"Other","","","","",0,20,20,4,1,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"gasc2003","5079 Chatooga Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",1978,"16-023-03-020",4,"Rectangle","Masonry","","",2003,"BUR","Other","","",1.88,"Other","","","","",0,20,20,4,1,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"gasc3004","2958 Miller Rd","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",0,"16-023-03-016",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"gasc4005","5036 Minola  Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",0,"16-023-03-004",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"gasc5006","5108 Minola Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",0,"16-023-03-008",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"gasc6007","5220 Minola Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-02-15 00:00:00","",1980,"16-023-03-014",12,"Rectangle","Masonry","","",2003,"BUR","Other","","",3.8,"Other","","","","",0,22,22,1,11,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"gaold008","1721 Old Covington Rd NE","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-03-20 00:00:00","",1976,07100100005,7,"Rectangle","Metal","","",1976,"Metal","Other","","",3.85,"Side Load","","","","",100,22,22,8,0,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gasto009","7217 Daniel Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-03-20 00:00:00","",1999,"12072b-a012",13,"Rectangle","Other","","",1999,"Metal","Other","","",3,"Front Load","","","","",60,18,18,9,1,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gacn010 ","1479 Parker Rd SE","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-03-20 00:00:00","",1989,"c12002033a",47,"Rectangle","Other","","",1989,"Metal","Other","","",1.45,"Rear Load","","","","",90,18,20,7,0,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gacn011 ","1417 Parker Rd SE","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-03-20 00:00:00","",1985,"c120010013",23,"Rectangle","Other","","",1985,"Metal","Other","","",1.42,"Rear Load","","","","",120,18,18,5,1,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gacn012 ","1390 Business Center Dr SW","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-03-20 00:00:00","",1986,"c120010014",7,"Rectangle","Other","","",1986,"Metal","Other","","",2.2,"Rear Load","","","","",90,16,20,10,0,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gahaz013","8306 Hazelbrand Rd NE","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-07-01 00:00:00","",1978,"c001000010006000",0,"L Shape","Metal","","",1978,"Metal","Other","","",3.1,"Front Load","","","","",150,22,22,6,1,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gasc1014","1 Leggett Dr","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-07-23 00:00:00","",1985,"sc130037",7,"Rectangle","Metal","","",1985,"Metal","Other","","",13.4,"Side Load","","","","",150,22,22,14,2,,,,"Wet","ESFR",,,,,,,,,,,,,,,,,,,,
"gasc2015","754 East Hightower Trail","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-07-23 00:00:00","",1985,"sc160018",2,"Rectangle","Metal","","",1985,"Metal","Other","","",4.08,"Front Load","","","","",100,22,26,4,3,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gasc3016","772 East Hightower Trail","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-07-23 00:00:00","",1999,"sc160018a00",5,"Rectangle","Metal","","",1985,"Metal","Other","","",2.89,"Front Load","","","","",100,22,30,4,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gatuc017","1868 Tucker Industrial Rd","","FRG IX                                                                          ","Atlanta","Sold                                                                            ",,"2019-08-14 00:00:00","",1981,"18-185-04-060",4.1,"Rectangle","Metal","Other","",1981,"BUR","Other","","",3.4,"Side Load","","","","",80,18,18,8,1,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"gacre100","100 Crescent Center Pkwy","","FRG 6                                                                           ","Atlanta","Acquired                                                                        ",,"2018-09-17 00:00:00","",0,"18-189-02-094, 18-189-02-100, 18-189-02-104",100,"","Other","","","","","","","",0,"","","","","",0,0,0,0,0,"",0,"","","",0,"No","","No","",,"No","No","No","Sewer","Faropoint","","","","No",,"No","","No Issue",""
"gaspa102","4015 Holcomb Bridge","","FRG 8                                                                           ","Atlanta","Sold                                                                            ",,"2017-09-29 00:00:00","",0,"r6313-140",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"gaga1104","852 Dailey Mill Rd.","BLDG 100","FRG 6                                                                           ","Atlanta","Sold                                                                            ",,"2018-10-01 00:00:00","",0,"072-01010002",0,"","Metal","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"gajoh105","1501 Johnson Ferry Road","","FRG 7                                                                           ","Atlanta","Sold                                                                            ",,"2018-02-28 00:00:00","",0,"",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"ohhon001","7100 Dixie Hwy","","FRG IX                                                                          ","Cincinnati","Sold                                                                            ",,"2019-07-01 00:00:00","",1969,"A0700016000124",1.8,"Rectangle","Other","","","1993: 74,000sf 1994: 120,000sf 2010: 20,000sf","BUR","Other","","",19.98,"Cross Dock","","","","",155,20,30,24,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnwl9001","4135 Willow Lake Blvd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-25 00:00:00","N/A",0,"",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"tnwl1002","5300 E Raines Rd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-15 00:00:00","",1990,"",21,"Rectangle","Tilt-up/Concrete","","",2008,"BUR","Other","","",7.65,"Rear Load","","","","",100,18,18,18,3,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnwl4003","4002 Willow Lake Blvd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-15 00:00:00","",1989,"",18,"Rectangle","Tilt-up/Concrete","","",2008,"BUR","Other","","",10.22,"Rear Load","","","","",121,18,18,18,3,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnwl5004","3960 Willow Lake Blvd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-15 00:00:00","",1991,"",8.4,"Rectangle","Tilt-up/Concrete","","",2004,"TPO","Other","","",7.67,"Rear Load","","","","",0,25,25,27,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnwl7005","5146 E Raines Rd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-15 00:00:00","",1986,"",24,"Rectangle","Tilt-up/Concrete","","",1986,"BUR","Other","","",5.89,"Rear Load","","","","",155,18,18,23,3,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnw13006","5070 E Raines Rd","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-03-15 00:00:00","",1985,"",8,"Rectangle","Tilt-up/Concrete","","",1985,"BUR","Other","","",3.04,"Side Load","","","","",100,18,18,10,10,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tndan007","761 Danny Thomas","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-05-29 00:00:00","",1969,"",8,"Rectangle","Tilt-up/Concrete","","",2014,"TPO","Other","","",6.3,"Front Load","","","","",148,18,18,16,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnlak008","2900 Lakeview Dr","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-30 00:00:00","",1988,"",2,"Rectangle","Tilt-up/Concrete","","",1988,"Metal","Other","","",9.66,"Front Load","","","","",266,24,24,16,1,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnwl3009","4070 Willow Lake","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-30 00:00:00","",1986,"",23,"Rectangle","Tilt-up/Concrete","Masonry","",1986,"TPO","Other","","",7.2,"Rear Load","","","","",121,18,18,3,0,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnb10010","1887 Latham (10)","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-15 00:00:00","",1965,"",1,"Rectangle","Masonry","","",2014,"BUR","Other","","",3.9,"Front Load","","","","",235,18,18,10,1,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnb12011","1950-1980 Latham (12)","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-15 00:00:00","",1953,"",2.4,"Rectangle","Masonry","","",2017,"TPO","Other","","",3.5,"Front Load","","","","Cross Dock",68,14,14,12,1,"",0,"","Wet","Dry",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnb11012","2000 Latham Street","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-15 00:00:00","",1957,"",1,"Other","Masonry","","",2014,"TPO","Other","","",3.3,"Front Load","","","","",67,16,16,22,1,"",0,"","Wet","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnb03013","237-265 East Belz (3)","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-30 00:00:00","",1966,"",5,"Rectangle","Tilt-up/Concrete","Masonry","","2011 , 2014","TPO","Other","","",10.52,"Front Load","","","","",72,16,16,20,2,"",0,"","Wet","Dry",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnb09014","307-317 East Belz (9)","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-15 00:00:00","",1967,"",11,"Rectangle","Tilt-up/Concrete","Masonry","",2014,"TPO","Other","","",2.5,"Front Load","","","","",126,16,16,7,3,"",0,"","None","",0,"No","","No","",,"No","No","No","Sewer","","","","","No",,"No","","No Issue",""
"tnamz015","3347 Pearson Road","","FRG IX                                                                          ","Memphis","Sold                                                                            ",,"2019-08-30 00:00:00","",1965,"",8,"Square","Tilt-up/Concrete","","",2019,"TPO","Other","","",9.01,"Cross Dock","","","","",130,20,20,7,2,,,,"Wet","",,,,,,,,,,,,,,,,,,,,
"tnfre100","450 U.S. Highway 72W- Collierville","","FRG 1                                                                           ","Memphis","Sold                                                                            ",,"2013-12-20 00:00:00","",0,"",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"tnvan101","1160 Vann drive","","FRG 2                                                                           ","Jackson","Sold                                                                            ",,"2015-04-02 00:00:00","",0,"",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
"tnorl102","1779-1789 Kirby","","FRG 4                                                                           ","Memphis","Sold                                                                            ",,"2015-12-29 00:00:00","",0,"",0,"","","","","","","","","",0,"","","","","",0,0,0,0,0,,,,"","",,,,,,,,,,,,,,,,,,,,
