SCODE,hMy,hCode,sCode1,sName,HEADERPROPATTRIBUTES,DACQUISITIONDATE,LACQUISITIONSTRATEGY,TBUILDING,NYEARBUILT,NOFFICEPERCENT,TPARCELNUMBER,IPURCHASENOI,NPURCHASEOCCUPANCY,NPURCHASEPRICE,NOTHERACQCOSTS,NPURCHASEWALT,LBOXSHAPE,LCONSTRUCTIONTYPE,LCONSTRUCTIONTYPE2,LCONSTRUCTIONTYPE3,LCONSTRUCTIONTYPE4,LCONSTRUCTIONTYPE5,LSPRINKLERTYPE,LSPRINKLERTYPE2,LSPRINKLERTYPE3,LSPRINKLERTYPE4,LSPRINKLERTYPE5,HROOF,TROOFREPLACEMENTYEAR,LROOFTYPE,LROOFTYPE2,LROOFTYPE3,LROOFTYPE4,LROOFTYPE5,HACCESS,NLANDAREA,LLOADTYPE,LLOADTYPE2,LLOADTYPE3,LLOADTYPE4,LLOADTYPE5,NMAXCOLUMNSSPACELENGTH,NIMAXCOLUMNSSPACEWIDTH,NTRUCKMAXCOURTDEPT,NMINCLEARHEIGHT,IMAXCLEARHEIGHT,INUMBEROFDOCKHIGHDOORS,INUMBEROFDRIVEIN,HDISPOSITIONINFORMATION,DDISPOSITIONDATE,NDISPOSITIONPRICE,NDISPOSITIONNOI,HEADERTOBEDELETED,HEADERACQINFORMATION,COURTTRUCKTYPE,NPARKINGSPOTS,HEADERMEPANDUTILITIES,FIREALARMYESNO,COLDSTORAGEYESNO,EXTERIORLIGHTTYPE,GENERATORYESNO,GENERATORFUEL,FIREPUMPYESNO,FIREWATERTANKYESNO,GENERATORSIZE,SEWEGETYPE,EVCHARGEYESNO,UTILITYACCOUNTHOLDER,GASPROVIDER,ELECTRICPROVIDER,WATERSEWERPROVIDER,headerenviromental,SOLARYESNO,SOLARPOWER,RECYCLINGYESNO,WHATISRECYCLED,ENVISSUESTATUS,ENVNOTES,SPRINKLERCOVERAGEPRECENT
"tx4se001",1,890,1000086,"","","2018-09-21 00:00:00","",11602,2011,17,"131-495-002-0009",116280,100,1615000,68279.12,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",0.73,"Front Load","","","","",0,0,69,16,18,0,3,"","2022-06-22 00:00:00",1483000,131108,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",2,890,1000087,"","","2018-09-21 00:00:00","",11606,2011,17,"131-495-002-0023",103536,100,1438000,60795.9,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",0.58,"Front Load","","","","",0,0,55,16,18,0,3,"","2022-06-22 00:00:00",1325000,116739,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",3,890,1000088,"","","2018-09-21 00:00:00","",11614,2011,21,"131-495-002-0008",135504,100,1882000,79567.38,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",0.99,"Front Load","","","","",0,0,78,16,18,0,3,"","2022-06-22 00:00:00",1787000,152784,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",4,890,1000090,"","","2018-09-21 00:00:00","",6812,2012,21,"131-495-001-0008",96768,100,1344000,56821.76,0,"Rectangle","Metal","","","","","None","","","","","",2012,"Metal","Other","","","","",0.67,"Front Load","","","","",0,0,69,16,18,0,3,"","2022-06-22 00:00:00",1683000,109108,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",5,890,1000091,"","","2018-09-21 00:00:00","",6814,2011,16,"131-495-001-0013",144144,100,2002000,84640.75,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",0.9,"Front Load","","","","",0,0,80,16,18,0,3,"","2022-06-22 00:00:00",2920000,162525,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",6,890,1000092,"","","2018-09-21 00:00:00","",6816,2011,17,"131-495-001-0014",130248,100,1809000,76481.07,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",0.67,"Front Load","","","","",0,0,90,16,18,0,3,"","2022-06-22 00:00:00",2449000,146857,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",7,890,1000093,"","","2018-09-21 00:00:00","",6818,2017,20,"131-495-001-0009",104040,100,1445000,61091.85,0,"Rectangle","Metal","","","","","None","","","","","",2017,"Metal","Other","","","","",0.67,"Front Load","","","","",0,0,90,16,18,0,2,"","2022-06-22 00:00:00",2388000,117307,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",8,890,1000094,"","","2018-09-21 00:00:00","",6820,2014,15,"131-495-001-0004",101952,100,1416000,59865.78,0,"Rectangle","Metal","","","","","None","","","","","",2014,"Metal","Other","","","","",0.58,"Front Load","","","","",0,0,100,16,18,0,3,"","2022-06-22 00:00:00",1848000,114953,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",9,890,1000095,"","","2018-09-21 00:00:00","",6824,2012,19,"131-495-001-0010",96768,100,1344000,56821.76,0,"Rectangle","Metal","","","","","None","","","","","",2012,"Metal","Other","","","","",0.57,"Front Load","","","","",0,0,90,16,18,0,3,"","2022-06-22 00:00:00",1595000,109108,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",10,890,1000096,"","","2018-09-21 00:00:00","",6826,2012,20,"131-495-001-0016",178776,100,2483000,104976.51,0,"Rectangle","Metal","","","","","None","","","","","",2014,"Metal","Other","","","","",1.34,"Front Load","","","","",0,0,90,16,18,0,2,"","2022-06-22 00:00:00",2920000,201574,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",11,890,1000097,"","","2018-09-21 00:00:00","",6830,2014,19,"131-495-001-0011",89712,100,1246000,52678.51,0,"Rectangle","Metal","","","","","None","","","","","",2014,"Metal","Other","","","","",0.57,"Front Load","","","","",0,0,90,16,18,0,3,"","2022-06-22 00:00:00",1534000,101152,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",12,890,1000099,"","","2018-09-21 00:00:00","",6834,2011,12,"131-495-001-0007",195408,100,2714000,114742.75,0,"Rectangle","Metal","","","","","None","","","","","",2011,"Metal","Other","","","","",1.18,"Front Load","","","","",0,0,93,16,18,0,2,"","2022-06-22 00:00:00",4428000,220326,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",13,890,1000100,"","","2018-09-21 00:00:00","",6836,2000,24,"131-495-001-0012",43560,100,605000,25578.25,0,"Rectangle","Metal","","","","","None","","","","","",2000,"Metal","Other","","","","",0.58,"Front Load","","","","",0,0,90,16,18,0,1,"","2022-06-22 00:00:00",872000,49115,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",14,890,1000101,"","","2018-09-21 00:00:00","",6838,2017,13,"131-495-001-0017",162000,100,2250000,95125.71,0,"Rectangle","Metal","","","","","None","","","","","",2017,"Metal","Other","","","","",0.6,"Front Load","","","","",0,0,88,16,18,0,3,"","2022-06-22 00:00:00",2563000,182658,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",15,890,"!00001","","","2018-09-21 00:00:00","",6810,2013,19,"131-495-001-0003",89424,100,1242000,52509.39,0,"Rectangle","Metal","","","","","None","","","","","",2013,"Metal","Other","","","","",0.59,"Front Load","","","","",0,0,55,16,18,0,2,"","2022-06-22 00:00:00",1657000,100827,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tx4se001",16,890,"!00002","","","2018-09-21 00:00:00","",6832,2012,18,"131-495-001-0006",177480,100,2465000,104215.5,0,"Rectangle","Metal","","","","","None","","","","","",2012,"Metal","","","","","",0.59,"Front Load","","","","",0,0,93,16,18,0,2,"","2022-06-22 00:00:00",4489000,200112,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txhou002",17,891,1000103,"","","2018-12-14 00:00:00","","",2006,17,"127-725-002-0002",704520,100,7600000,279505.39,0,"Other","Tilt-up/Concrete","","","","","Wet","","","","","","2006: 65,800sf 2014: 39,600sf","Metal","Other","","","","",5.04,"Front Load","","","","",0,0,118,26,26,6,4,"","2022-06-22 00:00:00",9677000,505049,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txlan003",18,892,1000104,"","","2018-12-08 00:00:00","","",2015,18,"130-718-001-0009",656769.5,100,7726700,303663.93,0,"Rectangle","Tilt-up/Concrete","","","","","None","","","","","",2014,"Metal","Other","","","","",4.93,"Rear Load","","","","",0,0,113,26,26,0,3,"","2022-06-22 00:00:00",9096000,474138,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txwin004",19,893,1000111,"","","2019-01-15 00:00:00","","",2000,9,"121-363-001-0001",195994.49,100,5030000,281725.58,0,"Rectangle","Metal","Tilt-up/Concrete","","","","Wet","","","","","",2000,"Metal","Other","","","","",5,"Front Load","","","","",0,0,180,18,18,1,2,"","2022-06-22 00:00:00",7624000,234522,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txmil005",20,894,1000106,"","","2019-09-06 00:00:00","",5101,2003,12,"122-639-001-0001",43435,56,1241000,40775.37,0,"Rectangle","Metal","","","","","None","","","","","",2003,"Metal","Other","","","","",1.63,"Front Load","","","","",0,0,115,22,22,0,2,"","2022-06-22 00:00:00",2149825.14,391280,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txmil005",21,894,1000107,"","","2019-09-06 00:00:00","",5111,2003,12,"122-639-001-0001",48641,56,1389750,45662.83,0,"Rectangle","Metal","","","","","None","","","","","",2003,"Metal","Other","","","","",1.63,"Front Load","","","","",0,0,115,22,22,0,2,"","2022-06-22 00:00:00",2407509.66,43818,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txmil005",22,894,1000108,"","","2019-09-06 00:00:00","",5151,2005,10,"122-639-001-0001",69556,56,1987300,65296.45,0,"Rectangle","Tilt-up/Concrete","","","","","None","","","","","",2005,"Metal","Other","","","","",1.65,"Front Load","","","","",0,0,115,22,22,0,1,"","2022-06-22 00:00:00",3442665.19,62658,,,,,,,,,,,,,,,,,,,,,,,,,,,
"txfuv100",23,895,"!00001","","","2017-09-29 00:00:00","","",0,100,"099-077-000-0004",0,0,22725000,2084883,0,"","Other","","","","","","","","","","","","","","","","","",3.58,"","","","","",0,0,0,0,0,0,0,"",,0,0,"","","",0,"","","No","","No","","No","No",,"Sewer","No","Faropoint","","","","","No",,"No","","No Issue","",0
"gasc1002",24,897,1000024,"","","2019-02-15 00:00:00","","",1974,12,"16-023-03-002",86506.18,100,918324,36752,0,"Rectangle","Masonry","","","","","Wet","","","","","",2014,"TPO","Other","","","","",1.42,"Other","","","","",0,0,0,20,20,4,1,"","2022-06-22 00:00:00",1647000,89443,"","","",0,"","","No","","No","","No","No",,"Sewer","No","","","","","","No",,"No","","No Issue","",0
"gasc2003",25,898,1000026,"","","2019-02-15 00:00:00","","",1978,4,"16-023-03-020",141300,100,1500000,0,0,"Rectangle","Masonry","","","","","Wet","","","","","",2003,"BUR","Other","","","","",1.88,"Other","","","","",0,0,0,20,20,4,1,"","2022-06-22 00:00:00",2034000,108758,"","","",0,"","","No","","No","","No","No",,"Sewer","No","","","","","","No",,"No","","No Issue","",0
"gasc3004",26,899,"!00001","","","2019-02-15 00:00:00","","",0,0,"16-023-03-016",0,0,200000,0,0,"","","","","","","","","","","","","","","","","","","",0,"","","","","",0,0,0,0,0,0,0,"","2021-08-13 00:00:00",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc4005",27,900,"!00001","","","2019-02-15 00:00:00","","",0,0,"16-023-03-004",0,0,500000,100000,0,"","","","","","","","","","","","","","","","","","","",0,"","","","","",0,0,0,0,0,0,0,"","2022-08-01 00:00:00",192098,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc5006",28,901,"!00001","","","2019-02-15 00:00:00","","",0,0,"16-023-03-008",0,0,300000,0,0,"","","","","","","","","","","","","","","","","","","",0,"","","","","",0,0,0,0,0,0,0,"","2022-08-01 00:00:00",115259,28200,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc6007",29,902,1000029,"","","2019-02-15 00:00:00","","",1980,12,"16-023-03-014",113040,100,1000000,0,0,"Rectangle","Masonry","","","","","Wet","","","","","",2003,"BUR","Other","","","","",3.8,"Other","","","","",0,0,0,22,22,1,11,"","2022-06-22 00:00:00",3487000,9400,"","","",0,"","","No","","No","","No","No",,"Sewer","No","","","","","","No",,"No","","No Issue","",0
"gaold008",30,903,1000020,"","","2019-03-20 00:00:00","","",1976,7,07100100005,108642,100,1140000,60871.14,0,"Rectangle","Metal","","","","","Wet","","","","","",1976,"Metal","Other","","","","",3.85,"Side Load","","","","",0,0,100,22,22,8,0,"","2022-06-22 00:00:00",1966000,124495,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasto009",31,904,1000032,"","","2019-03-20 00:00:00","","",1999,13,"12072b-a012",176305,100,1850000,90306.01,0,"Rectangle","Other","","","","","Wet","","","","","",1999,"Metal","Other","","","","",3,"Front Load","","","","",0,0,60,18,18,9,1,"","2022-06-22 00:00:00",3565000,189631,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gacn010 ",32,905,1000003,"","","2019-03-20 00:00:00","","",1989,47,"c12002033a",85188.08,100,893894,36433.07,0,"Rectangle","Other","","","","","Wet","","","","","",1989,"Metal","Other","","","","",1.45,"Rear Load","","","","",0,0,90,18,20,7,0,"","2022-06-22 00:00:00",1782000,113939,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gacn011 ",33,906,1000004,"","","2019-03-20 00:00:00","","",1985,23,"c120010013",81443.55,100,854602,34831.57,0,"Rectangle","Other","","","","","Wet","","","","","",1985,"Metal","Other","","","","",1.42,"Rear Load","","","","",0,0,120,18,18,5,1,"","2022-06-22 00:00:00",1356000,85575,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gacn012 ",34,907,1000005,"","","2019-03-20 00:00:00","","",1986,7,"c120010014",150717.37,100,1581504,64459.28,0,"Rectangle","Other","","","","","Wet","","","","","",1986,"Metal","Other","","","","",2.2,"Rear Load","","","","",0,0,90,16,20,10,0,"","2022-06-22 00:00:00",2519000,154394,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gahaz013",35,908,1000013,"","","2019-07-01 00:00:00","","",1978,0,"c001000010006000",192000,100,2000000,80509.83,0,"L Shape","Metal","","","","","Wet","","","","","",1978,"Metal","Other","","","","",3.1,"Front Load","","","","",0,0,150,22,22,6,1,"","2022-06-22 00:00:00",3778000,254401,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc1014",36,909,1000025,"","","2019-07-23 00:00:00","","",1985,7,"sc130037",315004.01,100,3705929,18303.95,0,"Rectangle","Metal","","","","","Wet","ESFR","","","","",1985,"Metal","Other","","","","",13.4,"Side Load","","","","",0,0,150,22,22,14,2,"","2023-03-21 00:00:00",5404455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc2015",37,910,1000027,"","","2019-07-23 00:00:00","","",1985,2,"sc160018",161758.81,100,1903045,9398.95,0,"Rectangle","Metal","","","","","Wet","","","","","",1985,"Metal","Other","","","","",4.08,"Front Load","","","","",0,0,100,22,26,4,3,"","2023-03-21 00:00:00",2789251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gasc3016",38,911,1000028,"","","2019-07-23 00:00:00","","",1999,5,"sc160018a00",187299.68,100,2203526,10882.78,0,"Rectangle","Metal","","","","","Wet","","","","","",1985,"Metal","Other","","","","",2.89,"Front Load","","","","",0,0,100,22,30,4,2,"","2023-03-21 00:00:00",3281293,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gatuc017",39,912,1000035,"","","2019-08-14 00:00:00","","",1981,4.1,"18-185-04-060",172050,100,2325000,111242.28,0,"Rectangle","Metal","Other","","","","Wet","","","","","",1981,"BUR","Other","","","","",3.4,"Side Load","","","","",0,0,80,18,18,8,1,"","2022-06-22 00:00:00",3720000,182558,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gacre100",40,913,"!00001","","","2018-09-17 00:00:00","","",0,100,"18-189-02-094, 18-189-02-100, 18-189-02-104",0,0,27393500,2612082,0,"","Other","","","","","","","","","","","","","","","","","",0,"","","","","",0,0,0,0,0,0,0,"",,0,0,"","","",0,"","","No","","No","","No","No",,"Sewer","No","Faropoint","","","","","No",,"No","","No Issue","",0
