hMy_Propert,Propery Code,hMyPerson_Vendor,Appraiser Vendor ID,Appraiser Name,Valuation Date,Valuation Type Code,Valuation Type,Property Valuation
1291,"nikedeal",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",67400000
1291,"nikedeal",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",60300000
1372,"xtndelp1",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",7096538
1372,"xtndelp1",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",7100000
1378,"xtxwebbl",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",2300000
1378,"xtxwebbl",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",2050000
1379,"xflstuar",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1580000
1379,"xflstuar",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",1810000
1383,"xohmost ",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",10700000
1383,"xohmost ",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",17000000
1383,"xohmost ",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",16200000
1383,"xohmost ",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",18000000
1387,"xnj3001i",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",11200000
1387,"xnj3001i",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",8012784
1387,"xnj3001i",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",10200000
1388,"xnj2036b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5300000
1388,"xnj2036b",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",4130148
1389,"xnj6000i",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",5917068
1389,"xnj6000i",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5500000
1390,"xtxball ",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",4100000
1390,"xtxball ",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3825000
1390,"xtxball ",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5000000
1391,"xgahire1",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3878218
1391,"xgahire1",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",4400000
1392,"xgahire2",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",3000000
1392,"xgahire2",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",2767581
1393,"xgahire3",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3840942
1393,"xgahire3",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",4100000
1394,"xgahire4",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",3500000
1394,"xgahire4",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3237298
1395,"xgahire5",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3678947
1395,"xgahire5",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",3900000
1396,"xgahire6",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",1700000
1396,"xgahire6",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1531472
1397,"xgahire7",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",2520543
1397,"xgahire7",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",2800000
1398,"xgahire8",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",2000000
1398,"xgahire8",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1844998
1584,"xnjmway3",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",5060552
1584,"xnjmway3",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5100000
1585,"xnjmway5",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5100000
1585,"xnjmway5",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3713106
