Property Code,Property Address,Property State,Market,Fund,Legal Entity,ACQ Status,Asset Manager,Lease Code,Tenant Name,Lease Status,Amendment Type,Amendment Status,Amendment Sequence,unit_scodes_concatenated,Contract Area,Rent,Term,Start Date,End Date,Sign Date,Description,Tenant Status,Tenant HMY,Amendment Tenant,Property HMY,Comm ICS,Comm ICS Code,Comm ICS Description
"3nc00003","9701 Brookford Street","NC","Southeast                                                                       ","FUND 3 (FRG XI)                                                                 ","FIVF-III-NC1,LLC                                                                ","Acquired                                                                        ","Joseph Kortick                                                                  ","t0001090","Core & Main LP	","Current","Original Lease","Activated",0,"A       , B       ",67200,0,60,"2023-09-07 00:00:00","2028-08-31 00:00:00","2018-03-08 00:00:00","Original Lease",0,38080,38080,5459,221,237110,"Water and Sewer Line and Related Structures Construction"
"njrun190","190 E Ninth Avenue","NJ","Northeast                                                                       ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","Ian Murphy                                                                      ","t0000290","Summit Drilling Company, Inc","Current","Original Lease","Activated",0,"A1      ",15680,0,87,"2016-01-01 00:00:00","2023-03-31 00:00:00",,"Original",0,809,809,1344,221,237110,"Water and Sewer Line and Related Structures Construction"
"gajon020","3075 Jonquil Drive","GA","Southeast                                                                       ","FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","Rebekah Snider                                                                  ","t0000222","Fightingtown Companies, LLC","Current","Original Lease","Activated",0,"C       ",11904,0,36,"2020-06-01 00:00:00","2023-05-31 00:00:00",,"",0,738,738,1093,228,237210,"Land Subdivision"
"3fl00010","12900 NW 38th Ave","FL","Florida                                                                         ","FUND 3 (FRG XI)                                                                 ","FIVF-III-FL2 LLC                                                                ","Acquired                                                                        ","Gabriel Kisber                                                                  ","t0001165","BES Associates, Corp.","Current","Original Lease","Activated",0,100     ,25050,0,50,"2023-12-19 00:00:00","2028-02-02 00:00:00","2023-02-03 00:00:00","Original Lease",0,45787,45787,6093,235,238,"Specialty Trade Contractors"
"3tx00019","2833 S Cravens Road","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX5 LP                                                                 ","Acquired                                                                        ","Alex Hugo                                                                       ","t0001349","VoidForm Products, LLC","Current","Original Lease","Activated",0,100     ,10800,0,18,"2024-10-01 00:00:00","2026-03-31 00:00:00","2021-03-31 00:00:00","Original Lease",0,57759,57759,6668,252,238190,"Other Foundation, Structure, and Building Exterior Contractors"
"3tx00018","6151 Cowley Road","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX5 LP                                                                 ","Acquired                                                                        ","Alex Hugo                                                                       ","t0001347","VoidForm Products, LLC","Current","Original Lease","Activated",0,100     ,43312,0,18,"2024-10-01 00:00:00","2026-03-31 00:00:00","2021-03-31 00:00:00","Original Lease",0,57757,57757,6667,252,238190,"Other Foundation, Structure, and Building Exterior Contractors"
"3tx00017","2901 S. Cravens Rd.","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX5 LP                                                                 ","Acquired                                                                        ","Alex Hugo                                                                       ","t0001348","VoidForm Products, LLC","Current","Original Lease","Activated",0,100     ,13800,0,18,"2024-10-01 00:00:00","2026-03-31 00:00:00","2021-03-31 00:00:00","Original Lease",0,57758,57758,6666,252,238190,"Other Foundation, Structure, and Building Exterior Contractors"
"xga4600f","4600 & 4630 Frederick Drive ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000681","American HVAC Inc","Current","Unknown","Superseded",-1,"4600-F  ",10026,0,39,"2025-04-01 00:00:00","2028-06-30 00:00:00",,"Renew_Proposal_2",0,6536,6536,2990,257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"txmai006","11533 S. Main St","TX","Texas                                                                           ","FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000126","Miner, Ltd.","Current","Renewal","Activated",1,11533   ,24392,0,37,"2021-04-01 00:00:00","2024-04-30 00:00:00","2021-03-04 00:00:00","Second Amendment",0,636,636,1125,217,236220,"Commercial and Institutional Building Construction"
"txmai006","11533 S. Main St","TX","Texas                                                                           ","FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000126","Miner, Ltd.","Current","Original Lease","Superseded",0,11533   ,24392,0,24,"2019-04-01 00:00:00","2021-03-31 00:00:00",,"First Amendment",0,636,636,1125,217,236220,"Commercial and Institutional Building Construction"
"3tn00001","3338 Democrat Road","TN","Mid-West                                                                        ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TN1 LLC                                                                ","Acquired                                                                        ","Karlie Calhoun                                                                  ","t0000871","Leflore Construction LLC","Past","Original Lease","Superseded",0,7       ,12000,0,24,"2022-05-01 00:00:00","2024-04-30 00:00:00","2022-04-12 00:00:00","Original Lease",1,17484,17484,3643,217,236220,"Commercial and Institutional Building Construction"
"3tn00001","3338 Democrat Road","TN","Mid-West                                                                        ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TN1 LLC                                                                ","Acquired                                                                        ","Karlie Calhoun                                                                  ","t0000871","Leflore Construction LLC","Past","Termination","Activated",1,7       ,12000,0,0,"2024-04-30 00:00:00","2024-04-30 00:00:00",,"Lease End",1,17484,17484,3643,217,236220,"Commercial and Institutional Building Construction"
"3tx00015","1800-20 N Glenville Drive","TX","Texas                                                                           ","FUND 3 (FRG XI)                                                                 ","FIVF-III-TX2 LLC                                                                ","Acquired                                                                        ","Steve DeFoe                                                                     ","t0001211","Best Buy Windows & Siding, LLC","Current","Original Lease","Activated",0,"100A    , 102     , 136     , 136W    ",14989,0,37,"2024-04-04 00:00:00","2027-04-30 00:00:00","2022-08-06 00:00:00","First Amendment",0,51909,51909,6163,246,238150,"Glass and Glazing Contractors"
"xgahire7","2980 Pine St ","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000442","Construction Resources Company LLC","Current","Original Lease","Activated",0,2980    ,27322,0,60,"2020-11-01 00:00:00","2025-10-31 00:00:00",,"First Addendum",0,1344,1344,1397,246,238150,"Glass and Glazing Contractors"
"xgahire2","201 Laredo Dr Decatur, GA","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000437","Construction Resources Company LLC","Current","Unknown","Activated",1,201     ,30000,0,58,"2021-01-01 00:00:00","2025-10-31 00:00:00",,"Remeasure",0,1339,1339,1392,246,238150,"Glass and Glazing Contractors"
"xgahire2","201 Laredo Dr Decatur, GA","GA","Southeast                                                                       ","FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","Rebekah Snider                                                                  ","t0000437","Construction Resources Company LLC","Current","Original Lease","Superseded",0,201     ,30000,0,60,"2020-11-01 00:00:00","2025-10-31 00:00:00",,"First Addendum",0,1339,1339,1392,246,238150,"Glass and Glazing Contractors"
"tx4se001","6810-6838 Bourgeois Rd.","TX","Texas                                                                           ","FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000215","Seahorse Technologies, Inc","Current","Original Lease","Activated",0,6816    ,13551,0,60,"2019-01-01 00:00:00","2023-12-31 00:00:00",,"Originial",0,731,731,890,176,213112,"Support Activities for Oil and Gas Operations"
"txwin004","11300 Windfern Rd","TX","Texas                                                                           ","FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","Steve DeFoe                                                                     ","t0000133","Gryphon Oilfield Solutions, LLC","Current","Original Lease","Activated",0,11300   ,59600,0,12,"2021-01-01 00:00:00","2021-12-31 00:00:00",,"",0,643,643,893,176,213112,"Support Activities for Oil and Gas Operations"
"tnwl4003","4002 Willow Lake Blvd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000477","Only One Service LLC","Current","Original Lease","Activated",0,400     ,19446,0,36,"2021-07-01 00:00:00","2024-06-30 00:00:00",,"",0,2261,2261,922,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"gadel034"," 1935 Delk Industrial Boulevard ","GA","Southeast                                                                       ","FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","Rebekah Snider                                                                  ","t0000456","Jamison Construction LLC","Current","Original Lease","Activated",0,"A       ",5975,0,63,"2021-06-01 00:00:00","2026-08-31 00:00:00",,"",0,1397,1397,1375,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"xil240ja","240-252 James Street","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL2 LP                                                                    ","Sold                                                                            ","Alec Chialdikas                                                                 ","t0000813","Masterbuild Construction, Inc.","Current","Original Lease","Activated",0,250     ,3500,0,97,"2016-02-01 00:00:00","2024-02-29 00:00:00","2016-01-26 00:00:00","Fourth Amendment",0,13457,13457,3546,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"xil201ja","201 James Street","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL2 LP                                                                    ","Acquired                                                                        ","Madison Austin                                                                  ","t0000792","Aloha Builders, LLC","Past","Termination","Activated",1,1050    ,2934,0,0,"2024-01-31 00:00:00","2024-01-31 00:00:00",,"Termination Agreement",1,12763,12763,3547,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
"xil201ja","201 James Street","IL","Mid-West                                                                        ","FRG X                                                                           ","FRG-X-IL2 LP                                                                    ","Acquired                                                                        ","Madison Austin                                                                  ","t0000792","Aloha Builders, LLC","Past","Original Lease","Superseded",0,1050    ,2934,0,38,"2021-09-01 00:00:00","2024-10-31 00:00:00","2021-08-31 00:00:00","Original Lease",1,12763,12763,3547,209,236115,"New Single-Family Housing Construction (except For-Sale Builders)"
