Property HMY,Property Code,Property Address,Property State,Market,Fund,Legal Entity,ACQ Status,Asset Manager,Lease Code,Tenant Name,Lease Status,Amendment Type,Amendment Status,Amendment Sequence,unit_scodes_concatenated,Contract Area,Term,Start Date,End Date,Sign Date,Description,Tenant Status,Tenant HMY
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000008","American Conference of Governmental Industrial Hygienists","Past","Original Lease","Superseded",0,"3-600   ",13693,24,"2020-01-01 00:00:00","2021-12-31 00:00:00",,"SEVENETH AMENDMENT",1,352
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000008","American Conference of Governmental Industrial Hygienists","Past","Termination","Activated",1,"3-600   ",13693,0,"2020-12-31 00:00:00","2020-12-31 00:00:00",,"Termination",1,352
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000012","Prime Prospects","Past","Original Lease","Superseded",0,"3-500   ",6999,0,"2020-05-01 00:00:00",,,"ORIGINAL",1,356
992,"ohkem002","1310-1330 Kemper Meadow Drive","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000012","Prime Prospects","Past","Termination","Activated",1,"3-500   ",6999,0,"2020-10-31 00:00:00","2020-10-31 00:00:00",,"TERMINATION",1,356
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000029","Orkin Inc","Past","Original Lease","Superseded",0,7046    ,3008,60,"2018-09-01 00:00:00","2023-08-31 00:00:00",,"THIRD AMENDMENT",1,373
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000029","Orkin Inc","Past","Termination","Activated",1,7046    ,3008,0,"2022-11-01 00:00:00","2022-11-01 00:00:00",,,1,373
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000030","Platinum Restoration Inc","Past","Termination","Activated",1,7058    ,2352,0,"2022-03-31 00:00:00","2022-03-31 00:00:00",,,1,374
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000030","Platinum Restoration Inc","Past","Original Lease","Superseded",0,7058    ,2352,60,"2017-04-01 00:00:00","2022-03-31 00:00:00",,"FIRST AMENDMENT",1,374
921,"tnwl1002","5300 E Raines Rd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000046","Glass Inc.","Past","Original Lease","Superseded",0,100     ,26025,36,"2020-08-01 00:00:00","2023-07-31 00:00:00",,"",1,435
921,"tnwl1002","5300 E Raines Rd","TN","Mid-South                                                                       ","FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","Alex Hugo                                                                       ","t0000046","Glass Inc.","Past","Termination","Activated",1,100     ,26025,0,"2022-06-22 00:00:00","2022-06-22 00:00:00",,,1,435
993,"ohfai003","7042-7068 Fairfield Business Center Dr","OH","Mid-West                                                                        ","FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","Bryan Lincoln                                                                   ","t0000026","CFC Solar Inc","Past","Original Lease","Superseded",0,7042    ,5745,60,"2016-02-01 00:00:00","2021-01-31 00:00:00",,"FOURTH AMENDMENT",1,370
