SCODE,HMY,HCODE,SCODE1,SNAME,HUnitSelect,HDealInfo,HAsOfE1Date,HAsOfE2Date,HAsofActMonth,TAcquisition,TRenewalProb,TDowntime,TAbatementNew,TAbatementRenew,TE1Start,TE1Term,TE1AnnualEsc,TE1BaseRentNew,TE1BaseRentRenew,TE1LCNew,TE1LCRenew,TE1TINew,TE1TIRenew,TE1TenantOpt,TE2Start,TE2Term,TE2AnnualEsc,TE2BaseRentNew,TE2BaseRentRenew,TE2LCNew,TE2LCRenew,TE2TINew,TE2TIRenew,TE2TenantOpt,TActAnalysisStartDate,TActMarketBaseNew,TActMarketBaseRenew,TEffectGrowth1,TEffectGrowth2,TEffectGrowth3,TEffectGrowth4,TEffectGrowth5,TEffectGrowth6,TSpaceUnit
"nikedeal",540,1291,"!00001","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100
"xtndelp1",499,1372,"!00001","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4290
"xtndelp1",500,1372,"!00002","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4310
"xtndelp1",501,1372,"!00003","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4318
"xtndelp1",502,1372,"!00004","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4319
"xtndelp1",503,1372,"!00005","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,"4319B"
"xtndelp1",504,1372,"!00006","","","","","","",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4354
"xtxwebbl",255,1378,"!00000000001","","","","","","",25355,75,9,0,1,"12/01/2023 00:00:00",60,3,6.48,6.48,6,4,3,1,0,"12/01/2028 00:00:00",60,3,7.52,7.52,6,4,3,1,0,"04/15/2021 00:00:00",6,6,3,0,0,0,0,0,7903
"xflstuar",239,1379,"!00000000001","","","","","","",24000,75,9,0,0,"09/01/2023 00:00:00",24,2,4.72,4.72,6,0,0,0,4.78,"09/01/2025 00:00:00",60,2,4.91,4.91,6,4,3,1,0,"04/15/2021 00:00:00",4.5,4.5,2,0,0,0,0,0,6959
"xohmost ",38,1383,"!00000000001","","","","","","",90244,75,9,0,0,"04/01/2025 00:00:00",12,4,3.65,3.65,6,3,3,1,3.53,"04/01/2026 00:00:00",60,4,3.76,3.76,6,3,1,0,0,"04/20/2021 00:00:00",3.25,3.25,3,0,0,0,0,0,"A"
