Amendment hMy,Property hMy,Property Code,Tenant hMy,Tenant ID,Amendment Status code,Amendment Status,Amendment Type code,Amendment Type,Amendment Sequence,Unit/s under amendment,HMY Unit/s under amendment,Amendment SF,Amendment Term,Amendment Start Date,Amendment End Date,Amendment Sign Date,Amendment Description,Amendment Notes,Holdover %
2,919,"ohhon001",302,"t0000002",2,"Superseded",0,"Original Lease",0,"7100-GL //7100-MEZ","6//7",213863,62,"2020-06-29 00:00:00","2025-07-31 00:00:00",,"ORIGINAL","",125
4,1063,"oh575006",341,"t0000004",2,"Superseded",0,"Original Lease",0,"575-WH  //575-OFF ","9//10",69866,60,"2019-06-01 00:00:00","2024-05-31 00:00:00",,"FIRST AMENDMENT","",150
5,1101,"ohcom008",342,"t0000005",2,"Superseded",0,"Original Lease",0,"10052-GL//10052-MZ","11//12",56210,60,"2019-10-04 00:00:00","2024-10-03 00:00:00",,"FIRST AMENDMENT","",200
6,992,"ohkem002",352,"t0000008",2,"Superseded",0,"Original Lease",0,"3-600   ",20,13693,24,"2020-01-01 00:00:00","2021-12-31 00:00:00",,"SEVENETH AMENDMENT","",200
7,992,"ohkem002",353,"t0000009",2,"Superseded",0,"Original Lease",0,"2-600   ",17,3818,126,"2019-03-01 00:00:00","2029-08-31 00:00:00",,"ORIGINAL","",200
8,992,"ohkem002",354,"t0000010",2,"Superseded",0,"Original Lease",0,"2-200   ",14,3060,36,"2019-02-01 00:00:00","2022-01-31 00:00:00",,"SECOND AMENDMENT","",150
9,992,"ohkem002",355,"t0000011",2,"Superseded",0,"Original Lease",0,"2-510   ",16,10300,60,"2017-10-01 00:00:00","2022-09-30 00:00:00",,"ORGINAL","",150
10,992,"ohkem002",356,"t0000012",2,"Superseded",0,"Original Lease",0,"3-500   ",19,6999,0,"2020-05-01 00:00:00",,,"ORIGINAL","",200
12,992,"ohkem002",358,"t0000014",2,"Superseded",0,"Original Lease",0,"1-500   ",13,18127,60,"2018-01-01 00:00:00","2022-12-31 00:00:00",,"FIFTH AMENDMENT","",150
13,992,"ohkem002",359,"t0000015",2,"Superseded",0,"Original Lease",0,"3-110   ",18,22930,65,"2016-11-01 00:00:00","2022-03-31 00:00:00",,"THIRD AMENDMENT","",150
