Property Code,Property Address,City,Property State,ZIP,Is Land?,Fund,Legal Entity,ACQ Status,Acq. Date,Dispo. Date
"nikedeal","165 Wingo Road i","Byhalia","MS",38611,,"FP Swoosh LP                                                                    ","FP Swoosh LP                                                                    ","Acquired                                                                        ","2020-10-19 00:00:00",
"tnfre100","450 U.S. Highway 72W- Collierville","Memphis","TN","",,"FRG 1                                                                           ",,"Sold                                                                            ","2013-12-20 00:00:00","10/05/2021 00:00:00"
"tnvan101","1160 Vann drive","Jackson","TN","",,"FRG 2                                                                           ",,"Sold                                                                            ","2015-04-02 00:00:00","01/31/2022 00:00:00"
"tncha104","3725 Champion Hills","Memphis","TN",38125,,"FRG 3                                                                           ",,"Sold                                                                            ","2015-10-07 00:00:00","12/21/2023 00:00:00"
"tnorl102","1779-1789 Kirby","Memphis","TN",38138,,"FRG 4                                                                           ",,"Sold                                                                            ","2015-12-29 00:00:00","10/03/2022 00:00:00"
"txfuv100","2401 Fountain View Drive","Houston","TX",77057,,"FRG 5                                                                           ",,"Acquired                                                                        ","2017-09-29 00:00:00",
"gacre100","100 Crescent Center Pkwy","Tucker","GA",30084,,"FRG 6                                                                           ",,"Acquired                                                                        ","2018-09-17 00:00:00",
"gaga1104","852 Dailey Mill Rd.","Mcdonough","GA","",,"FRG 6                                                                           ",,"Sold                                                                            ","2018-10-01 00:00:00","09/22/2022 00:00:00"
"tnpop107","6263 Poplar","Memphis","TN","",,"FRG 6                                                                           ",,"Sold                                                                            ","2017-11-03 00:00:00","06/24/2024 00:00:00"
"tnuni106","2670 Union Ave. Extended","Memphis","TN",38112,,"FRG 6                                                                           ",,"Sold                                                                            ","2017-11-03 00:00:00","12/28/2023 00:00:00"
"gajoh105","1501 Johnson Ferry Road","Marietta","GA","",,"FRG 7                                                                           ",,"Sold                                                                            ","2018-02-28 00:00:00","01/26/2021 00:00:00"
"gaspa102","4015 Holcomb Bridge","Norcross","GA","",,"FRG 8                                                                           ",,"Sold                                                                            ","2017-09-29 00:00:00",
