Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,Fund,Market,hMy,hCode,sCode,sName,DATE_HEADING,DATE_CREDITCHECK,CREDIT_SCORE,CREDIT_RATING,CREDIT_ATTACHMENT,CREDIT_NOTES,COMPANY_INFO,COMPANY_NAME,COMPANY_LOCATION,COMPANY_WEBSITE,COMPANY_YEARFOUNDED,COMPANY_DESCRIPTION,COMPANY_OWNERSHIP,COMPANY_INDUSTRY,COMPANY_GROUP,HEADERFINANACIALS,COMPANY_REVENUES,GROSS_PROFIT,COMPANY_EBIT,COMPANY_EBITDA,COMPANY_TOTAL_ASSETS,COMPANY_TOTAL_DEBT,ORIGINAL_CUSTOMER,ORIGINAL_SCODE,SLB Flag,Lease Status
t0000347,c0000711    ,"TireHub, LLC","TireHub, LLC",tnb03013,237-265 East Belz (3),TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000068,c0000097    ,"Americraft Carton, Inc.","Americraft Carton, Inc.",tnb03013,237-265 East Belz (3),TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000637,c0000239    ,Doxicom Global of TN LLC,Doxicom Global of TN LLC,tnb03013,237-265 East Belz (3),TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000069,c0000443    ,"Luttrell Belting and Supply, Inc.","Luttrell Belting and Supply, Inc.",tnb09014,307-317 East Belz (9),TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000085,c0000088    ,"Amazon.com Services, Inc.","Amazon.com Services, Inc.",tnamz015,3347 Pearson Road,TN,FRG IX                                                                          ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000118,c0000348    ,"Hob-Lob, Limited Partnership","Hob-Lob, Limited Partnership",tnvan101,1160 Vann drive,TN,FRG 2                                                                           ,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000119,c0000294    ,Frank Arcuri,Frank Arcuri,tnvan101,1160 Vann drive,TN,FRG 2                                                                           ,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000147,c0000451    ,"Mard Cleaners, Inc.","Mard Cleaners, Inc.",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000148,c0000156    ,Brooklyn Bridge Restaurant,Brooklyn Bridge/Vincent Correale and George Correale,tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000149,c0000253    ,"Edward D Jones & Co., LP","Edward D Jones & Co., LP",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000151,c0000484    ,Milk Dessert Bar LLC,Milk Dessert Bar LLC,tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000152,c0000076    ,Alan Katzen and Joel Banes,Alan Katzen and Joel Banes,tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000153,c0000126    ,Ballet Memphis,Ballet Memphis,tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000154,c0000472    ,Michael and Mark Amagliani,Michael and Mark Amagliani,tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000190,c0000658    ,"SSG, Inc.","SSG, Inc.",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000191,c0000741    ,"Vaughn Marter, Inc.","Vaughn Marter, Inc.",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000193,c0000624    ,"Sharstriji, LLC","Sharstriji, LLC",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000194,c0000655    ,"Speedy Sales & Services, LLC","Speedy Sales & Services, LLC",tnorl102,1779-1789 Kirby,TN,FRG 4                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000112,c0000280    ,Fatima Enterprises dba Hair Club of Men LLC,Fatima Enterprises dba Hair Club of Men LLC,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000114,c0000349    ,Hodum Law Office PLLC,Hodum Law Office PLLC,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000115,c0000432    ,"Littler Mendelson, P.C.","Littler Mendelson, P.C.",tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000120,c0000729    ,"Tyler Technologies, Inc.","Tyler Technologies, Inc.",tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000121,c0000567    ,Private Wealth Managment Inc.,Private Wealth Managment Inc.,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000123,c0000668    ,Streamline Enterprises LLC,Streamline Enterprises LLC,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000128,c0000681    ,Sysco Guest Supply LLC,Sysco Guest Supply LLC,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000129,c0000307    ,GardaWorld fka Whelan Security Co.,GardaWorld fka Whelan Security Co.,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000139,c0000470    ,Methodist Healthcare-Memphis Hospitals,Methodist Healthcare-Memphis Hospitals,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past
t0000099,c0000007    ,4D Marketing and Business Solutions Firm Corp.,4D Marketing and Business Solutions Firm Corp.,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000106,c0000125    ,Baldwin and Shell Construction Company,Baldwin and Shell Construction Company,tncha104,3725 Champion Hills,TN,FRG 3                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000257,c0000625    ,Shay Matyja and Courtney Matyja,Shay Matyja and Courtney Matyja,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000258,c0000610    ,Schoolseed Foundation successor in interest to Memphis City Schools Foundation,Schoolseed Foundation successor in interest to Memphis City Schools Foundation,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000259,c0000475    ,Michael Warren,Michael Warren,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000260,c0000508    ,"NCS Pearson, Inc.","NCS Pearson, Inc.",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000263,c0000564    ,Primary Care Link LLC,Primary Care Link LLC,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000197,c0000154    ,"Lynn & Associates, P.L.L.C (Brian Lynn)",Brian Lynn,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000206,c0000384    ,"Jim Robbins & Associates, Inc.","Jim Robbins & Associates, Inc.",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000207,c0000398    ,"Karamu Nutrition Program, Inc.","Karamu Nutrition Program, Inc.",tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
t0000294,c0000157    ,Law Office of Bruce A. Ralston,Bruce Ralston,tnuni106,2670 Union Ave. Extended,TN,FRG 6                                                                           ,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current
