book id,book,database id
0,Cash,1
1,Accrual,1
2,Accrual-Cons,1
3,Accrual-Elim,1
4,Equity Method,1
5,Equity Method-Cons,1
6,Budget,1
7,Budget-cons,1
8,Cash (TAX),1
9,Cash (TAX)-Cons,1
10,Market Value,1
11,Market Value-cons,1
12,Accrual CONS- IFRS,1
13,Accrual CONS- IFRS- elim,1
14,IFRS Adjustments,1
15,IFRS Adjustments- Limited parners,1
16,Tax ADJ,1
17,Internal Debt,1
18,Budget-Accrual-Annual,1
19,Budget-Accrual-Q1,1
20,Budget-Accrual-Q2,1
21,Budget-Accrual-Q3,1
22,Budget-Accrual-Q4,1
23,Budget-Accrual-5y-21-25,1
24,BA-6Y-Q3-22-27,1
25,BA-6Y-Q4.-23-28,1
26,Business Plan Budget-6y,1
27,US-GAAP,1
28,BA-6Y-Q1.-23-28,1
29,BA-6Y-Q2-23-28,1
30,BA-6Y-Q3-23-28,1
31,BA-6Y-Q4-23-28,1
32,Accrual Rollup,1
33,Accrual CONS- US GAAP,1
34,BA-6Y-Q2.-23-28,1
35,Business Plan Leasing Assumptions,1
36,Business Plan Budget-11y,1
37,BA-11Y-Q1-24-34,1
38,Topside Property,1
39,Topside Elim,1
40,Topside Cons,1
41,IFRS Adjustments- LP Cons,1
42,IFRS Adjustments Cons,1
43,BA-11Y-Q3-24-34,1
44,Budget-Accrual-Annual-Vacancy,1
45,BA-11Y-Q1-25-35,1
46,FPR,1
