record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
9710,9309,302,t0000002,919,ohhon001,6,7100-GL,44011,44734,,,,,115813,44011,44734,,213863,0,0,,,,,,,,0,AAAAAAGrRRg=,,
9711,9309,302,t0000002,919,ohhon001,7,7100-MEZ,44011,44734,,,,,115813,44011,44734,,0,0,0,,,,,,,,0,AAAAAAGrRRk=,,
50,2,302,t0000002,919,ohhon001,6,7100-GL,44011,44010,,,,,9309,44011,44010,,213863,0,0,,,,,,,,0,AAAAAAB3JCA=,,
51,2,302,t0000002,919,ohhon001,7,7100-MEZ,44011,44010,,,,,9309,44011,44010,,,0,0,,,,,,,,0,AAAAAAB3JCE=,,
76,4,341,t0000004,1063,oh575006,10,575-OFF,43617,44734,,,,,115810,43617,44734,,0,0,0,,,,,,,,0,AAAAAAGrRFw=,,
77,4,341,t0000004,1063,oh575006,9,575-WH,43617,44734,,,,,115810,43617,44734,,69866,0,0,,,,,,,,0,AAAAAAGrRF0=,,
80,5,342,t0000005,1101,ohcom008,11,10052-GL,43742,44734,,,,,115811,43742,44734,,56210,0,0,,,,,,,,0,AAAAAAGrRKw=,,
81,5,342,t0000005,1101,ohcom008,12,10052-MZ,43742,44734,,,,,115811,43742,44734,,0,0,0,,,,,,,,0,AAAAAAGrRK0=,,
34,6,352,t0000008,992,ohkem002,20,3-600,43831,44196,,,,,365,43831,44196,,13693,0,0,,,,,,,,0,AAAAAAART64=,,
35,7,353,t0000009,992,ohkem002,17,2-600,43525,44165,,,,,351,43525,44165,,3818,0,0,,,,,,,,0,AAAAAAAJjfg=,,
626,351,353,t0000009,992,ohkem002,14,2-200,44166,44562,,,,,6369,43525,44562,,3060,0,0,,,,,,,,0,AAAAAAAhAKg=,,
627,351,353,t0000009,992,ohkem002,17,2-600,44166,44562,,,,,6369,43525,44562,,3818,0,0,,,,,,,,0,AAAAAAAhAKk=,,
36,8,354,t0000010,992,ohkem002,14,2-200,43497,44165,,,,,352,43497,44165,,3060,0,0,,,,,,,,0,AAAAAAAJjL0=,,
37,9,355,t0000011,992,ohkem002,16,2-510,43009,44734,,,,,115825,43009,44734,,10300,0,0,,,,,,,,0,AAAAAAGrRYc=,,
6530,6105,355,t0000011,992,ohkem002,16,2-510,44835,44734,,,,,115825,44835,44734,,10300,0,0,,,,,,,,0,AAAAAAGrRYg=,,
38,10,356,t0000012,992,ohkem002,19,3-500,43952,44135,,,,,96,43952,44135,,6999,0,0,,,,,,,,0,AAAAAAAFZuM=,,
39,12,358,t0000014,992,ohkem002,13,1-500,43101,44734,,,,,115661,43101,44734,,18127,0,0,,,,,,,,0,AAAAAAGrRbs=,,
41,13,359,t0000015,992,ohkem002,18,3-110,42675,44651,,,,,6104,42675,44651,,22930,0,0,,,,,,,,0,AAAAAAA0b/4=,,
6529,6104,359,t0000015,992,ohkem002,18,3-110,44652,44734,,,,,115819,44652,44734,,22930,0,0,,,,,,,,0,AAAAAAGrRfQ=,,
54,15,361,t0000017,993,ohfai003,29,7066,43739,44251,,,,,373,43739,44251,,5069,0,0,,,,,,,,0,AAAAAAAN5fw=,,
23,17,363,t0000019,994,ohwar004,35,F,42552,42551,,,,,44,42552,42551,,8075,0,0,,,,,,,,0,AAAAAAAEFiE=,,
62,44,363,t0000019,994,ohwar004,35,F,42552,44377,,,,,4073,42552,44377,,7560,0,0,,,,,,,,0,AAAAAAAVgYo=,,
63,18,364,t0000020,994,ohwar004,37,J,43586,44681,,,,,6642,43586,44681,,5000,0,0,,,,,,,,0,AAAAAAAhwIQ=,,
7052,6642,364,t0000020,994,ohwar004,37,J,44682,44734,,,,,115824,44682,44734,,4858,0,0,,,,,,,,0,AAAAAAGrR0E=,,
55,20,365,t0000021,993,ohfai003,28,7060,44013,44866,,,,,115948,44013,44866,,4811,0,0,,,,,,,,0,AAAAAAGrbDM=,,
65,19,366,t0000022,994,ohwar004,32,B,43465,44734,,,,,115662,43465,44734,,3560,0,0,,,,,,,,0,AAAAAAGrR3k=,,
66,21,367,t0000023,994,ohwar004,31,A,43040,44734,,,,,115660,43040,44734,,7268,0,0,,,,,,,,0,AAAAAAGrR4w=,,
56,22,368,t0000024,993,ohfai003,30,7068,43647,44773,,,,,115949,43647,44773,,4196,0,0,,,,,,,,0,AAAAAAGrbD0=,,
67,32,369,t0000025,994,ohwar004,34,D,43008,44734,,,,,115663,43008,44734,,8000,0,0,,,,,,,,0,AAAAAAGrR8U=,,
57,24,370,t0000026,993,ohfai003,21,7042,42401,44227,,,,,368,42401,44227,,5745,0,0,,,,,,,,0,AAAAAAAN5gQ=,,
645,368,370,t0000026,993,ohfai003,21,7042,44228,44592,,,,,115953,44228,44592,,6152,0,0,,,,,,,,0,AAAAAAGrbEg=,,
