property id,property code,is active,postal address,postal city,postal state,postal zip code,postal country,property name,acquire date,dispose date,inactive date,is commercial,is international,property last closed period,database id
7715,3ca00001,TRUE,,Torrance,CA,90503,US,605-655 Hawaii Avenue,,,,TRUE,FALSE,6/1/25,1
7756,3ca00002,TRUE,,Ontario,CA,91761,US,2580 E. Philadelphia Street,,,,TRUE,FALSE,6/1/25,1
7760,3ca00003,TRUE,,Ontario,CA,91761,US,2260 S. Archibald Street,,,,TRUE,FALSE,6/1/25,1
7762,3ca00004,TRUE,,Ontario,CA,91761,US,1920 South Rochester Avenue,,,,TRUE,FALSE,6/1/25,1
7764,3ca00005,TRUE,,Ontario,CA,91761,US,1930 S. Rochester Avenue,,,,TRUE,FALSE,6/1/25,1
3572,3fl00001,TRUE,,Opa-Locka,FL,33054,US,14735 NW 25th Court,,,,TRUE,FALSE,6/1/25,1
3628,3fl00002,TRUE,,West Palm Beach,FL,33404,US,7970 Central Industrial Blvd,,,,TRUE,FALSE,6/1/25,1
3651,3fl00003,TRUE,,Miami,FL,33142,US,3330 NW 60th St,,,,TRUE,FALSE,6/1/25,1
3797,3fl00004,TRUE,,Opa-Locka,FL,33054,US,13281 NW 43rd Ave,,,,TRUE,FALSE,6/1/25,1
4435,3fl00005,TRUE,,Miami,FL,33168,US,920 NW 159 Drive,,,,TRUE,FALSE,6/1/25,1
4800,3fl00006,TRUE,,West Palm Beach,FL,33407,US,4390 Westroads Drive,,,,TRUE,FALSE,6/1/25,1
5084,3fl00007,TRUE,,Opa-Locka,FL,33054,US,4570 NW 128th Street,,,,TRUE,FALSE,6/1/25,1
6091,3fl00008,TRUE,,Opa-locka,FL,33054,US,13000 NW 38th Ave,,,,TRUE,FALSE,6/1/25,1
6092,3fl00009,TRUE,,Opa Locka,FL,33054,US,13001 NW 38th Ave,,,,TRUE,FALSE,6/1/25,1
6093,3fl00010,TRUE,,Opa Locka,FL,33054,US,12900 NW 38th Ave,,,,TRUE,FALSE,6/1/25,1
6094,3fl00011,TRUE,,Orlando,FL,32808,US,2479 Eunice Ave,,,,TRUE,FALSE,6/1/25,1
6581,3fl00012,TRUE,,Jacksonville,FL,32226,US,2550 Cabot Commerce Dr,,,,TRUE,FALSE,6/1/25,1
6586,3fl00013,TRUE,,Jacksonville,FL,32226,US,11070 Cabot Commerce Circle,,,,TRUE,FALSE,6/1/25,1
6588,3fl00014,TRUE,,Jacksonville,FL,32226,US,11084 Cabot Commerce Circle,,,,TRUE,FALSE,6/1/25,1
6592,3fl00015,TRUE,,Jacksonville,FL,32226,US,2562 Cabot Commerce Circle,,,,TRUE,FALSE,6/1/25,1
6597,3fl00016,TRUE,,Jacksonville,FL,32226,US,Land Parcel/Storage Unit- Big Rig,,,,TRUE,FALSE,6/1/25,1
6645,3fl00017,TRUE,,Jacksonville,FL,32218,US,"Park 295 - Hazel Street, Jacksonville FL",,,,TRUE,FALSE,6/1/25,1
6993,3fl00019,TRUE,,Miami,FL,33186,US,12750-12770 SW 125th Avenue,,,,TRUE,FALSE,6/1/25,1
7739,3fl00020,TRUE,,Pompano Beach,FL,33069,US,1410 SW 29th Avenue,,,,TRUE,FALSE,6/1/25,1
7805,3fl00021,TRUE,,Clearwater,FL,33760,US,"14550 58th Street N, Clearwater, FL",,,,TRUE,FALSE,6/1/25,1
7826,3fl00022,TRUE,,Pompano Beach,FL,33069,US,2025 NW 15th Ave.,,,,TRUE,FALSE,6/1/25,1
7835,3fl00023,TRUE,,Boca Raton,FL,33487,US,6400 Park of Commerce Boulevard,,,,TRUE,FALSE,6/1/25,1
