unit id,property id,unit name,unit type,excluded unit,floor id,floor code,floor level int,level,elevator,building id,building code,building name,database id
2,1235,100,,1,,,0,,,,,,1
3,1235,222,,1,,,0,,,,,,1
4,1235,333,,1,,,0,,,,,,1
5,1235,111,,1,,,0,,,,,,1
6,919,7100-GL,,0,,,0,,,,,,1
7,919,7100-MEZ,Industrial,0,,,0,,,,,,1
8,1064,4064,Industrial,0,,,0,,,,,,1
9,1063,575-WH,Industrial,0,,,0,,,,,,1
10,1063,575-OFF,Office,0,,,0,,,,,,1
11,1101,10052-GL,Industrial,0,,,0,,,,,,1
12,1101,10052-MZ,Office,0,,,0,,,,,,1
13,992,1-500,Office,0,,,0,,,93,1310,1310 Kemper Meadow Drive,1
14,992,2-200,Office,0,,,0,,,94,1320,1320 Kemper Meadow Drive,1
15,992,2-500,Office,0,,,0,,,94,1320,1320 Kemper Meadow Drive,1
16,992,2-510,Office,0,,,0,,,94,1320,1320 Kemper Meadow Drive,1
17,992,2-600,Office,0,,,0,,,94,1320,1320 Kemper Meadow Drive,1
18,992,3-110,Office,0,,,0,,,95,1330,1330 Kemper Meadow Drive,1
19,992,3-500,Office,0,,,0,,,95,1330,1330 Kemper Meadow Drive,1
20,992,3-600,Office,0,,,0,,,95,1330,1330 Kemper Meadow Drive,1
21,993,7042,Office,0,,,0,,,,,,1
22,993,7044,Office,0,,,0,,,,,,1
23,993,7046,Office,0,,,0,,,,,,1
25,993,7048,Office,0,,,0,,,,,,1
26,993,7050,Office,0,,,0,,,,,,1
27,993,7058,Office,0,,,0,,,,,,1
28,993,7060,Office,0,,,0,,,,,,1
29,993,7066,Office,0,,,0,,,,,,1
30,993,7068,Office,0,,,0,,,,,,1
31,994,A,Office,0,,,0,,,,,,1
32,994,B,Office,0,,,0,,,,,,1
33,994,C,Office,0,,,0,,,,,,1
34,994,D,Office,0,,,0,,,,,,1
35,994,F,Office,0,,,0,,,,,,1
36,994,H,Office,0,,,0,,,,,,1
37,994,J,Office,0,,,0,,,,,,1
74,926,600,Industrial,0,,,0,,,,,,1
75,933,100,Industrial,0,,,0,,,,,,1
76,996,100,Industrial,0,,,0,,,,,,1
77,929,100,Industrial,0,,,0,,,,,,1
78,931,100,Industrial,0,,,0,,,,,,1
79,930,100,Industrial,0,,,0,,,,,,1
80,930,200,Industrial,0,,,0,,,,,,1
81,930,300,Industrial,0,,,0,,,,,,1
82,928,100,Industrial,0,,,0,,,,,,1
84,1224,100,Industrial,0,,,0,,,,,,1
85,1224,200,Industrial,0,,,0,,,,,,1
86,1225,100,Industrial,0,,,0,,,,,,1
87,1225,200,Industrial,0,,,0,,,,,,1
88,1225,300,Industrial,0,,,0,,,,,,1
89,1293,100,Industrial,0,,,0,,,,,,1
90,921,100,Industrial,0,,,0,,,,,,1
91,921,200,Industrial,0,,,0,,,,,,1
92,921,300,Industrial,0,,,0,,,,,,1
93,921,400,Industrial,0,,,0,,,,,,1
95,1222,200,,0,,,0,,,,,,1
96,1232,250,Industrial,0,,,0,,,,,,1
97,936,1160BC,,0,,,0,,,,,,1
100,936,1160A,Retail,0,,,0,,,,,,1
101,930,400,Industrial,0,,,0,,,,,,1
102,921,301,Industrial,0,,,0,,,,,,1
103,921,302,Industrial,0,,,0,,,,,,1
